16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2; 	 0.000; 	-6.593; 	67.770; 	 7.617; 	105.715; 	-32.164; 	99.008; 	-12.195; 
2,04; 	 0.000; 	-6.906; 	70.902; 	 7.177; 	106.630; 	-31.555; 	96.874; 	-12.652; 
2,08; 	 0.000; 	-7.219; 	72.283; 	 7.837; 	107.087; 	-31.402; 	99.618; 	-10.290; 
2,12; 	 0.000; 	-7.114; 	74.300; 	 7.507; 	106.935; 	-30.488; 	97.484; 	-9.680; 
2,16; 	 0.000; 	-7.531; 	75.256; 	 7.947; 	106.325; 	-29.268; 	100.533; 	-9.680; 
2,2; 	 0.000; 	-7.114; 	77.380; 	 7.617; 	106.478; 	-27.134; 	98.856; 	-8.232; 
2,24; 	 0.000; 	-6.801; 	77.592; 	 6.738; 	105.868; 	-27.744; 	98.856; 	-8.689; 
2,28; 	 0.000; 	-7.166; 	80.459; 	 7.947; 	106.630; 	-27.286; 	98.703; 	-6.326; 
2,32; 	 0.000; 	-7.219; 	82.530; 	 7.177; 	105.868; 	-28.353; 	100.075; 	-8.308; 
2,36; 	 0.000; 	-7.636; 	83.592; 	 7.397; 	106.478; 	-25.000; 	99.161; 	-5.259; 
2,4; 	 0.000; 	-7.636; 	84.972; 	 8.056; 	107.087; 	-24.390; 	100.533; 	-6.326; 
2,44; 	 0.000; 	-7.949; 	87.308; 	 7.287; 	106.325; 	-23.628; 	99.313; 	-4.954; 
2,48; 	 0.000; 	-7.740; 	89.220; 	 7.727; 	106.478; 	-23.018; 	100.837; 	-3.277; 
2,52; 	 0.000; 	-7.792; 	89.645; 	 7.727; 	105.715; 	-21.265; 	102.209; 	-5.107; 
2,56; 	 0.000; 	-7.010; 	91.768; 	 7.177; 	106.020; 	-20.808; 	103.124; 	-3.277; 
2,6; 	 0.000; 	-7.636; 	92.459; 	 6.848; 	105.715; 	-20.046; 	103.581; 	-5.716; 
2,64; 	 0.000; 	-7.531; 	94.211; 	 7.617; 	105.411; 	-19.741; 	104.496; 	-2.896; 
2,68; 	 0.000; 	-8.783; 	95.857; 	10.529; 	104.877; 	-15.930; 	106.478; 	-1.448; 
2,72; 	 0.000; 	-7.531; 	98.193; 	10.199; 	103.886; 	-16.692; 	105.258; 	-3.506; 
2,76; 	 0.000; 	-8.783; 	99.042; 	11.188; 	106.325; 	-14.253; 	108.154; 	-0.152; 
2,8; 	 0.000; 	-8.262; 	101.803; 	10.089; 	103.734; 	-14.634; 	106.173; 	 0.534; 
2,84; 	 0.000; 	-7.010; 	103.821; 	 9.540; 	102.819; 	-14.710; 	107.087; 	 1.372; 
2,88; 	 0.000; 	-7.114; 	104.670; 	 8.991; 	102.057; 	-13.033; 	108.459; 	 2.134; 
2,92; 	 0.000; 	-6.593; 	106.900; 	 9.320; 	102.667; 	-11.814; 	106.478; 	 1.982; 
2,96; 	 0.000; 	-7.844; 	107.962; 	10.089; 	102.972; 	-9.985; 	108.917; 	 3.963; 
3; 	 0.000; 	-7.844; 	109.236; 	 9.870; 	103.276; 	-8.155; 	109.069; 	 5.183; 
3,04; 	 0.000; 	-7.636; 	110.564; 	 9.100; 	103.429; 	-7.393; 	111.661; 	 5.335; 
3,08; 	 0.000; 	-7.844; 	113.325; 	 8.221; 	103.124; 	-6.936; 	110.746; 	 4.192; 
3,12; 	 0.000; 	-8.157; 	113.855; 	 9.650; 	103.581; 	-5.412; 	111.508; 	 6.707; 
3,16; 	 0.000; 	-9.096; 	116.298; 	 9.430; 	104.039; 	-4.649; 	110.441; 	 8.765; 
3,2; 	 0.000; 	-7.740; 	117.041; 	10.089; 	104.191; 	-3.659; 	113.261; 	 8.918; 
3,24; 	 0.000; 	-8.053; 	118.634; 	10.089; 	104.039; 	-1.982; 	114.328; 	11.128; 
3,28; 	 0.000; 	-7.740; 	119.908; 	10.089; 	104.039; 	-0.610; 	116.310; 	11.128; 
3,32; 	 0.000; 	-8.366; 	121.182; 	10.804; 	103.886; 	 0.000; 	115.700; 	12.195; 
3,36; 	 0.000; 	-8.627; 	122.828; 	10.199; 	104.801; 	 1.524; 	117.529; 	14.329; 
3,4; 	 0.000; 	-9.409; 	125.058; 	10.364; 	104.801; 	 2.134; 	115.700; 	12.881; 
3,44; 	 0.000; 	-8.679; 	125.802; 	11.078; 	105.868; 	 4.116; 	119.206; 	15.472; 
3,48; 	 0.000; 	-8.887; 	127.872; 	10.199; 	104.953; 	 4.726; 	118.292; 	15.168; 
3,52; 	 0.000; 	-8.783; 	129.412; 	 9.760; 	105.106; 	 5.793; 	119.968; 	16.387; 
3,56; 	 0.000; 	-9.618; 	129.837; 	11.188; 	105.715; 	 7.317; 	121.645; 	18.674; 
3,6; 	 0.000; 	-10.035; 	131.005; 	11.628; 	106.478; 	 8.689; 	122.103; 	18.216; 
3,64; 	 0.000; 	-10.035; 	132.491; 	11.738; 	106.325; 	 9.222; 	122.560; 	19.131; 
3,68; 	 0.000; 	-10.661; 	133.978; 	12.287; 	106.935; 	10.061; 	124.084; 	19.893; 
3,72; 	 0.000; 	-10.452; 	135.836; 	11.518; 	107.240; 	10.671; 	123.627; 	21.265; 
3,76; 	 0.000; 	-10.452; 	137.535; 	11.848; 	106.935; 	11.585; 	123.932; 	21.036; 
3,8; 	 0.000; 	-10.452; 	138.916; 	11.188; 	106.630; 	12.652; 	124.237; 	21.875; 
3,84; 	 0.000; 	-10.765; 	140.084; 	11.408; 	106.325; 	12.500; 	124.846; 	22.332; 
3,88; 	 0.000; 	-10.243; 	141.571; 	11.628; 	107.545; 	14.024; 	125.456; 	23.704; 
3,92; 	 0.000; 	-10.556; 	143.376; 	12.067; 	106.935; 	14.939; 	125.456; 	23.704; 
3,96; 	 0.000; 	-10.452; 	144.544; 	12.067; 	106.935; 	15.244; 	125.609; 	24.085; 
4; 	 0.000; 	-10.661; 	145.818; 	12.507; 	107.697; 	15.549; 	126.676; 	25.000; 
4,04; 	 0.000; 	-10.973; 	147.517; 	12.067; 	106.630; 	15.854; 	125.456; 	24.009; 
4,08; 	 0.000; 	-11.286; 	148.632; 	13.826; 	106.630; 	16.463; 	126.676; 	24.390; 
4,12; 	 0.000; 	-10.973; 	150.331; 	13.826; 	106.325; 	17.225; 	125.456; 	24.161; 
4,16; 	 0.000; 	-11.391; 	151.605; 	13.935; 	106.630; 	16.921; 	127.895; 	25.991; 
4,2; 	 0.000; 	-10.661; 	153.623; 	13.056; 	105.715; 	16.158; 	124.846; 	25.076; 
4,24; 	 0.000; 	-11.182; 	155.003; 	13.826; 	105.258; 	18.369; 	125.913; 	26.143; 
4,28; 	 0.000; 	-10.661; 	156.702; 	13.386; 	106.020; 	17.835; 	125.456; 	25.305; 
4,32; 	 0.000; 	-11.704; 	157.552; 	14.265; 	106.325; 	18.293; 	126.371; 	26.143; 
4,36; 	 0.000; 	-11.391; 	159.251; 	13.935; 	104.953; 	17.835; 	126.218; 	26.295; 
4,4; 	 0.000; 	-11.808; 	160.525; 	14.375; 	106.173; 	18.140; 	126.828; 	26.295; 
4,44; 	 0.000; 	-11.495; 	162.277; 	13.606; 	107.240; 	17.988; 	126.066; 	26.219; 
