16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2,04; 	 0.000; 	-4.089; 	40.055; 	 4.430; 	107.697; 	-5.716; 	66.082; 	 4.116; 
2,08; 	 0.000; 	-3.568; 	41.010; 	 4.650; 	106.020; 	-7.241; 	65.777; 	 2.591; 
2,12; 	 0.000; 	-4.298; 	41.382; 	 5.639; 	106.173; 	-8.918; 	64.252; 	 1.982; 
2,16; 	 0.000; 	-3.985; 	43.187; 	 5.309; 	105.411; 	-9.985; 	63.490; 	 0.991; 
2,2; 	 0.000; 	-4.402; 	43.506; 	 5.199; 	106.325; 	-11.814; 	60.746; 	-0.610; 
2,24; 	 0.000; 	-4.194; 	44.780; 	 5.089; 	105.106; 	-13.033; 	61.051; 	-0.610; 
2,28; 	 0.000; 	-4.089; 	45.630; 	 5.529; 	105.411; 	-13.796; 	59.222; 	-2.134; 
2,32; 	 0.000; 	-4.089; 	46.479; 	 5.639; 	105.563; 	-14.405; 	59.679; 	-1.677; 
2,36; 	 0.000; 	-4.194; 	47.222; 	 5.419; 	105.411; 	-15.625; 	57.393; 	-3.277; 
2,4; 	 0.000; 	-5.237; 	47.541; 	 6.848; 	106.325; 	-15.777; 	58.307; 	-3.506; 
2,44; 	 0.000; 	-5.237; 	48.921; 	 6.848; 	106.706; 	-16.844; 	58.155; 	-3.506; 
2,48; 	 0.000; 	-5.132; 	49.665; 	 6.738; 	106.783; 	-17.302; 	57.393; 	-4.573; 
2,52; 	 0.000; 	-5.445; 	50.514; 	 7.287; 	106.173; 	-19.436; 	55.945; 	-6.631; 
2,56; 	 0.000; 	-5.654; 	51.151; 	 6.738; 	106.020; 	-20.960; 	54.115; 	-8.765; 
2,6; 	 0.000; 	-5.393; 	52.001; 	 6.738; 	105.868; 	-20.350; 	54.573; 	-8.384; 
2,64; 	 0.000; 	-5.028; 	53.381; 	 7.067; 	106.325; 	-21.799; 	52.286; 	-8.003; 
2,68; 	 0.000; 	-5.132; 	54.496; 	 6.188; 	106.478; 	-21.951; 	51.067; 	-8.765; 
2,72; 	 0.000; 	-5.237; 	55.452; 	 5.969; 	105.715; 	-23.323; 	50.457; 	-9.680; 
2,76; 	 0.000; 	-5.550; 	56.726; 	 5.749; 	105.411; 	-25.000; 	49.237; 	-10.594; 
2,8; 	 0.000; 	-5.863; 	56.408; 	 6.408; 	106.325; 	-24.847; 	50.762; 	-10.290; 
2,84; 	 0.000; 	-5.758; 	58.107; 	 6.408; 	106.478; 	-26.829; 	48.170; 	-12.271; 
2,88; 	 0.000; 	-5.550; 	58.107; 	 6.298; 	106.935; 	-26.829; 	48.475; 	-11.966; 
