16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.439; 	-3.111; 	 2.013; 	104.801; 	12.500; 	13.719; 	13.415; 
0,08; 	 0.000; 	-0.230; 	-2.686; 	 1.134; 	104.648; 	 8.537; 	14.024; 	11.128; 
0,12; 	 0.000; 	-0.647; 	-3.323; 	 1.903; 	105.411; 	10.976; 	12.043; 	10.671; 
0,16; 	 0.000; 	-1.065; 	-3.429; 	 1.573; 	105.106; 	10.671; 	12.195; 	11.661; 
0,2; 	 0.000; 	 0.187; 	-3.111; 	 1.353; 	104.191; 	 8.994; 	10.061; 	11.585; 
0,24; 	 0.000; 	 0.083; 	-3.535; 	 1.463; 	104.801; 	 9.604; 	 9.604; 	13.110; 
0,28; 	 0.000; 	-0.543; 	-3.217; 	 1.683; 	104.039; 	 8.079; 	 9.146; 	10.290; 
0,32; 	 0.000; 	-1.273; 	-3.111; 	 1.573; 	104.801; 	 6.402; 	10.366; 	 8.232; 
0,36; 	 0.000; 	-0.439; 	-3.111; 	 1.793; 	104.801; 	 6.402; 	 7.622; 	 8.918; 
0,4; 	 0.000; 	-0.230; 	-2.898; 	 1.573; 	104.191; 	 5.488; 	 3.963; 	 6.555; 
0,44; 	 0.000; 	-1.795; 	-3.111; 	 2.013; 	105.258; 	 3.659; 	 3.963; 	 6.402; 
0,48; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.953; 	 2.439; 	 4.878; 	 4.878; 
0,52; 	 0.000; 	-0.334; 	-2.686; 	 1.134; 	103.581; 	 1.067; 	 1.829; 	 3.963; 
0,56; 	 0.000; 	-0.126; 	-3.429; 	 1.024; 	104.953; 	 1.372; 	 4.421; 	 4.497; 
0,6; 	 0.000; 	-0.230; 	-3.217; 	 1.353; 	103.581; 	-0.915; 	 2.439; 	 2.744; 
0,64; 	 0.000; 	-0.334; 	-2.898; 	 1.243; 	104.039; 	-1.677; 	 2.287; 	 3.201; 
0,68; 	 0.000; 	-0.856; 	-3.748; 	 1.848; 	105.411; 	-1.677; 	 1.829; 	 1.372; 
0,72; 	 0.000; 	-0.022; 	-3.111; 	 3.112; 	104.496; 	-4.268; 	 0.000; 	-0.152; 
0,76; 	 0.000; 	-0.543; 	-2.898; 	 1.353; 	104.191; 	-5.412; 	-0.610; 	-1.143; 
0,8; 	 0.000; 	-0.126; 	-2.155; 	 1.243; 	104.344; 	-5.869; 	-2.896; 	-3.201; 
0,84; 	 0.000; 	-0.439; 	-3.323; 	 1.134; 	104.496; 	-6.021; 	-3.354; 	-2.134; 
0,88; 	 0.000; 	-0.334; 	-3.323; 	 1.134; 	104.496; 	-9.375; 	-5.107; 	-2.744; 
0,92; 	 0.000; 	 0.083; 	-3.748; 	 0.914; 	104.191; 	-9.680; 	-5.564; 	-3.811; 
0,96; 	 0.000; 	 0.083; 	-3.004; 	 1.243; 	104.344; 	-10.747; 	-5.869; 	-5.793; 
1; 	 0.000; 	-1.273; 	-3.217; 	 1.573; 	104.801; 	-8.155; 	-7.241; 	-5.716; 
1,04; 	 0.000; 	-0.960; 	-3.535; 	 1.683; 	104.953; 	-11.966; 	-7.393; 	-5.869; 
1,08; 	 0.000; 	-1.273; 	-3.642; 	 2.013; 	104.801; 	-12.729; 	-8.765; 	-7.165; 
1,12; 	 0.000; 	-2.108; 	-3.323; 	 2.013; 	105.106; 	-14.786; 	-8.765; 	-8.384; 
1,16; 	 0.000; 	-1.169; 	-3.642; 	 2.452; 	105.258; 	-15.930; 	-8.308; 	-4.649; 
1,2; 	 0.000; 	-1.065; 	-4.173; 	 2.013; 	103.581; 	-17.911; 	-9.680; 	-10.213; 
1,24; 	 0.000; 	-1.690; 	-3.748; 	 2.232; 	105.106; 	-18.521; 	-12.119; 	-11.966; 
1,28; 	 0.000; 	-0.856; 	-4.385; 	 2.013; 	104.801; 	-19.436; 	-13.338; 	-11.661; 
1,32; 	 0.000; 	-1.065; 	-3.854; 	 2.013; 	104.191; 	-21.265; 	-13.186; 	-12.805; 
1,36; 	 0.000; 	-0.647; 	-3.535; 	 1.903; 	104.648; 	-20.503; 	-13.186; 	-12.805; 
1,4; 	 0.000; 	-0.230; 	-3.004; 	 0.694; 	104.496; 	-21.494; 	-15.472; 	-13.643; 
