16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-2.898; 	 1.573; 	105.411; 	11.585; 	10.976; 	12.195; 
0,08; 	 0.000; 	-0.334; 	-2.474; 	 1.024; 	104.648; 	10.823; 	10.213; 	10.899; 
0,12; 	 0.000; 	 0.187; 	-2.792; 	 0.804; 	103.581; 	 8.232; 	 9.146; 	 9.451; 
0,16; 	 0.000; 	-0.647; 	-3.535; 	 1.793; 	104.801; 	 8.232; 	10.061; 	 9.756; 
0,2; 	 0.000; 	-0.543; 	-2.898; 	 1.134; 	103.886; 	 7.012; 	 8.232; 	 9.146; 
0,24; 	 0.000; 	-0.074; 	-3.323; 	 1.353; 	104.191; 	 6.555; 	 7.165; 	 7.774; 
0,28; 	 0.000; 	-0.543; 	-3.111; 	 1.353; 	104.039; 	 4.726; 	 5.640; 	 7.469; 
0,32; 	 0.000; 	-0.439; 	-3.004; 	 1.793; 	104.801; 	 4.573; 	 6.098; 	 6.098; 
0,36; 	 0.000; 	 0.083; 	-2.155; 	 1.243; 	104.039; 	 2.896; 	 5.030; 	 5.183; 
0,4; 	 0.000; 	-0.752; 	-3.004; 	 1.243; 	104.344; 	 2.591; 	 4.421; 	 4.116; 
0,44; 	 0.000; 	-0.126; 	-3.004; 	 1.463; 	104.344; 	 1.067; 	 3.201; 	 3.811; 
0,48; 	 0.000; 	-0.439; 	-3.535; 	 1.793; 	105.411; 	 1.220; 	 3.659; 	 3.659; 
0,52; 	 0.000; 	-0.022; 	-2.898; 	 1.243; 	104.496; 	-0.915; 	 1.524; 	 2.210; 
0,56; 	 0.000; 	-0.334; 	-3.111; 	 1.243; 	104.801; 	-2.439; 	 1.372; 	 0.915; 
0,6; 	 0.000; 	-0.647; 	-3.960; 	 2.013; 	105.106; 	-1.829; 	 1.524; 	 1.677; 
0,64; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.496; 	-4.192; 	-1.524; 	-0.762; 
0,68; 	 0.000; 	-0.230; 	-3.217; 	 1.353; 	104.648; 	-5.030; 	-3.049; 	-1.220; 
0,72; 	 0.000; 	-0.647; 	-3.429; 	 1.573; 	105.106; 	-6.021; 	-2.134; 	-1.067; 
0,76; 	 0.000; 	-0.543; 	-2.686; 	 1.463; 	104.648; 	-7.698; 	-4.954; 	-3.201; 
0,8; 	 0.000; 	-0.334; 	-2.898; 	 1.353; 	104.344; 	-9.222; 	-4.802; 	-4.421; 
0,84; 	 0.000; 	-1.169; 	-3.429; 	 1.683; 	104.648; 	-9.222; 	-5.869; 	-4.954; 
0,88; 	 0.000; 	-1.273; 	-4.385; 	 1.903; 	105.106; 	-9.985; 	-5.716; 	-5.335; 
0,92; 	 0.000; 	-0.334; 	-3.323; 	 1.683; 	104.953; 	-11.509; 	-8.003; 	-7.088; 
0,96; 	 0.000; 	-1.273; 	-3.960; 	 2.232; 	105.106; 	-12.424; 	-7.241; 	-6.860; 
1; 	 0.000; 	-0.752; 	-3.642; 	 1.903; 	105.868; 	-12.881; 	-8.613; 	-7.088; 
1,04; 	 0.000; 	-1.169; 	-3.854; 	 2.123; 	105.715; 	-13.796; 	-8.918; 	-8.460; 
1,08; 	 0.000; 	-1.378; 	-3.642; 	 2.123; 	104.953; 	-15.625; 	-10.442; 	-10.366; 
1,12; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	104.496; 	-17.302; 	-11.357; 	-11.738; 
1,16; 	 0.000; 	-1.065; 	-3.960; 	 2.013; 	105.715; 	-17.302; 	-10.594; 	-9.985; 
1,2; 	 0.000; 	-1.065; 	-3.748; 	 2.013; 	105.715; 	-17.607; 	-11.357; 	-11.509; 
1,24; 	 0.000; 	-1.065; 	-4.279; 	 2.232; 	105.411; 	-18.674; 	-12.957; 	-10.823; 
1,28; 	 0.000; 	-0.752; 	-3.748; 	 1.793; 	105.106; 	-20.655; 	-13.491; 	-12.729; 
1,32; 	 0.000; 	-0.960; 	-3.748; 	 2.232; 	105.258; 	-20.960; 	-13.491; 	-12.881; 
1,36; 	 0.000; 	-0.543; 	-3.429; 	 1.683; 	104.953; 	-22.789; 	-15.625; 	-15.777; 
1,4; 	 0.000; 	-0.856; 	-3.323; 	 2.013; 	105.106; 	-23.933; 	-16.997; 	-15.472; 
1,44; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.801; 	-23.933; 	-17.302; 	-15.320; 
1,48; 	 0.000; 	-0.752; 	-3.004; 	 1.463; 	104.039; 	-25.305; 	-18.369; 	-16.539; 
1,52; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	104.496; 	-25.762; 	-18.369; 	-17.149; 
1,56; 	 0.000; 	-0.647; 	-3.217; 	 1.134; 	104.039; 	-27.515; 	-20.350; 	-17.835; 
1,6; 	 0.000; 	-0.543; 	-3.217; 	 1.353; 	104.801; 	-26.524; 	-19.283; 	-17.302; 
1,64; 	 0.000; 	-0.439; 	-3.535; 	 1.353; 	104.801; 	-26.829; 	-19.893; 	-19.131; 
1,68; 	 0.000; 	-1.534; 	-3.748; 	 2.013; 	105.106; 	-26.981; 	-19.741; 	-18.216; 
1,72; 	 0.000; 	-0.647; 	-3.217; 	 1.243; 	104.191; 	-28.963; 	-21.494; 	-19.360; 
1,76; 	 0.000; 	-1.169; 	-3.323; 	 1.134; 	104.496; 	-29.268; 	-21.570; 	-20.046; 
1,8; 	 0.000; 	-0.960; 	-3.642; 	 1.793; 	104.953; 	-29.268; 	-20.808; 	-18.902; 
1,84; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.344; 	-30.030; 	-23.247; 	-20.960; 
1,88; 	 0.000; 	-0.856; 	-4.279; 	 1.573; 	104.496; 	-29.420; 	-21.875; 	-19.131; 
1,92; 	 0.000; 	-0.960; 	-3.642; 	 1.683; 	104.648; 	-29.573; 	-22.637; 	-20.655; 
1,96; 	 0.000; 	-0.647; 	-3.748; 	 1.793; 	104.496; 	-30.030; 	-21.875; 	-20.655; 
2; 	 0.000; 	-0.960; 	-3.217; 	 1.793; 	104.191; 	-30.030; 	-22.485; 	-20.884; 
2,04; 	 0.000; 	-0.543; 	-3.535; 	 1.793; 	104.648; 	-30.183; 	-21.417; 	-20.808; 
2,08; 	 0.000; 	-1.273; 	-3.854; 	 1.793; 	104.191; 	-30.335; 	-22.485; 	-20.350; 
2,12; 	 0.000; 	-0.856; 	-3.642; 	 1.793; 	104.801; 	-30.183; 	-21.875; 	-20.655; 
2,16; 	 0.000; 	-0.960; 	-3.111; 	 1.573; 	104.648; 	-30.335; 	-22.485; 	-20.274; 
2,2; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	105.106; 	-30.335; 	-21.570; 	-20.350; 
2,24; 	 0.000; 	-1.169; 	-3.323; 	 1.573; 	104.496; 	-29.725; 	-21.722; 	-19.664; 
2,28; 	 0.000; 	-0.960; 	-3.535; 	 2.013; 	104.648; 	-30.030; 	-22.332; 	-20.503; 
2,32; 	 0.000; 	-1.690; 	-3.960; 	 2.232; 	104.496; 	-29.725; 	-21.570; 	-18.978; 
2,36; 	 0.000; 	-1.065; 	-3.748; 	 2.013; 	104.191; 	-29.725; 	-20.960; 	-18.826; 
2,4; 	 0.000; 	-0.752; 	-3.535; 	 1.793; 	104.801; 	-29.420; 	-20.960; 	-18.521; 
2,44; 	 0.000; 	-0.752; 	-3.323; 	 1.463; 	104.344; 	-28.963; 	-20.655; 	-18.597; 
2,48; 	 0.000; 	-0.752; 	-3.429; 	 1.793; 	104.344; 	-28.201; 	-20.198; 	-18.674; 
2,52; 	 0.000; 	-0.752; 	-3.535; 	 2.013; 	104.801; 	-27.286; 	-19.131; 	-17.454; 
2,56; 	 0.000; 	-0.960; 	-3.854; 	 1.793; 	104.344; 	-26.981; 	-20.503; 	-18.064; 
2,6; 	 0.000; 	-0.439; 	-3.960; 	 1.573; 	104.496; 	-26.677; 	-18.826; 	-16.539; 
2,64; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.496; 	-26.372; 	-19.436; 	-16.616; 
2,68; 	 0.000; 	-0.647; 	-3.535; 	 1.793; 	104.953; 	-25.305; 	-17.454; 	-15.625; 
2,72; 	 0.000; 	-1.273; 	-3.111; 	 1.793; 	105.106; 	-24.542; 	-17.911; 	-15.472; 
2,76; 	 0.000; 	-1.273; 	-3.323; 	 1.793; 	104.496; 	-23.933; 	-16.997; 	-15.168; 
2,8; 	 0.000; 	-1.169; 	-3.164; 	 1.463; 	103.734; 	-23.399; 	-16.082; 	-14.100; 
2,84; 	 0.000; 	-0.960; 	-3.854; 	 1.793; 	104.801; 	-22.180; 	-14.558; 	-13.033; 
2,88; 	 0.000; 	-1.065; 	-3.960; 	 2.013; 	105.106; 	-20.046; 	-13.338; 	-11.814; 
2,92; 	 0.000; 	-0.856; 	-4.173; 	 1.903; 	104.496; 	-20.960; 	-14.405; 	-12.652; 
2,96; 	 0.000; 	-1.482; 	-3.854; 	 2.452; 	105.106; 	-17.911; 	-12.424; 	-10.290; 
3; 	 0.000; 	-0.752; 	-3.748; 	 1.463; 	104.344; 	-18.369; 	-11.814; 	-11.204; 
3,04; 	 0.000; 	-1.273; 	-3.960; 	 2.232; 	105.411; 	-16.692; 	-10.899; 	-9.680; 
3,08; 	 0.000; 	-1.482; 	-3.323; 	 1.024; 	104.496; 	-16.387; 	-10.290; 	-9.527; 
3,12; 	 0.000; 	-0.960; 	-3.854; 	 1.903; 	105.106; 	-16.235; 	-10.137; 	-8.841; 
3,16; 	 0.000; 	-1.273; 	-3.960; 	 1.683; 	104.801; 	-14.100; 	-8.460; 	-9.070; 
3,2; 	 0.000; 	-1.482; 	-3.748; 	 1.793; 	106.020; 	-12.729; 	-7.241; 	-5.716; 
3,24; 	 0.000; 	-0.439; 	-3.535; 	 1.134; 	104.801; 	-13.186; 	-6.021; 	-6.174; 
3,28; 	 0.000; 	-0.856; 	-2.580; 	 2.013; 	104.496; 	-10.747; 	-7.851; 	-5.259; 
3,32; 	 0.000; 	-1.690; 	-4.597; 	 2.672; 	105.563; 	-8.308; 	-4.040; 	-3.125; 
3,36; 	 0.000; 	-1.482; 	-3.323; 	 1.463; 	104.801; 	-9.985; 	-6.326; 	-3.354; 
3,4; 	 0.000; 	-0.439; 	-2.898; 	 0.804; 	103.886; 	-9.070; 	-4.878; 	-3.659; 
3,44; 	 0.000; 	-0.126; 	-2.792; 	 0.804; 	104.039; 	-8.308; 	-4.573; 	-1.982; 
3,48; 	 0.000; 	-0.960; 	-2.686; 	 0.804; 	104.496; 	-6.174; 	-4.344; 	-1.296; 
3,52; 	 0.000; 	-0.022; 	-2.898; 	 1.353; 	104.191; 	-4.802; 	-1.829; 	 3.201; 
3,56; 	 0.000; 	-0.439; 	-3.323; 	 1.353; 	103.886; 	-2.744; 	-0.534; 	 0.610; 
3,6; 	 0.000; 	-0.126; 	-3.642; 	 1.463; 	104.648; 	-3.506; 	 1.677; 	 1.829; 
3,64; 	 0.000; 	-0.543; 	-3.217; 	 1.683; 	104.648; 	-1.067; 	 1.982; 	 2.363; 
3,68; 	 0.000; 	-0.126; 	-3.217; 	 1.243; 	104.648; 	-0.152; 	 2.744; 	 3.506; 
3,72; 	 0.000; 	-0.647; 	-3.111; 	 1.848; 	105.411; 	 1.982; 	 4.421; 	 5.183; 
3,76; 	 0.000; 	-0.334; 	-3.004; 	 1.463; 	104.648; 	 2.134; 	 3.506; 	 4.497; 
3,8; 	 0.000; 	-0.856; 	-3.535; 	 1.353; 	104.496; 	 3.354; 	 4.268; 	 6.021; 
