16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

1,96; 	 0.000; 	-2.525; 	21.844; 	 2.892; 	105.715; 	-8.155; 	37.042; 	-1.372; 
2; 	 0.000; 	-2.525; 	22.268; 	 3.112; 	106.020; 	-6.326; 	39.176; 	-0.762; 
2,04; 	 0.000; 	-2.629; 	22.481; 	 2.782; 	105.715; 	-5.869; 	38.109; 	 0.610; 
2,08; 	 0.000; 	-2.577; 	22.905; 	 3.331; 	106.020; 	-4.802; 	40.548; 	 2.134; 
2,12; 	 0.000; 	-2.316; 	25.135; 	 2.562; 	105.411; 	-4.192; 	40.548; 	 3.735; 
2,16; 	 0.000; 	-2.733; 	24.392; 	 3.771; 	106.630; 	-2.134; 	41.158; 	 2.515; 
2,2; 	 0.000; 	-2.525; 	25.029; 	 3.771; 	106.783; 	-0.610; 	44.664; 	 4.649; 
2,24; 	 0.000; 	-2.525; 	25.879; 	 3.112; 	106.325; 	-0.152; 	43.750; 	 4.878; 
2,28; 	 0.000; 	-2.316; 	26.834; 	 2.452; 	104.953; 	 0.152; 	42.683; 	 5.030; 
2,32; 	 0.000; 	-2.942; 	26.941; 	 2.452; 	105.411; 	 1.220; 	46.341; 	 5.259; 
2,36; 	 0.000; 	-2.838; 	27.259; 	 3.331; 	105.868; 	 2.896; 	45.426; 	 8.079; 
2,4; 	 0.000; 	-2.733; 	27.896; 	 3.112; 	105.868; 	 3.354; 	45.579; 	 7.622; 
2,44; 	 0.000; 	-2.733; 	27.684; 	 3.002; 	106.783; 	 5.640; 	46.798; 	 9.146; 
2,48; 	 0.000; 	-2.942; 	28.586; 	 1.683; 	105.715; 	 4.878; 	47.713; 	 9.146; 
