16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-2.733; 	-2.898; 	 2.232; 	105.715; 	18.674; 	15.549; 	18.293; 
0,08; 	 0.000; 	-1.482; 	-3.960; 	 2.892; 	105.715; 	20.350; 	20.046; 	18.521; 
0,12; 	 0.000; 	-1.273; 	-3.960; 	 2.342; 	105.258; 	19.588; 	16.082; 	18.064; 
0,16; 	 0.000; 	-1.690; 	-3.111; 	 1.793; 	105.106; 	18.521; 	15.168; 	16.692; 
0,2; 	 0.000; 	-0.752; 	-3.642; 	 2.342; 	105.411; 	18.369; 	14.786; 	18.369; 
0,24; 	 0.000; 	-1.534; 	-4.173; 	 2.013; 	106.020; 	20.655; 	17.911; 	18.216; 
0,28; 	 0.000; 	-0.647; 	-3.535; 	 1.683; 	104.801; 	18.826; 	13.415; 	17.683; 
0,32; 	 0.000; 	-1.378; 	-4.385; 	 2.013; 	106.325; 	20.655; 	16.158; 	19.817; 
0,36; 	 0.000; 	-1.273; 	-4.173; 	 2.782; 	106.630; 	20.350; 	17.302; 	19.131; 
0,4; 	 0.000; 	-1.482; 	-3.748; 	 2.013; 	105.715; 	18.521; 	19.741; 	16.997; 
0,44; 	 0.000; 	-0.856; 	-3.535; 	 0.914; 	105.106; 	17.149; 	15.777; 	16.387; 
0,48; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.258; 	15.625; 	15.777; 	16.235; 
0,52; 	 0.000; 	-1.169; 	-3.217; 	 1.903; 	105.563; 	16.997; 	15.930; 	17.454; 
0,56; 	 0.000; 	-1.378; 	-3.535; 	 1.463; 	104.648; 	16.539; 	14.939; 	14.786; 
0,6; 	 0.000; 	-0.230; 	-3.535; 	 1.793; 	104.801; 	16.692; 	16.692; 	15.244; 
0,64; 	 0.000; 	-0.230; 	-3.323; 	 1.793; 	104.801; 	16.387; 	14.482; 	15.777; 
0,68; 	 0.000; 	-1.169; 	-4.279; 	 3.551; 	106.325; 	15.549; 	14.024; 	17.302; 
0,72; 	 0.000; 	-1.795; 	-4.173; 	 2.342; 	105.715; 	15.396; 	15.091; 	16.692; 
0,76; 	 0.000; 	-1.273; 	-4.385; 	 2.342; 	105.868; 	15.091; 	16.006; 	14.786; 
0,8; 	 0.000; 	-0.439; 	-2.792; 	 0.914; 	103.886; 	12.805; 	12.652; 	13.719; 
0,84; 	 0.000; 	-0.022; 	-3.111; 	 1.353; 	104.496; 	10.061; 	12.195; 	12.271; 
0,88; 	 0.000; 	-0.230; 	-1.836; 	 1.353; 	104.496; 	11.585; 	10.823; 	12.500; 
0,92; 	 0.000; 	-0.230; 	-3.111; 	 1.903; 	104.953; 	10.976; 	12.195; 	10.366; 
0,96; 	 0.000; 	-0.439; 	-3.323; 	 1.134; 	104.496; 	11.585; 	 9.146; 	10.747; 
1; 	 0.000; 	 0.396; 	-3.748; 	 1.134; 	104.191; 	 8.537; 	10.061; 	11.890; 
1,04; 	 0.000; 	-0.752; 	-3.429; 	 1.793; 	105.106; 	 8.537; 	10.061; 	10.518; 
1,08; 	 0.000; 	-0.856; 	-3.535; 	 2.013; 	104.953; 	10.976; 	 8.079; 	 6.402; 
1,12; 	 0.000; 	-0.439; 	-4.491; 	 1.793; 	105.106; 	 6.250; 	 6.402; 	 7.927; 
1,16; 	 0.000; 	-0.700; 	-3.535; 	 1.573; 	105.258; 	 5.793; 	 7.317; 	 7.927; 
1,2; 	 0.000; 	-0.126; 	-3.217; 	 1.463; 	104.496; 	 4.421; 	 4.421; 	 8.689; 
1,24; 	 0.000; 	-0.856; 	-3.642; 	 1.628; 	104.801; 	 3.963; 	 5.183; 	 5.945; 
1,28; 	 0.000; 	-0.439; 	-3.748; 	 2.013; 	104.496; 	 3.659; 	 4.573; 	 6.479; 
1,32; 	 0.000; 	-0.439; 	-3.323; 	 1.188; 	104.496; 	 1.220; 	 3.963; 	 3.354; 
1,36; 	 0.000; 	-0.230; 	-2.261; 	 1.903; 	104.801; 	 0.152; 	 4.268; 	 4.726; 
1,4; 	 0.000; 	-0.543; 	-3.217; 	 1.793; 	104.344; 	-0.457; 	 2.134; 	 1.753; 
1,44; 	 0.000; 	-0.334; 	-2.474; 	 1.793; 	104.953; 	-1.982; 	 1.524; 	 1.753; 
1,48; 	 0.000; 	-0.022; 	-3.111; 	 1.353; 	104.496; 	-3.354; 	 0.305; 	 1.296; 
1,52; 	 0.000; 	-0.230; 	-3.111; 	 1.683; 	104.801; 	-3.887; 	-1.524; 	 0.610; 
1,56; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	104.496; 	-4.421; 	-1.372; 	-1.601; 
1,6; 	 0.000; 	-0.126; 	-3.004; 	 0.914; 	104.191; 	-6.326; 	-3.963; 	-2.439; 
1,64; 	 0.000; 	-0.334; 	-3.004; 	 1.243; 	104.648; 	-7.393; 	-4.116; 	-2.820; 
1,68; 	 0.000; 	 0.291; 	-2.686; 	 1.353; 	104.344; 	-8.918; 	-4.497; 	-4.649; 
1,72; 	 0.000; 	-1.065; 	-3.535; 	 2.452; 	105.715; 	-8.765; 	-4.802; 	-4.497; 
1,76; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	105.106; 	-11.204; 	-6.631; 	-5.869; 
1,8; 	 0.000; 	-0.856; 	-3.748; 	 2.232; 	105.411; 	-10.899; 	-6.936; 	-6.936; 
1,84; 	 0.000; 	-0.856; 	-3.748; 	 1.683; 	104.801; 	-13.186; 	-7.241; 	-7.546; 
1,88; 	 0.000; 	-1.065; 	-3.960; 	 2.232; 	105.411; 	-13.643; 	-8.308; 	-7.698; 
1,92; 	 0.000; 	-1.273; 	-4.385; 	 2.232; 	105.715; 	-14.100; 	-8.765; 	-8.613; 
1,96; 	 0.000; 	-0.752; 	-3.748; 	 1.793; 	104.801; 	-15.777; 	-10.290; 	-9.832; 
2; 	 0.000; 	-1.117; 	-3.960; 	 2.123; 	105.106; 	-16.997; 	-10.594; 	-9.985; 
2,04; 	 0.000; 	-1.586; 	-4.066; 	 2.452; 	105.715; 	-16.692; 	-11.509; 	-11.204; 
2,08; 	 0.000; 	-1.482; 	-3.642; 	 1.903; 	105.411; 	-18.521; 	-11.661; 	-11.661; 
2,12; 	 0.000; 	-1.273; 	-3.429; 	 2.013; 	105.258; 	-19.893; 	-13.186; 	-12.500; 
2,16; 	 0.000; 	-0.856; 	-3.801; 	 2.013; 	105.106; 	-20.960; 	-13.948; 	-13.262; 
2,2; 	 0.000; 	-1.065; 	-3.960; 	 2.123; 	105.106; 	-21.570; 	-15.015; 	-13.186; 
2,24; 	 0.000; 	-0.439; 	-3.535; 	 1.573; 	104.344; 	-22.789; 	-16.387; 	-15.015; 
2,28; 	 0.000; 	-1.378; 	-3.748; 	 2.123; 	104.801; 	-22.942; 	-16.235; 	-14.634; 
2,32; 	 0.000; 	-1.169; 	-3.642; 	 2.232; 	104.648; 	-23.399; 	-16.692; 	-15.396; 
2,36; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	104.801; 	-24.390; 	-17.302; 	-15.930; 
2,4; 	 0.000; 	-0.647; 	-3.960; 	 2.232; 	104.496; 	-25.457; 	-18.521; 	-16.082; 
2,44; 	 0.000; 	-0.334; 	-2.898; 	 1.573; 	104.191; 	-26.981; 	-20.046; 	-17.911; 
2,48; 	 0.000; 	-1.117; 	-3.748; 	 2.013; 	105.106; 	-26.981; 	-18.674; 	-17.302; 
2,52; 	 0.000; 	-1.378; 	-3.535; 	 2.013; 	104.801; 	-27.896; 	-20.198; 	-17.607; 
2,56; 	 0.000; 	-1.065; 	-3.748; 	 1.573; 	105.106; 	-27.744; 	-19.741; 	-17.607; 
2,6; 	 0.000; 	-0.439; 	-3.429; 	 1.573; 	104.344; 	-28.658; 	-21.722; 	-18.597; 
2,64; 	 0.000; 	-1.169; 	-3.535; 	 1.793; 	104.496; 	-29.116; 	-20.350; 	-18.216; 
2,68; 	 0.000; 	-1.065; 	-3.748; 	 1.573; 	104.801; 	-29.116; 	-21.570; 	-18.826; 
2,72; 	 0.000; 	-1.065; 	-3.748; 	 1.683; 	104.344; 	-30.030; 	-21.570; 	-19.741; 
2,76; 	 0.000; 	-0.960; 	-3.429; 	 2.287; 	104.648; 	-29.878; 	-21.875; 	-20.046; 
2,8; 	 0.000; 	-0.856; 	-3.429; 	 1.573; 	104.191; 	-30.030; 	-22.180; 	-20.350; 
2,84; 	 0.000; 	-0.856; 	-3.429; 	 1.463; 	104.191; 	-30.945; 	-22.789; 	-20.427; 
2,88; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.801; 	-30.183; 	-21.265; 	-19.741; 
2,92; 	 0.000; 	-1.065; 	-3.960; 	 1.573; 	104.801; 	-30.335; 	-22.485; 	-19.055; 
2,96; 	 0.000; 	-1.065; 	-4.066; 	 1.573; 	104.191; 	-30.335; 	-22.180; 	-20.350; 
3; 	 0.000; 	-1.065; 	-3.535; 	 1.573; 	104.496; 	-30.488; 	-22.180; 	-19.969; 
3,04; 	 0.000; 	-1.482; 	-3.854; 	 2.123; 	105.106; 	-30.640; 	-21.875; 	-19.664; 
3,08; 	 0.000; 	-1.273; 	-3.854; 	 1.793; 	104.496; 	-30.564; 	-22.027; 	-19.512; 
3,12; 	 0.000; 	-0.856; 	-3.429; 	 1.353; 	104.496; 	-30.945; 	-21.875; 	-20.274; 
3,16; 	 0.000; 	-1.378; 	-2.898; 	 1.353; 	104.191; 	-30.640; 	-21.875; 	-19.131; 
3,2; 	 0.000; 	-1.482; 	-3.642; 	 1.573; 	104.191; 	-30.335; 	-21.570; 	-19.360; 
3,24; 	 0.000; 	-1.273; 	-3.748; 	 1.628; 	104.801; 	-29.420; 	-22.332; 	-18.826; 
3,28; 	 0.000; 	-1.482; 	-3.535; 	 1.573; 	104.191; 	-28.506; 	-20.655; 	-18.216; 
3,32; 	 0.000; 	-0.647; 	-3.111; 	 1.683; 	104.191; 	-29.268; 	-22.180; 	-19.588; 
3,36; 	 0.000; 	-1.482; 	-3.535; 	 1.683; 	104.496; 	-28.811; 	-19.436; 	-17.225; 
3,4; 	 0.000; 	-1.482; 	-3.642; 	 2.013; 	104.648; 	-27.896; 	-19.893; 	-17.378; 
3,44; 	 0.000; 	-0.856; 	-3.323; 	 1.903; 	104.496; 	-27.439; 	-19.893; 	-17.988; 
3,48; 	 0.000; 	-0.856; 	-3.323; 	 1.848; 	104.496; 	-26.981; 	-19.741; 	-16.616; 
3,52; 	 0.000; 	-1.378; 	-3.535; 	 1.134; 	105.106; 	-25.762; 	-17.759; 	-15.777; 
3,56; 	 0.000; 	-0.647; 	-3.429; 	 1.243; 	104.496; 	-25.610; 	-17.911; 	-16.235; 
3,6; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	105.106; 	-24.085; 	-17.607; 	-15.777; 
3,64; 	 0.000; 	-0.856; 	-3.748; 	 1.463; 	104.496; 	-23.628; 	-16.692; 	-14.253; 
3,68; 	 0.000; 	-1.169; 	-3.429; 	 1.243; 	104.344; 	-23.704; 	-16.539; 	-15.549; 
