16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 0 ms.;
Samples before = 0 smpl.;  Samples after = 8192 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.543; 	-3.004; 	 1.683; 	104.801; 	-27.439; 	-20.808; 	-18.293; 
0,08; 	 0.000; 	-0.752; 	-3.748; 	 1.573; 	104.801; 	-26.067; 	-19.741; 	-72.179; 
0,12; 	 0.000; 	-4.089; 	-3.642; 	 2.342; 	104.648; 	-30.183; 	-4.116; 	-14.405; 
0,16; 	 0.000; 	-2.108; 	-5.234; 	 3.661; 	105.715; 	-46.417; 	28.734; 	-10.137; 
0,2; 	 0.000; 	-2.108; 	-4.385; 	 3.112; 	104.648; 	-31.555; 	45.579; 	-13.872; 
0,24; 	 0.000; 	-2.942; 	-4.173; 	 3.991; 	105.715; 	-30.945; 	62.576; 	-12.576; 
0,28; 	 0.000; 	-3.151; 	-2.898; 	 4.650; 	105.411; 	-32.164; 	70.807; 	-13.643; 
0,32; 	 0.000; 	-3.777; 	-2.049; 	 4.540; 	106.020; 	-32.774; 	76.524; 	-12.119; 
0,36; 	 0.000; 	-3.151; 	-0.987; 	 4.650; 	105.868; 	-33.384; 	76.829; 	-12.119; 
0,4; 	 0.000; 	-3.881; 	-0.509; 	 4.760; 	107.697; 	-30.488; 	81.249; 	-9.680; 
0,44; 	 0.000; 	-3.151; 	 1.084; 	 4.485; 	107.850; 	-30.640; 	81.707; 	-10.518; 
0,48; 	 0.000; 	-3.359; 	 2.995; 	 4.320; 	106.630; 	-32.164; 	80.792; 	-11.128; 
0,52; 	 0.000; 	-3.359; 	 4.269; 	 4.210; 	106.935; 	-32.469; 	79.572; 	-11.585; 
0,56; 	 0.000; 	-3.568; 	 5.968; 	 4.265; 	106.630; 	-32.317; 	79.268; 	-12.119; 
0,6; 	 0.000; 	-3.985; 	 6.606; 	 5.089; 	107.240; 	-31.707; 	79.268; 	-11.661; 
0,64; 	 0.000; 	-4.089; 	 8.198; 	 5.419; 	107.392; 	-31.707; 	80.030; 	-10.747; 
0,68; 	 0.000; 	-3.985; 	10.004; 	 5.144; 	107.087; 	-32.469; 	78.658; 	-11.814; 
0,72; 	 0.000; 	-4.611; 	10.853; 	 5.309; 	107.850; 	-31.402; 	79.572; 	-11.204; 
0,76; 	 0.000; 	-4.507; 	12.127; 	 5.309; 	107.850; 	-30.335; 	78.963; 	-10.137; 
0,8; 	 0.000; 	-3.985; 	13.879; 	 4.430; 	107.240; 	-30.945; 	79.877; 	-11.509; 
0,84; 	 0.000; 	-3.881; 	15.260; 	 4.430; 	107.240; 	-31.097; 	77.896; 	-10.290; 
0,88; 	 0.000; 	-4.611; 	16.109; 	 5.199; 	107.850; 	-29.725; 	80.335; 	-9.985; 
0,92; 	 0.000; 	-4.611; 	17.596; 	 5.309; 	108.459; 	-28.353; 	78.201; 	-9.680; 
0,96; 	 0.000; 	-5.028; 	18.658; 	 6.188; 	108.764; 	-27.744; 	80.944; 	-8.613; 
1; 	 0.000; 	-4.611; 	20.463; 	 5.309; 	108.154; 	-27.591; 	79.268; 	-7.927; 
1,04; 	 0.000; 	-4.298; 	21.737; 	 5.749; 	108.002; 	-27.439; 	80.335; 	-7.851; 
1,08; 	 0.000; 	-4.350; 	23.489; 	 5.474; 	107.545; 	-27.515; 	79.191; 	-7.012; 
1,12; 	 0.000; 	-4.507; 	24.711; 	 5.419; 	107.697; 	-26.372; 	80.640; 	-7.393; 
1,16; 	 0.000; 	-4.715; 	25.879; 	 5.089; 	107.545; 	-25.000; 	80.182; 	-6.555; 
1,2; 	 0.000; 	-4.611; 	27.100; 	 4.540; 	108.307; 	-23.628; 	80.792; 	-5.412; 
1,24; 	 0.000; 	-4.611; 	28.374; 	 4.870; 	107.545; 	-23.933; 	80.792; 	-5.716; 
1,28; 	 0.000; 	-5.237; 	29.755; 	 5.199; 	108.917; 	-21.646; 	83.383; 	-5.183; 
1,32; 	 0.000; 	-4.715; 	31.347; 	 4.430; 	108.002; 	-21.646; 	81.707; 	-4.802; 
1,36; 	 0.000; 	-5.863; 	31.772; 	 5.309; 	108.764; 	-20.884; 	83.079; 	-3.887; 
1,4; 	 0.000; 	-5.863; 	32.940; 	 6.188; 	108.764; 	-18.826; 	84.450; 	-1.601; 
1,44; 	 0.000; 	-5.237; 	34.533; 	 5.969; 	108.764; 	-17.302; 	85.670; 	-1.372; 
1,48; 	 0.000; 	-5.237; 	36.444; 	 6.188; 	107.545; 	-16.844; 	83.536; 	-1.905; 
1,52; 	 0.000; 	-5.028; 	37.294; 	 5.969; 	108.764; 	-15.930; 	86.737; 	-1.067; 
1,56; 	 0.000; 	-5.550; 	38.781; 	 5.969; 	107.697; 	-15.777; 	85.365; 	 0.076; 
1,6; 	 0.000; 	-4.820; 	40.957; 	 6.408; 	105.715; 	-15.777; 	85.365; 	-0.534; 
1,64; 	 0.000; 	-5.237; 	42.338; 	 6.408; 	106.630; 	-14.863; 	85.060; 	 1.524; 
1,68; 	 0.000; 	-4.715; 	43.718; 	 6.298; 	106.173; 	-14.100; 	87.347; 	 0.457; 
1,72; 	 0.000; 	-4.924; 	45.205; 	 6.518; 	106.173; 	-12.881; 	87.423; 	 1.982; 
1,76; 	 0.000; 	-5.080; 	45.736; 	 6.408; 	106.630; 	-10.747; 	87.499; 	-4.421; 
1,8; 	 0.000; 	-5.654; 	46.054; 	 7.837; 	107.697; 	-8.765; 	89.786; 	 5.488; 
1,84; 	 0.000; 	-5.237; 	48.284; 	 6.848; 	106.325; 	-8.460; 	89.786; 	 4.878; 
1,88; 	 0.000; 	-5.028; 	49.771; 	 6.463; 	105.715; 	-8.003; 	89.786; 	 6.174; 
1,92; 	 0.000; 	-5.341; 	51.045; 	 6.848; 	106.020; 	-7.241; 	90.243; 	 6.402; 
1,96; 	 0.000; 	-5.237; 	52.426; 	 6.518; 	105.411; 	-6.402; 	89.786; 	 7.012; 
2; 	 0.000; 	-5.028; 	53.806; 	 6.848; 	106.020; 	-4.802; 	91.615; 	 8.003; 
2,04; 	 0.000; 	-5.237; 	54.496; 	 6.628; 	106.630; 	-2.973; 	92.987; 	 9.908; 
2,08; 	 0.000; 	-4.820; 	56.302; 	 5.969; 	106.478; 	-2.744; 	92.987; 	 8.613; 
2,12; 	 0.000; 	-5.654; 	56.408; 	 6.518; 	107.392; 	-0.915; 	95.045; 	 9.756; 
2,16; 	 0.000; 	-5.237; 	59.275; 	 5.749; 	105.106; 	-0.915; 	93.825; 	 8.841; 
2,2; 	 0.000; 	-4.924; 	60.868; 	 4.980; 	104.953; 	-0.457; 	94.283; 	 9.604; 
2,24; 	 0.000; 	-5.863; 	61.080; 	 6.628; 	104.953; 	 0.610; 	94.740; 	10.671; 
