16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.169; 	-3.535; 	 1.573; 	104.344; 	-30.945; 	-22.789; 	-20.579; 
0,08; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	104.496; 	-30.335; 	-21.265; 	-20.579; 
0,12; 	 0.000; 	-1.273; 	-3.111; 	 1.903; 	104.496; 	-30.488; 	-22.637; 	-20.655; 
0,16; 	 0.000; 	-1.169; 	-3.323; 	 1.353; 	103.886; 	-30.335; 	-21.875; 	-20.655; 
0,2; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.039; 	-30.488; 	-23.094; 	-20.655; 
0,24; 	 0.000; 	-0.752; 	-3.111; 	 1.573; 	104.496; 	-30.183; 	-22.027; 	-20.122; 
0,28; 	 0.000; 	-0.752; 	-3.535; 	 1.134; 	103.886; 	-30.488; 	-22.485; 	-20.579; 
0,32; 	 0.000; 	-0.752; 	-3.217; 	 1.353; 	104.191; 	-30.488; 	-23.247; 	-20.808; 
0,36; 	 0.000; 	-0.647; 	-3.111; 	 1.353; 	104.191; 	-30.030; 	-21.875; 	-20.122; 
0,4; 	 0.000; 	-0.856; 	-3.960; 	 1.793; 	104.496; 	-29.420; 	-21.265; 	-20.350; 
0,44; 	 0.000; 	-1.065; 	-3.429; 	 1.903; 	104.801; 	-29.573; 	-21.570; 	-19.664; 
0,48; 	 0.000; 	-1.169; 	-3.748; 	 1.793; 	104.801; 	-28.811; 	-20.046; 	-18.521; 
0,52; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	104.953; 	-27.896; 	-21.265; 	-18.826; 
