16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.868; 	-12.119; 	-7.241; 	-7.393; 
0,08; 	 0.000; 	-0.752; 	-3.217; 	 1.903; 	105.258; 	-13.796; 	-8.765; 	-8.308; 
0,12; 	 0.000; 	-1.482; 	-3.748; 	 1.903; 	105.106; 	-14.558; 	-9.070; 	-9.070; 
0,16; 	 0.000; 	-1.065; 	-3.535; 	 1.793; 	104.801; 	-15.777; 	-10.747; 	-10.213; 
0,2; 	 0.000; 	-1.482; 	-3.323; 	 1.573; 	105.563; 	-16.387; 	-10.899; 	-11.128; 
0,24; 	 0.000; 	-1.273; 	-3.960; 	 2.507; 	105.715; 	-17.302; 	-10.290; 	-10.899; 
0,28; 	 0.000; 	-1.065; 	-3.323; 	 2.232; 	105.411; 	-19.131; 	-12.424; 	-13.033; 
0,32; 	 0.000; 	-0.647; 	-3.004; 	 1.243; 	104.191; 	-21.113; 	-13.643; 	-13.186; 
0,36; 	 0.000; 	-0.700; 	-3.004; 	 1.353; 	104.496; 	-21.570; 	-14.558; 	-13.643; 
0,4; 	 0.000; 	-1.169; 	-3.111; 	 1.134; 	103.886; 	-22.485; 	-14.558; 	-14.253; 
0,44; 	 0.000; 	-0.856; 	-3.642; 	 1.243; 	104.039; 	-23.094; 	-16.235; 	-15.015; 
0,48; 	 0.000; 	-0.752; 	-3.004; 	 1.134; 	105.258; 	-23.933; 	-17.149; 	-15.625; 
