16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	105.106; 	18.826; 	16.692; 	18.369; 
0,08; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.801; 	18.216; 	16.387; 	17.302; 
0,12; 	 0.000; 	-1.273; 	-3.535; 	 1.793; 	105.106; 	18.978; 	15.549; 	17.759; 
0,16; 	 0.000; 	-1.482; 	-4.173; 	 2.672; 	105.868; 	19.131; 	17.302; 	17.683; 
0,2; 	 0.000; 	-1.169; 	-3.323; 	 2.232; 	105.411; 	18.521; 	16.387; 	17.911; 
0,24; 	 0.000; 	-1.325; 	-3.535; 	 2.342; 	105.106; 	17.911; 	16.539; 	16.082; 
0,28; 	 0.000; 	-1.482; 	-3.111; 	 2.013; 	105.106; 	17.759; 	14.939; 	16.692; 
0,32; 	 0.000; 	-1.795; 	-3.854; 	 2.562; 	106.783; 	18.369; 	17.149; 	17.607; 
0,36; 	 0.000; 	-0.647; 	-3.111; 	 1.573; 	105.106; 	16.692; 	14.939; 	16.692; 
0,4; 	 0.000; 	-1.482; 	-3.588; 	 2.342; 	105.715; 	16.235; 	15.244; 	15.930; 
0,44; 	 0.000; 	-0.439; 	-3.217; 	 1.353; 	104.191; 	15.472; 	13.262; 	14.863; 
0,48; 	 0.000; 	-1.482; 	-3.960; 	 2.452; 	105.715; 	15.854; 	16.006; 	16.463; 
0,52; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.496; 	13.872; 	14.024; 	14.863; 
0,56; 	 0.000; 	-1.690; 	-3.960; 	 2.672; 	106.325; 	14.329; 	15.396; 	15.549; 
0,6; 	 0.000; 	-0.647; 	-2.792; 	 1.134; 	104.039; 	11.585; 	11.890; 	12.652; 
0,64; 	 0.000; 	-0.647; 	-3.004; 	 1.683; 	104.953; 	11.890; 	12.195; 	12.805; 
0,68; 	 0.000; 	-0.439; 	-2.898; 	 1.353; 	104.496; 	11.433; 	11.280; 	12.271; 
0,72; 	 0.000; 	 0.031; 	-2.792; 	 1.683; 	104.953; 	10.518; 	10.823; 	12.729; 
0,76; 	 0.000; 	-0.439; 	-3.217; 	 1.134; 	104.191; 	 9.604; 	 8.994; 	10.976; 
0,8; 	 0.000; 	-0.022; 	-2.686; 	 1.353; 	104.801; 	 8.841; 	10.518; 	10.137; 
0,84; 	 0.000; 	-0.647; 	-3.111; 	 1.903; 	105.106; 	 8.232; 	 9.299; 	10.061; 
0,88; 	 0.000; 	-0.647; 	-2.792; 	 1.683; 	104.801; 	 7.012; 	 8.841; 	 8.613; 
0,92; 	 0.000; 	-0.126; 	-2.474; 	 1.243; 	104.344; 	 5.716; 	 6.250; 	 6.860; 
0,96; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	105.106; 	 4.726; 	 7.012; 	 6.402; 
1; 	 0.000; 	-0.439; 	-2.898; 	 1.793; 	105.106; 	 4.421; 	 5.488; 	 6.479; 
1,04; 	 0.000; 	-0.647; 	-3.323; 	 1.793; 	105.106; 	 4.421; 	 5.640; 	 6.783; 
1,08; 	 0.000; 	-0.126; 	-2.686; 	 1.353; 	104.801; 	 3.049; 	 4.573; 	 5.335; 
