16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.334; 	-3.111; 	 1.243; 	103.734; 	 6.555; 	 7.774; 	 9.070; 
0,08; 	 0.000; 	-0.126; 	-3.004; 	 0.859; 	104.344; 	 5.945; 	 8.689; 	 8.689; 
0,12; 	 0.000; 	 0.083; 	-2.155; 	 0.804; 	104.344; 	 4.878; 	 5.793; 	 6.250; 
0,16; 	 0.000; 	-0.491; 	-2.898; 	 1.903; 	104.801; 	 4.726; 	 6.098; 	 6.098; 
0,2; 	 0.000; 	-0.543; 	-2.686; 	 1.573; 	104.801; 	 3.354; 	 4.649; 	 5.869; 
0,24; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.496; 	 1.829; 	 4.573; 	 4.649; 
0,28; 	 0.000; 	-0.126; 	-2.792; 	 1.353; 	104.648; 	 1.067; 	 4.116; 	 4.116; 
0,32; 	 0.000; 	-0.543; 	-3.004; 	 1.408; 	104.191; 	 0.305; 	 1.829; 	 2.134; 
0,36; 	 0.000; 	-0.439; 	-3.535; 	 1.463; 	104.496; 	-0.610; 	 1.829; 	 2.439; 
0,4; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.801; 	-2.134; 	 0.915; 	 0.915; 
0,44; 	 0.000; 	-0.439; 	-2.898; 	 1.573; 	104.648; 	-3.354; 	-0.610; 	 0.152; 
0,48; 	 0.000; 	-1.065; 	-3.323; 	 2.013; 	105.258; 	-3.582; 	-1.524; 	-0.762; 
0,52; 	 0.000; 	-1.065; 	-2.898; 	 1.793; 	105.258; 	-4.192; 	-1.829; 	-0.305; 
0,56; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.801; 	-5.869; 	-2.439; 	-3.354; 
0,6; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	105.258; 	-6.326; 	-4.497; 	-2.744; 
0,64; 	 0.000; 	-0.439; 	-3.111; 	 1.353; 	104.191; 	-8.460; 	-5.945; 	-4.726; 
0,68; 	 0.000; 	-1.065; 	-3.748; 	 2.013; 	105.106; 	-9.070; 	-6.783; 	-5.107; 
0,72; 	 0.000; 	-1.586; 	-3.535; 	 2.013; 	105.106; 	-10.290; 	-4.802; 	-5.564; 
0,76; 	 0.000; 	-0.960; 	-3.642; 	 2.123; 	105.258; 	-11.357; 	-7.698; 	-6.402; 
0,8; 	 0.000; 	-1.065; 	-3.748; 	 1.903; 	105.411; 	-12.729; 	-8.460; 	-7.165; 
0,84; 	 0.000; 	-1.378; 	-3.323; 	 2.013; 	105.411; 	-13.338; 	-9.527; 	-8.994; 
0,88; 	 0.000; 	-1.273; 	-3.323; 	 2.013; 	105.411; 	-14.863; 	-8.765; 	-9.604; 
0,92; 	 0.000; 	-1.482; 	-3.748; 	 1.793; 	104.801; 	-15.777; 	-9.680; 	-10.213; 
