16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.378; 	-4.279; 	 3.221; 	106.173; 	17.454; 	15.244; 	17.454; 
0,08; 	 0.000; 	-1.586; 	-3.854; 	 2.782; 	106.325; 	16.768; 	13.719; 	16.692; 
0,12; 	 0.000; 	-0.230; 	-3.217; 	 1.243; 	104.496; 	14.024; 	13.872; 	14.863; 
0,16; 	 0.000; 	-0.439; 	-3.111; 	 1.134; 	104.496; 	13.415; 	13.872; 	15.244; 
0,2; 	 0.000; 	-0.022; 	-3.535; 	 1.573; 	104.191; 	12.805; 	14.024; 	13.415; 
0,24; 	 0.000; 	 0.031; 	-3.004; 	-0.954; 	104.344; 	11.128; 	12.043; 	12.957; 
0,28; 	 0.000; 	-0.230; 	-3.323; 	 1.573; 	104.496; 	11.585; 	12.195; 	12.500; 
0,32; 	 0.000; 	-0.439; 	-3.535; 	 1.573; 	104.801; 	11.433; 	11.585; 	11.661; 
0,36; 	 0.000; 	-0.126; 	-2.898; 	 1.243; 	103.886; 	10.213; 	11.433; 	12.043; 
0,4; 	 0.000; 	-0.230; 	-2.792; 	 1.463; 	104.496; 	10.671; 	 8.841; 	 8.841; 
0,44; 	 0.000; 	-0.022; 	-2.261; 	 1.134; 	104.191; 	 7.774; 	 9.146; 	 8.537; 
0,48; 	 0.000; 	-0.334; 	-2.845; 	 1.903; 	104.648; 	 7.165; 	 8.384; 	 9.908; 
0,52; 	 0.000; 	-0.334; 	-3.429; 	 1.463; 	104.496; 	 5.183; 	 8.994; 	 7.317; 
0,56; 	 0.000; 	-0.230; 	-3.429; 	 1.793; 	104.496; 	 5.488; 	 6.707; 	10.061; 
0,6; 	 0.000; 	-0.647; 	-3.748; 	 1.573; 	105.411; 	 5.183; 	 6.250; 	 6.021; 
0,64; 	 0.000; 	 0.083; 	-3.004; 	 2.232; 	104.953; 	 5.030; 	 6.250; 	 8.079; 
0,68; 	 0.000; 	-0.230; 	-3.164; 	 1.683; 	104.801; 	 2.591; 	 4.421; 	 4.649; 
0,72; 	 0.000; 	-0.334; 	-3.217; 	 1.463; 	103.886; 	 1.220; 	 4.116; 	 3.887; 
0,76; 	 0.000; 	-0.022; 	-2.686; 	 1.353; 	104.496; 	 0.305; 	 4.573; 	 2.439; 
0,8; 	 0.000; 	-0.230; 	-2.898; 	 1.738; 	104.344; 	-0.762; 	 1.524; 	 2.668; 
0,84; 	 0.000; 	-0.126; 	-3.111; 	 1.793; 	105.106; 	-1.067; 	 1.372; 	 1.982; 
0,88; 	 0.000; 	 0.291; 	-2.686; 	 1.134; 	104.801; 	-2.439; 	 0.000; 	 0.991; 
0,92; 	 0.000; 	-0.126; 	-3.323; 	 0.694; 	104.496; 	-4.040; 	-1.829; 	-0.610; 
0,96; 	 0.000; 	-0.439; 	-3.323; 	 1.353; 	104.191; 	-4.802; 	-2.591; 	-0.915; 
1; 	 0.000; 	-0.856; 	-4.066; 	 1.848; 	104.496; 	-5.564; 	-2.134; 	-1.677; 
1,04; 	 0.000; 	-0.439; 	-3.323; 	 1.793; 	104.496; 	-7.393; 	-4.802; 	-2.973; 
1,08; 	 0.000; 	-0.230; 	-3.004; 	 1.353; 	103.734; 	-8.613; 	-4.344; 	-4.497; 
1,12; 	 0.000; 	-1.482; 	-3.535; 	 2.013; 	104.801; 	-9.680; 	-6.631; 	-5.335; 
1,16; 	 0.000; 	-0.856; 	-4.173; 	 2.232; 	104.801; 	-10.137; 	-5.564; 	-5.488; 
1,2; 	 0.000; 	-0.543; 	-3.429; 	 1.903; 	104.953; 	-11.509; 	-7.393; 	-6.631; 
1,24; 	 0.000; 	-1.065; 	-4.066; 	 1.903; 	105.868; 	-11.661; 	-6.326; 	-6.326; 
1,28; 	 0.000; 	-0.752; 	-3.642; 	 1.903; 	104.953; 	-13.186; 	-8.308; 	-7.088; 
1,32; 	 0.000; 	-1.273; 	-3.748; 	 2.342; 	106.020; 	-13.643; 	-8.765; 	-8.460; 
1,36; 	 0.000; 	-1.273; 	-3.429; 	 1.903; 	104.801; 	-15.472; 	-10.290; 	-9.680; 
1,4; 	 0.000; 	-1.378; 	-3.642; 	 1.903; 	105.258; 	-16.539; 	-10.747; 	-11.280; 
1,44; 	 0.000; 	-1.378; 	-3.429; 	 2.123; 	105.411; 	-17.454; 	-10.290; 	-10.594; 
1,48; 	 0.000; 	-1.169; 	-4.066; 	 2.232; 	105.715; 	-18.064; 	-11.204; 	-11.661; 
1,52; 	 0.000; 	-1.273; 	-3.854; 	 1.793; 	105.106; 	-19.436; 	-13.033; 	-11.738; 
1,56; 	 0.000; 	-0.960; 	-3.960; 	 2.013; 	105.106; 	-19.893; 	-13.186; 	-12.119; 
1,6; 	 0.000; 	-0.856; 	-4.173; 	 2.342; 	105.563; 	-20.655; 	-13.643; 	-12.881; 
1,64; 	 0.000; 	-0.543; 	-3.323; 	 1.243; 	104.191; 	-23.323; 	-16.082; 	-14.177; 
1,68; 	 0.000; 	-0.439; 	-3.004; 	 1.243; 	104.191; 	-24.085; 	-18.064; 	-15.320; 
1,72; 	 0.000; 	-1.169; 	-3.535; 	 1.903; 	104.953; 	-23.475; 	-16.539; 	-15.015; 
1,76; 	 0.000; 	-0.856; 	-3.642; 	 1.683; 	104.648; 	-25.076; 	-18.521; 	-16.082; 
1,8; 	 0.000; 	-0.334; 	-3.217; 	 1.573; 	104.496; 	-26.372; 	-18.521; 	-18.140; 
1,84; 	 0.000; 	-1.065; 	-3.642; 	 1.573; 	104.801; 	-26.372; 	-19.131; 	-16.997; 
1,88; 	 0.000; 	-0.960; 	-3.854; 	 1.683; 	104.953; 	-26.524; 	-18.674; 	-17.759; 
1,92; 	 0.000; 	-0.126; 	-3.111; 	 1.134; 	103.886; 	-27.896; 	-20.198; 	-17.607; 
1,96; 	 0.000; 	-0.752; 	-3.960; 	 1.793; 	104.953; 	-28.201; 	-20.350; 	-18.369; 
2; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	104.953; 	-28.049; 	-20.655; 	-18.750; 
2,04; 	 0.000; 	-1.273; 	-3.854; 	 1.628; 	104.344; 	-29.116; 	-21.417; 	-19.436; 
2,08; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.953; 	-29.420; 	-22.180; 	-19.436; 
2,12; 	 0.000; 	-1.482; 	-3.323; 	 1.573; 	104.801; 	-30.335; 	-21.875; 	-20.655; 
2,16; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	104.648; 	-30.640; 	-22.180; 	-19.969; 
2,2; 	 0.000; 	-1.065; 	-3.854; 	 1.793; 	104.953; 	-30.335; 	-21.722; 	-20.350; 
2,24; 	 0.000; 	-1.065; 	-3.748; 	 1.903; 	104.801; 	-29.725; 	-22.180; 	-19.741; 
2,28; 	 0.000; 	-0.647; 	-3.535; 	 1.463; 	103.886; 	-30.335; 	-22.180; 	-20.579; 
2,32; 	 0.000; 	-0.752; 	-3.217; 	 1.903; 	104.953; 	-29.878; 	-22.180; 	-20.427; 
2,36; 	 0.000; 	-0.856; 	-4.385; 	 2.562; 	104.648; 	-30.030; 	-20.655; 	-19.664; 
2,4; 	 0.000; 	-0.960; 	-3.217; 	 1.683; 	104.648; 	-30.488; 	-22.637; 	-20.808; 
2,44; 	 0.000; 	-0.543; 	-3.004; 	 1.683; 	104.953; 	-30.335; 	-21.722; 	-21.341; 
2,48; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.801; 	-30.945; 	-22.485; 	-20.350; 
2,52; 	 0.000; 	-1.065; 	-3.642; 	 2.013; 	104.801; 	-30.183; 	-22.027; 	-20.198; 
2,56; 	 0.000; 	-0.752; 	-3.642; 	 1.903; 	104.953; 	-29.878; 	-22.637; 	-20.198; 
2,6; 	 0.000; 	-0.856; 	-3.535; 	 1.353; 	103.886; 	-30.488; 	-22.485; 	-21.417; 
2,64; 	 0.000; 	-1.065; 	-3.429; 	 2.123; 	105.258; 	-27.439; 	-22.637; 	-21.036; 
2,68; 	 0.000; 	-0.543; 	-3.429; 	 1.903; 	104.191; 	-30.183; 	-14.863; 	-19.893; 
2,72; 	 0.000; 	-1.378; 	-3.429; 	 1.903; 	104.648; 	-28.353; 	-3.201; 	-16.387; 
2,76; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	105.868; 	-26.981; 	 5.488; 	-14.863; 
2,8; 	 0.000; 	-1.065; 	-3.111; 	 2.452; 	105.106; 	-26.524; 	10.823; 	-14.405; 
2,84; 	 0.000; 	-0.960; 	-3.111; 	 2.562; 	105.563; 	-26.677; 	14.177; 	-13.415; 
2,88; 	 0.000; 	-1.065; 	-3.004; 	 2.123; 	105.563; 	-25.914; 	16.311; 	-11.661; 
2,92; 	 0.000; 	-0.752; 	-1.943; 	 2.342; 	106.020; 	-24.390; 	17.149; 	-13.110; 
2,96; 	 0.000; 	-0.752; 	-0.881; 	 1.463; 	104.648; 	-24.924; 	16.844; 	-14.024; 
3; 	 0.000; 	-0.856; 	-0.562; 	 1.573; 	104.191; 	-24.390; 	17.911; 	-13.948; 
3,04; 	 0.000; 	-0.439; 	 0.075; 	 1.353; 	104.191; 	-24.238; 	17.607; 	-13.033; 
3,08; 	 0.000; 	-0.752; 	 0.818; 	 1.903; 	104.801; 	-22.789; 	21.113; 	-12.424; 
3,12; 	 0.000; 	-0.856; 	 0.500; 	 1.903; 	104.801; 	-22.485; 	19.436; 	-12.119; 
3,16; 	 0.000; 	-1.169; 	 1.721; 	-0.075; 	104.953; 	-21.722; 	21.722; 	-10.290; 
3,2; 	 0.000; 	-1.378; 	 1.827; 	 1.024; 	106.020; 	-19.588; 	21.570; 	-9.527; 
3,24; 	 0.000; 	-1.482; 	 1.933; 	 1.134; 	106.325; 	-18.369; 	23.704; 	-8.460; 
3,28; 	 0.000; 	-1.065; 	 2.677; 	 0.914; 	105.106; 	-17.607; 	23.247; 	-8.689; 
3,32; 	 0.000; 	-1.899; 	 3.101; 	 0.474; 	105.563; 	-16.997; 	23.552; 	-7.851; 
3,36; 	 0.000; 	-1.273; 	 3.845; 	 0.694; 	105.258; 	-16.235; 	24.924; 	-6.860; 
3,4; 	 0.000; 	-1.273; 	 4.269; 	 0.474; 	104.801; 	-15.472; 	25.228; 	-6.631; 
3,44; 	 0.000; 	-1.482; 	 4.907; 	 0.914; 	105.715; 	-14.253; 	25.228; 	-5.412; 
3,48; 	 0.000; 	-1.273; 	 5.544; 	 0.694; 	105.106; 	-13.643; 	26.143; 	-6.555; 
3,52; 	 0.000; 	-1.378; 	 5.438; 	 0.694; 	105.258; 	-11.814; 	28.125; 	-4.878; 
3,56; 	 0.000; 	-1.795; 	 5.438; 	 0.914; 	105.715; 	-10.594; 	28.125; 	-3.049; 
3,6; 	 0.000; 	-1.586; 	 6.287; 	 0.804; 	105.868; 	-8.765; 	28.125; 	-2.744; 
3,64; 	 0.000; 	-1.273; 	 6.393; 	 1.353; 	106.020; 	-8.155; 	30.869; 	-1.753; 
3,68; 	 0.000; 	-0.752; 	 7.774; 	 1.134; 	105.411; 	-7.393; 	29.497; 	-2.591; 
3,72; 	 0.000; 	-1.273; 	 8.198; 	 1.573; 	105.715; 	-5.716; 	31.021; 	-0.762; 
3,76; 	 0.000; 	-1.273; 	 8.729; 	 1.134; 	105.106; 	-6.021; 	30.259; 	-0.610; 
3,8; 	 0.000; 	-1.273; 	 9.048; 	 1.024; 	105.563; 	-3.811; 	34.680; 	-0.762; 
