16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.323; 	 1.353; 	104.801; 	-29.116; 	-21.417; 	-19.436; 
0,08; 	 0.000; 	-0.960; 	-4.066; 	 1.683; 	105.563; 	-28.353; 	-20.122; 	-18.978; 
0,12; 	 0.000; 	-1.169; 	-3.535; 	 1.463; 	104.344; 	-27.286; 	-20.046; 	-17.911; 
0,16; 	 0.000; 	-0.334; 	-2.792; 	 1.134; 	104.344; 	-28.353; 	-21.113; 	-19.436; 
0,2; 	 0.000; 	-1.273; 	-3.323; 	 1.793; 	104.496; 	-27.591; 	-18.826; 	-18.216; 
0,24; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	104.496; 	-27.286; 	-19.436; 	-18.064; 
0,28; 	 0.000; 	-0.856; 	-3.642; 	 1.573; 	104.801; 	-26.372; 	-18.216; 	-16.921; 
0,32; 	 0.000; 	-1.273; 	-3.429; 	 1.903; 	105.258; 	-24.695; 	-17.454; 	-15.854; 
0,36; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	105.106; 	-23.933; 	-17.607; 	-15.777; 
0,4; 	 0.000; 	-0.752; 	-3.217; 	 1.463; 	104.648; 	-23.399; 	-15.625; 	-14.634; 
0,44; 	 0.000; 	-1.273; 	-3.854; 	 1.353; 	104.496; 	-22.789; 	-16.539; 	-15.244; 
0,48; 	 0.000; 	-0.960; 	-3.376; 	 1.353; 	104.191; 	-22.180; 	-13.948; 	-13.643; 
0,52; 	 0.000; 	-0.960; 	-3.429; 	 1.683; 	104.648; 	-20.503; 	-15.015; 	-13.415; 
0,56; 	 0.000; 	-0.856; 	-3.535; 	 1.903; 	104.801; 	-20.198; 	-13.033; 	-12.652; 
0,6; 	 0.000; 	-1.065; 	-3.535; 	 2.123; 	105.411; 	-18.674; 	-12.119; 	-12.347; 
0,64; 	 0.000; 	-1.378; 	-3.642; 	 2.232; 	105.258; 	-17.302; 	-10.290; 	-10.899; 
0,68; 	 0.000; 	-1.378; 	-3.642; 	 2.177; 	105.563; 	-16.235; 	-10.747; 	-9.680; 
0,72; 	 0.000; 	-1.378; 	-3.429; 	 2.013; 	105.715; 	-15.625; 	-9.375; 	-8.994; 
0,76; 	 0.000; 	-1.273; 	-3.801; 	 2.013; 	105.411; 	-14.405; 	-9.680; 	-8.155; 
0,8; 	 0.000; 	-0.960; 	-4.066; 	 1.903; 	105.563; 	-13.033; 	-8.613; 	-7.546; 
0,84; 	 0.000; 	-0.856; 	-3.748; 	 2.123; 	105.258; 	-11.814; 	-7.851; 	-7.317; 
0,88; 	 0.000; 	-1.482; 	-3.642; 	 1.793; 	105.106; 	-11.204; 	-7.546; 	-6.250; 
0,92; 	 0.000; 	-1.065; 	-3.217; 	 1.573; 	104.496; 	-10.899; 	-6.021; 	-5.335; 
0,96; 	 0.000; 	-1.273; 	-3.323; 	 1.573; 	104.801; 	-9.680; 	-5.412; 	-5.107; 
1; 	 0.000; 	-1.482; 	-3.323; 	 1.903; 	105.106; 	-8.155; 	-4.802; 	-3.887; 
1,04; 	 0.000; 	-1.325; 	-3.535; 	 1.683; 	104.801; 	-7.393; 	-4.192; 	-2.896; 
