16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

1,92; 	 0.000; 	-0.960; 	-3.642; 	 1.463; 	104.648; 	-30.716; 	-21.875; 	-20.198; 
1,96; 	 0.000; 	-1.690; 	-3.960; 	 2.452; 	105.411; 	-29.725; 	-21.265; 	-19.436; 
2; 	 0.000; 	-0.856; 	-3.854; 	 1.683; 	104.953; 	-30.792; 	-22.637; 	-20.503; 
2,04; 	 0.000; 	-0.856; 	-3.217; 	 1.463; 	104.344; 	-30.792; 	-21.722; 	-20.808; 
2,08; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	104.801; 	-30.640; 	-22.180; 	-19.664; 
2,12; 	 0.000; 	-0.752; 	-3.217; 	 1.683; 	104.648; 	-30.488; 	-21.722; 	-20.732; 
2,16; 	 0.000; 	-1.273; 	-4.066; 	 1.573; 	104.648; 	-30.335; 	-23.094; 	-19.741; 
2,2; 	 0.000; 	-0.752; 	-3.748; 	 1.573; 	103.886; 	-30.640; 	-21.875; 	-20.655; 
2,24; 	 0.000; 	-0.334; 	-3.217; 	 1.134; 	104.191; 	-30.640; 	-22.713; 	-20.503; 
2,28; 	 0.000; 	-0.230; 	-3.217; 	 1.573; 	104.344; 	-29.725; 	-23.094; 	-20.960; 
2,32; 	 0.000; 	-1.065; 	-3.323; 	 1.353; 	104.648; 	-28.506; 	-21.570; 	-19.360; 
2,36; 	 0.000; 	-1.273; 	-3.535; 	 1.573; 	104.801; 	-29.116; 	-19.436; 	-19.741; 
2,4; 	 0.000; 	-0.439; 	-3.429; 	 0.694; 	103.581; 	-29.878; 	-21.570; 	-19.969; 
2,44; 	 0.000; 	-1.273; 	-3.748; 	 2.013; 	105.106; 	-27.896; 	-20.960; 	-18.674; 
2,48; 	 0.000; 	-0.491; 	-3.535; 	 1.353; 	104.496; 	-27.591; 	-20.808; 	-18.293; 
2,52; 	 0.000; 	-0.439; 	-3.535; 	 1.463; 	104.496; 	-27.896; 	-19.131; 	-18.445; 
2,56; 	 0.000; 	-0.022; 	-3.323; 	 1.134; 	104.496; 	-26.981; 	-17.911; 	-17.607; 
2,6; 	 0.000; 	-0.543; 	-2.792; 	 0.804; 	104.648; 	-25.610; 	-18.064; 	-16.844; 
2,64; 	 0.000; 	-1.065; 	-3.217; 	 1.573; 	103.734; 	-23.094; 	-4.344; 	-17.530; 
2,68; 	 0.000; 	-1.065; 	-4.173; 	 2.452; 	105.411; 	-23.628; 	-5.107; 	-13.033; 
2,72; 	 0.000; 	-1.065; 	-3.535; 	 3.112; 	104.801; 	-23.628; 	10.366; 	-10.213; 
2,76; 	 0.000; 	-1.482; 	-3.535; 	 1.793; 	105.411; 	-21.570; 	26.905; 	-10.518; 
2,8; 	 0.000; 	-0.647; 	-3.854; 	 1.463; 	105.411; 	-21.265; 	34.070; 	-11.509; 
2,84; 	 0.000; 	-0.543; 	-2.367; 	 1.903; 	104.953; 	-18.978; 	40.548; 	-8.308; 
2,88; 	 0.000; 	-0.856; 	-2.474; 	 2.232; 	105.563; 	-18.521; 	41.920; 	-7.546; 
2,92; 	 0.000; 	-1.690; 	-1.199; 	 2.672; 	106.935; 	-16.387; 	46.646; 	-4.954; 
2,96; 	 0.000; 	-1.065; 	-0.350; 	 2.452; 	107.850; 	-16.082; 	48.018; 	-5.869; 
3; 	 0.000; 	-2.003; 	 0.659; 	 2.123; 	107.392; 	-14.710; 	49.085; 	-5.869; 
3,04; 	 0.000; 	-1.065; 	 2.039; 	 1.573; 	105.715; 	-15.472; 	48.628; 	-4.726; 
3,08; 	 0.000; 	-1.482; 	 2.039; 	 1.134; 	106.173; 	-13.948; 	51.067; 	-3.887; 
3,12; 	 0.000; 	-1.065; 	 2.889; 	 1.243; 	106.783; 	-11.509; 	50.914; 	-2.591; 
3,16; 	 0.000; 	-1.482; 	 3.738; 	 1.243; 	106.020; 	-10.594; 	51.067; 	-1.448; 
3,2; 	 0.000; 	 0.083; 	 5.650; 	-0.075; 	104.648; 	-10.899; 	47.865; 	-3.049; 
3,24; 	 0.000; 	-1.690; 	 5.862; 	 1.903; 	106.478; 	-9.070; 	51.829; 	 0.076; 
3,28; 	 0.000; 	-1.378; 	 6.712; 	 1.243; 	106.783; 	-8.613; 	51.067; 	 0.915; 
3,32; 	 0.000; 	-1.430; 	 7.774; 	 0.804; 	106.478; 	-6.783; 	53.963; 	-0.076; 
3,36; 	 0.000; 	-1.065; 	 8.517; 	 0.694; 	106.020; 	-6.326; 	52.286; 	-0.305; 
3,4; 	 0.000; 	-1.065; 	 9.366; 	 0.804; 	105.563; 	-3.735; 	53.353; 	 2.668; 
3,44; 	 0.000; 	-0.647; 	10.110; 	 0.364; 	106.020; 	-3.735; 	53.353; 	 4.421; 
3,48; 	 0.000; 	-1.378; 	11.172; 	 0.474; 	106.478; 	-3.506; 	56.631; 	 3.430; 
3,52; 	 0.000; 	-1.690; 	11.384; 	 1.134; 	106.173; 	-1.677; 	57.088; 	 5.945; 
3,56; 	 0.000; 	-1.378; 	12.446; 	 1.683; 	106.325; 	 0.152; 	56.631; 	 4.268; 
3,6; 	 0.000; 	-1.482; 	13.083; 	 1.463; 	105.106; 	 0.915; 	57.088; 	 6.098; 
3,64; 	 0.000; 	-0.856; 	12.977; 	 1.573; 	105.868; 	 1.829; 	58.612; 	 7.622; 
3,68; 	 0.000; 	-1.482; 	14.729; 	 0.914; 	106.935; 	 3.354; 	59.527; 	 8.003; 
3,72; 	 0.000; 	-1.899; 	15.260; 	 0.914; 	106.630; 	 2.820; 	61.661; 	 9.756; 
3,76; 	 0.000; 	-1.690; 	16.959; 	 0.694; 	106.173; 	 4.268; 	61.204; 	10.671; 
3,8; 	 0.000; 	-2.316; 	16.322; 	 1.134; 	107.240; 	 6.098; 	61.661; 	11.966; 
3,84; 	 0.000; 	-2.421; 	17.065; 	 1.243; 	107.087; 	 7.469; 	64.252; 	14.634; 
3,88; 	 0.000; 	-1.795; 	18.870; 	 0.364; 	106.020; 	 8.232; 	63.338; 	11.280; 
3,92; 	 0.000; 	-2.733; 	18.870; 	 0.694; 	106.630; 	 9.451; 	64.100; 	14.786; 
3,96; 	 0.000; 	-2.108; 	19.720; 	 0.584; 	105.715; 	 9.299; 	67.301; 	13.872; 
4; 	 0.000; 	-2.733; 	20.782; 	-0.185; 	106.325; 	11.585; 	64.862; 	16.006; 
4,04; 	 0.000; 	-2.316; 	21.419; 	 1.024; 	106.935; 	12.805; 	66.234; 	15.549; 
4,08; 	 0.000; 	-2.316; 	20.994; 	 0.694; 	107.240; 	11.890; 	66.539; 	17.607; 
4,12; 	 0.000; 	-3.464; 	21.950; 	 1.463; 	107.392; 	14.177; 	67.606; 	17.607; 
4,16; 	 0.000; 	-3.620; 	22.905; 	 2.232; 	107.545; 	14.177; 	68.063; 	18.216; 
4,2; 	 0.000; 	-3.151; 	23.436; 	 1.793; 	107.850; 	16.768; 	70.350; 	18.674; 
4,24; 	 0.000; 	-3.672; 	24.073; 	 1.793; 	107.392; 	16.006; 	68.216; 	19.969; 
4,28; 	 0.000; 	-4.402; 	24.286; 	 1.573; 	107.545; 	17.073; 	71.874; 	19.131; 
4,32; 	 0.000; 	-4.089; 	25.348; 	 0.804; 	108.002; 	18.140; 	70.350; 	21.265; 
4,36; 	 0.000; 	-3.255; 	26.622; 	 1.683; 	107.392; 	18.369; 	69.283; 	20.503; 
4,4; 	 0.000; 	-3.777; 	27.312; 	 1.134; 	108.154; 	19.131; 	69.130; 	22.485; 
4,44; 	 0.000; 	-3.672; 	28.056; 	 0.804; 	108.307; 	18.369; 	68.521; 	21.722; 
4,48; 	 0.000; 	-4.820; 	28.162; 	 1.353; 	107.850; 	19.131; 	68.978; 	23.475; 
