16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.482; 	 1.463; 	104.801; 	-16.844; 	-12.271; 	-11.357; 
0,08; 	 0.000; 	-1.169; 	-3.429; 	 1.573; 	104.953; 	-15.625; 	-9.070; 	-11.814; 
0,12; 	 0.000; 	-1.690; 	-4.066; 	 2.452; 	105.411; 	-14.253; 	-11.052; 	-9.680; 
0,16; 	 0.000; 	-1.586; 	-3.748; 	 2.232; 	105.258; 	-13.643; 	-8.765; 	-6.936; 
0,2; 	 0.000; 	-1.482; 	-5.872; 	 2.672; 	105.868; 	-13.491; 	-6.479; 	-9.070; 
0,24; 	 0.000; 	-1.690; 	-3.748; 	 2.672; 	105.715; 	-11.814; 	-6.783; 	-6.021; 
0,28; 	 0.000; 	-1.378; 	-3.854; 	 2.342; 	105.563; 	-10.747; 	-6.631; 	-6.631; 
0,32; 	 0.000; 	-0.543; 	-4.810; 	 1.793; 	105.106; 	-10.594; 	-6.479; 	-6.174; 
0,36; 	 0.000; 	-0.856; 	-3.960; 	 2.123; 	105.411; 	-8.765; 	-5.107; 	-3.582; 
0,4; 	 0.000; 	-0.126; 	-2.792; 	 0.914; 	103.886; 	-9.832; 	-6.021; 	-4.726; 
0,44; 	 0.000; 	-1.325; 	-3.748; 	 2.232; 	105.106; 	-6.631; 	-2.591; 	 0.000; 
0,48; 	 0.000; 	-0.334; 	-2.367; 	 1.024; 	104.039; 	-5.869; 	-4.116; 	-2.591; 
0,52; 	 0.000; 	-0.647; 	-3.004; 	 1.683; 	105.715; 	-4.649; 	-1.220; 	-0.610; 
0,56; 	 0.000; 	-0.439; 	-3.854; 	 1.903; 	104.648; 	-3.506; 	-0.762; 	-0.381; 
0,6; 	 0.000; 	-0.856; 	-3.111; 	 1.793; 	104.801; 	-3.049; 	 0.000; 	 0.076; 
0,64; 	 0.000; 	-0.334; 	-2.686; 	 0.914; 	104.191; 	-2.134; 	 0.305; 	 2.210; 
0,68; 	 0.000; 	-0.543; 	-3.323; 	 1.353; 	104.801; 	-0.305; 	 1.829; 	 4.954; 
0,72; 	 0.000; 	-0.647; 	-3.535; 	 1.683; 	104.801; 	 0.915; 	 2.744; 	 4.268; 
0,76; 	 0.000; 	 0.396; 	-3.111; 	 1.024; 	104.039; 	 0.457; 	 4.116; 	 3.811; 
0,8; 	 0.000; 	-0.230; 	-3.111; 	 1.573; 	104.801; 	 2.134; 	 4.268; 	 5.716; 
0,84; 	 0.000; 	-0.856; 	-3.960; 	 2.013; 	105.715; 	 4.573; 	 5.488; 	 6.098; 
0,88; 	 0.000; 	-0.856; 	-3.323; 	 2.013; 	104.877; 	 5.183; 	 5.793; 	 6.098; 
0,92; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	105.411; 	 6.098; 	 8.079; 	 7.622; 
0,96; 	 0.000; 	-0.543; 	-2.898; 	 1.683; 	104.801; 	 5.945; 	 7.165; 	 8.765; 
1; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	104.648; 	 7.469; 	 9.908; 	10.290; 
1,04; 	 0.000; 	-0.230; 	-3.004; 	 0.914; 	103.734; 	 6.860; 	 8.537; 	 9.604; 
1,08; 	 0.000; 	-0.543; 	-3.217; 	 1.353; 	104.344; 	 8.384; 	10.366; 	10.442; 
1,12; 	 0.000; 	-0.647; 	-3.111; 	 1.573; 	104.801; 	 9.756; 	 9.756; 	12.195; 
1,16; 	 0.000; 	-0.647; 	-2.261; 	 1.134; 	104.191; 	10.366; 	11.433; 	11.661; 
1,2; 	 0.000; 	-0.439; 	-3.323; 	 1.683; 	105.106; 	11.433; 	10.823; 	11.890; 
1,24; 	 0.000; 	-0.752; 	-3.111; 	 1.793; 	105.411; 	12.652; 	12.652; 	13.567; 
1,28; 	 0.000; 	-0.439; 	-3.111; 	 1.463; 	104.496; 	12.500; 	13.110; 	14.100; 
1,32; 	 0.000; 	-0.439; 	-3.748; 	 1.793; 	104.344; 	13.719; 	13.110; 	14.634; 
1,36; 	 0.000; 	-0.230; 	-2.686; 	 1.243; 	104.496; 	14.024; 	13.415; 	14.863; 
1,4; 	 0.000; 	-1.273; 	-3.960; 	 2.562; 	106.325; 	16.158; 	15.396; 	16.692; 
1,44; 	 0.000; 	-1.690; 	-4.173; 	 2.672; 	106.020; 	16.387; 	15.549; 	16.768; 
1,48; 	 0.000; 	-1.690; 	-4.173; 	 3.002; 	106.173; 	17.759; 	15.549; 	17.149; 
1,52; 	 0.000; 	-1.482; 	-3.960; 	 3.331; 	106.630; 	18.521; 	16.463; 	18.216; 
1,56; 	 0.000; 	-1.482; 	-3.960; 	 2.672; 	106.325; 	17.607; 	15.244; 	16.997; 
1,6; 	 0.000; 	-1.586; 	-3.960; 	 2.232; 	105.868; 	18.521; 	16.997; 	17.378; 
1,64; 	 0.000; 	-1.065; 	-3.111; 	 1.683; 	105.106; 	17.302; 	15.320; 	16.997; 
1,68; 	 0.000; 	-1.378; 	-3.535; 	 1.793; 	105.715; 	18.216; 	16.997; 	18.216; 
1,72; 	 0.000; 	-1.273; 	-3.323; 	 1.793; 	105.411; 	19.131; 	16.997; 	17.988; 
1,76; 	 0.000; 	-1.690; 	-3.748; 	 2.013; 	105.563; 	19.131; 	16.235; 	17.378; 
1,8; 	 0.000; 	-1.169; 	-3.642; 	 2.232; 	105.868; 	18.674; 	17.759; 	17.683; 
1,84; 	 0.000; 	-1.273; 	-3.217; 	 2.013; 	105.411; 	18.216; 	16.387; 	17.149; 
1,88; 	 0.000; 	-1.586; 	-3.217; 	 2.342; 	105.715; 	18.064; 	17.302; 	17.454; 
1,92; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	105.106; 	18.216; 	16.997; 	17.911; 
1,96; 	 0.000; 	-1.117; 	-3.323; 	 1.573; 	105.258; 	18.826; 	16.997; 	17.607; 
2; 	 0.000; 	-1.169; 	-3.535; 	 1.683; 	105.106; 	18.064; 	16.387; 	17.302; 
2,04; 	 0.000; 	-1.482; 	-3.748; 	 2.123; 	105.411; 	18.826; 	15.777; 	17.683; 
2,08; 	 0.000; 	-1.169; 	-3.111; 	 1.573; 	104.801; 	17.911; 	16.387; 	16.921; 
