16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.856; 	-3.642; 	 2.013; 	104.496; 	-2.744; 	 0.305; 	 1.067; 
0,08; 	 0.000; 	-0.752; 	-3.217; 	 1.903; 	105.563; 	-1.067; 	 1.982; 	 1.753; 
0,12; 	 0.000; 	-0.282; 	-2.898; 	 1.353; 	104.801; 	-0.915; 	 2.439; 	 1.601; 
0,16; 	 0.000; 	-0.543; 	-3.004; 	 1.903; 	104.801; 	-0.457; 	 2.287; 	 3.506; 
0,2; 	 0.000; 	-0.752; 	-1.412; 	 2.123; 	105.106; 	 1.829; 	 3.811; 	 5.793; 
0,24; 	 0.000; 	-0.439; 	-3.217; 	 1.243; 	104.648; 	 2.896; 	 5.030; 	 5.640; 
0,28; 	 0.000; 	-0.543; 	-2.898; 	 0.914; 	103.886; 	 2.744; 	 4.878; 	 4.954; 
0,32; 	 0.000; 	-0.439; 	-4.491; 	 1.793; 	104.191; 	 4.878; 	 6.402; 	 6.479; 
0,36; 	 0.000; 	-0.230; 	-3.323; 	 1.573; 	104.496; 	 5.793; 	 7.927; 	 7.012; 
0,4; 	 0.000; 	-1.169; 	-3.535; 	 1.903; 	105.258; 	 6.860; 	 7.165; 	 8.994; 
0,44; 	 0.000; 	-0.543; 	-4.916; 	 1.903; 	104.953; 	 7.165; 	 8.689; 	 7.622; 
0,48; 	 0.000; 	-0.439; 	-3.004; 	 1.353; 	104.496; 	 8.232; 	 8.841; 	 9.908; 
0,52; 	 0.000; 	-0.334; 	-2.155; 	 1.134; 	104.191; 	 8.994; 	10.366; 	 9.451; 
0,56; 	 0.000; 	-0.543; 	-3.960; 	 1.683; 	104.801; 	 9.756; 	11.128; 	10.061; 
0,6; 	 0.000; 	-0.647; 	-3.323; 	 1.793; 	105.715; 	10.518; 	10.366; 	12.652; 
0,64; 	 0.000; 	-0.334; 	-2.792; 	 1.024; 	104.648; 	10.671; 	10.671; 	12.119; 
0,68; 	 0.000; 	-0.439; 	-3.323; 	 1.793; 	104.496; 	12.195; 	12.500; 	12.500; 
0,72; 	 0.000; 	-0.439; 	-2.155; 	 0.694; 	103.429; 	11.738; 	12.043; 	12.805; 
0,76; 	 0.000; 	-0.856; 	-3.748; 	 2.123; 	105.411; 	13.872; 	13.110; 	14.329; 
0,8; 	 0.000; 	-0.334; 	-2.155; 	 1.353; 	104.344; 	13.567; 	14.177; 	15.168; 
0,84; 	 0.000; 	-1.482; 	-3.748; 	 2.452; 	106.478; 	14.482; 	14.634; 	15.930; 
0,88; 	 0.000; 	 0.187; 	-2.580; 	 0.914; 	103.886; 	14.558; 	13.872; 	15.168; 
0,92; 	 0.000; 	-1.378; 	-4.173; 	 2.672; 	106.630; 	17.911; 	16.006; 	16.997; 
0,96; 	 0.000; 	-1.586; 	-4.703; 	 2.617; 	107.240; 	18.445; 	16.616; 	17.454; 
