16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2; 	 0.000; 	 0.187; 	-2.898; 	 0.914; 	104.191; 	10.671; 	11.890; 	11.966; 
2,04; 	 0.000; 	-0.022; 	-3.217; 	 0.914; 	103.886; 	10.061; 	10.366; 	11.433; 
2,08; 	 0.000; 	-0.230; 	-2.686; 	 1.353; 	104.801; 	 9.908; 	10.366; 	10.747; 
2,12; 	 0.000; 	-0.022; 	-2.792; 	 1.353; 	103.886; 	 8.232; 	 9.604; 	10.366; 
2,16; 	 0.000; 	 0.083; 	-2.792; 	 1.243; 	104.344; 	 7.927; 	 9.299; 	 9.908; 
2,2; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	105.411; 	 7.165; 	 8.537; 	 8.841; 
2,24; 	 0.000; 	-0.230; 	-2.898; 	 1.573; 	105.106; 	 7.317; 	 8.232; 	 9.146; 
2,28; 	 0.000; 	-0.126; 	-3.004; 	 1.243; 	104.344; 	 5.030; 	 5.945; 	 6.326; 
2,32; 	 0.000; 	-0.022; 	-3.323; 	 1.628; 	104.953; 	 4.878; 	 6.098; 	 6.098; 
2,36; 	 0.000; 	-0.230; 	-3.111; 	 1.024; 	104.344; 	 3.659; 	 5.183; 	 5.869; 
2,4; 	 0.000; 	 0.083; 	-2.792; 	 1.353; 	104.953; 	 2.896; 	 4.726; 	 5.640; 
2,44; 	 0.000; 	-0.022; 	-3.111; 	 1.353; 	104.191; 	 1.524; 	 2.591; 	 3.049; 
2,48; 	 0.000; 	-0.647; 	-3.642; 	 1.573; 	104.801; 	 0.915; 	 3.659; 	 3.354; 
2,52; 	 0.000; 	-0.230; 	-2.580; 	 1.024; 	104.648; 	-0.762; 	 0.762; 	 2.668; 
2,56; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	105.258; 	-2.439; 	 0.610; 	 0.991; 
2,6; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	104.801; 	-2.134; 	 0.915; 	 1.448; 
2,64; 	 0.000; 	-0.334; 	-2.686; 	 1.683; 	104.344; 	-3.582; 	-1.829; 	 0.762; 
