16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	104.953; 	-28.506; 	-20.350; 	-18.978; 
0,08; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.801; 	-28.734; 	-21.265; 	-19.055; 
0,12; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.344; 	-29.573; 	-21.875; 	-20.884; 
0,16; 	 0.000; 	-0.856; 	-3.535; 	 1.903; 	104.496; 	-29.420; 	-22.942; 	-20.046; 
0,2; 	 0.000; 	-1.273; 	-3.429; 	 2.013; 	105.106; 	-29.116; 	-20.655; 	-18.978; 
0,24; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.191; 	-30.640; 	-22.485; 	-21.189; 
0,28; 	 0.000; 	-0.647; 	-3.004; 	 1.573; 	104.344; 	-31.250; 	-22.180; 	-20.350; 
0,32; 	 0.000; 	-0.752; 	-3.004; 	 1.353; 	103.734; 	-31.021; 	-22.332; 	-20.198; 
0,36; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.496; 	-30.335; 	-21.570; 	-19.969; 
0,4; 	 0.000; 	-0.856; 	-3.960; 	 1.793; 	104.648; 	-29.725; 	-23.094; 	-20.046; 
0,44; 	 0.000; 	-0.856; 	-3.429; 	 1.683; 	104.344; 	-30.792; 	-22.103; 	-20.808; 
0,48; 	 0.000; 	-0.856; 	-3.748; 	 2.123; 	104.344; 	-30.183; 	-22.789; 	-20.046; 
0,52; 	 0.000; 	-0.960; 	-3.217; 	 1.573; 	104.344; 	-30.488; 	-21.875; 	-20.960; 
0,56; 	 0.000; 	-0.856; 	-3.217; 	 1.683; 	104.496; 	-30.335; 	-22.332; 	-20.427; 
0,6; 	 0.000; 	-0.543; 	-3.004; 	 2.013; 	104.648; 	-30.335; 	-22.027; 	-20.198; 
0,64; 	 0.000; 	-0.856; 	-3.111; 	 2.342; 	104.496; 	-29.268; 	-20.960; 	-20.350; 
0,68; 	 0.000; 	-0.647; 	-3.217; 	 1.573; 	103.734; 	-30.488; 	-22.332; 	-20.503; 
0,72; 	 0.000; 	-1.482; 	-3.111; 	 2.232; 	104.953; 	-28.811; 	-20.960; 	-19.131; 
0,76; 	 0.000; 	-0.543; 	-3.004; 	 1.243; 	104.039; 	-29.268; 	-21.722; 	-19.588; 
0,8; 	 0.000; 	-0.856; 	-3.429; 	 1.683; 	104.496; 	-28.201; 	-21.570; 	-19.055; 
0,84; 	 0.000; 	-0.700; 	-3.323; 	 1.573; 	104.496; 	-27.744; 	-21.570; 	-17.911; 
0,88; 	 0.000; 	-1.065; 	-3.535; 	 1.134; 	105.411; 	-26.677; 	-20.046; 	-17.911; 
0,92; 	 0.000; 	-1.065; 	-3.429; 	 2.232; 	105.411; 	-26.067; 	-18.216; 	-16.311; 
0,96; 	 0.000; 	-0.491; 	-3.535; 	 1.463; 	103.886; 	-26.677; 	-19.741; 	-17.302; 
1; 	 0.000; 	-0.856; 	-3.323; 	 2.562; 	104.191; 	-25.762; 	-17.607; 	-16.616; 
1,04; 	 0.000; 	-0.647; 	-3.217; 	 1.683; 	104.648; 	-25.000; 	-18.978; 	-15.625; 
1,08; 	 0.000; 	-0.856; 	-3.854; 	 1.353; 	104.191; 	-23.323; 	-16.387; 	-15.549; 
1,12; 	 0.000; 	-0.439; 	-3.323; 	 1.683; 	104.648; 	-22.332; 	-15.472; 	-14.253; 
1,16; 	 0.000; 	-0.543; 	-2.580; 	 1.243; 	104.191; 	-22.637; 	-15.472; 	-14.558; 
1,2; 	 0.000; 	-0.543; 	-2.792; 	 2.123; 	104.953; 	-20.503; 	-14.405; 	-13.491; 
1,24; 	 0.000; 	-1.065; 	-3.323; 	 2.013; 	105.715; 	-19.741; 	-13.186; 	-13.567; 
1,28; 	 0.000; 	 0.083; 	-3.004; 	 1.463; 	104.648; 	-18.978; 	-13.491; 	-12.576; 
1,32; 	 0.000; 	-0.856; 	-3.535; 	 2.232; 	105.411; 	-18.216; 	-12.424; 	-12.043; 
1,36; 	 0.000; 	-1.273; 	-3.535; 	 2.013; 	106.020; 	-17.302; 	-10.442; 	-10.823; 
1,4; 	 0.000; 	 0.343; 	-3.801; 	 2.342; 	105.411; 	-15.472; 	-9.985; 	-9.604; 
1,44; 	 0.000; 	-0.856; 	-3.535; 	 2.232; 	105.258; 	-13.948; 	-9.222; 	-8.460; 
1,48; 	 0.000; 	-0.647; 	-3.429; 	 1.573; 	104.039; 	-14.405; 	-8.308; 	-8.079; 
1,52; 	 0.000; 	-1.690; 	-3.642; 	 1.793; 	104.801; 	-12.729; 	-9.375; 	-7.012; 
1,56; 	 0.000; 	-1.065; 	-3.854; 	 2.123; 	105.563; 	-10.747; 	-6.783; 	-6.402; 
1,6; 	 0.000; 	-0.856; 	-3.429; 	 2.013; 	105.563; 	-10.442; 	-6.479; 	-6.021; 
1,64; 	 0.000; 	-1.690; 	-3.535; 	 2.123; 	105.563; 	-9.375; 	-7.698; 	-4.954; 
1,68; 	 0.000; 	-1.378; 	-3.960; 	 0.364; 	105.563; 	-8.460; 	-5.259; 	-3.735; 
1,72; 	 0.000; 	-1.273; 	-3.748; 	 2.123; 	105.106; 	-6.631; 	-2.896; 	-2.439; 
1,76; 	 0.000; 	-0.439; 	-3.217; 	 1.573; 	104.344; 	-6.174; 	-4.802; 	-2.287; 
1,8; 	 0.000; 	-0.230; 	-2.686; 	 1.024; 	103.734; 	-6.021; 	-3.201; 	-2.134; 
1,84; 	 0.000; 	-0.439; 	-3.535; 	 1.793; 	104.801; 	-4.497; 	-1.067; 	 0.991; 
1,88; 	 0.000; 	-0.647; 	-2.898; 	 1.793; 	104.496; 	-3.049; 	-0.305; 	-0.229; 
1,92; 	 0.000; 	-0.230; 	-3.323; 	 1.024; 	104.496; 	-1.829; 	 0.610; 	 1.524; 
1,96; 	 0.000; 	-0.126; 	-2.898; 	 1.353; 	104.344; 	-1.067; 	 0.762; 	 1.677; 
2; 	 0.000; 	-0.439; 	-3.323; 	 1.793; 	104.953; 	 0.457; 	 2.896; 	 4.344; 
2,04; 	 0.000; 	-0.334; 	-3.111; 	 1.793; 	104.801; 	 1.829; 	 3.354; 	 3.963; 
2,08; 	 0.000; 	-0.230; 	-3.323; 	 1.573; 	104.344; 	 3.049; 	 3.049; 	 4.573; 
2,12; 	 0.000; 	-0.126; 	-3.960; 	 1.243; 	103.886; 	 2.591; 	 4.116; 	 4.726; 
2,16; 	 0.000; 	-0.439; 	-3.111; 	 1.463; 	104.191; 	 3.354; 	 5.183; 	 7.165; 
2,2; 	 0.000; 	-0.230; 	-3.642; 	 1.683; 	104.801; 	 3.659; 	 7.774; 	 7.622; 
2,24; 	 0.000; 	-0.491; 	-1.624; 	 2.013; 	105.411; 	 6.707; 	 7.622; 	 7.774; 
2,28; 	 0.000; 	-0.022; 	-2.951; 	 1.573; 	104.496; 	 7.012; 	 8.689; 	 8.841; 
2,32; 	 0.000; 	-0.439; 	-2.580; 	 1.024; 	104.191; 	 7.165; 	 8.079; 	 9.146; 
2,36; 	 0.000; 	-0.230; 	-3.323; 	 1.134; 	104.496; 	 9.146; 	10.213; 	10.137; 
2,4; 	 0.000; 	-0.126; 	-2.898; 	 1.134; 	104.496; 	 9.451; 	10.061; 	11.280; 
2,44; 	 0.000; 	 0.083; 	-2.686; 	 1.134; 	104.496; 	10.671; 	11.280; 	11.890; 
2,48; 	 0.000; 	-0.230; 	-1.199; 	 1.573; 	104.801; 	11.280; 	11.280; 	14.405; 
2,52; 	 0.000; 	-0.439; 	-3.217; 	 1.683; 	104.191; 	11.890; 	12.805; 	12.576; 
2,56; 	 0.000; 	-0.334; 	-2.580; 	 1.024; 	104.344; 	12.043; 	12.957; 	13.262; 
2,6; 	 0.000; 	-0.439; 	-2.686; 	 1.243; 	104.801; 	12.805; 	13.415; 	15.472; 
2,64; 	 0.000; 	-0.960; 	-3.854; 	 2.342; 	105.563; 	15.472; 	15.091; 	-43.064; 
2,68; 	 0.000; 	 6.080; 	-1.836; 	 4.320; 	108.917; 	17.378; 	26.143; 	19.131; 
2,72; 	 0.000; 	-0.230; 	-3.535; 	 1.134; 	104.496; 	14.634; 	41.006; 	14.024; 
2,76; 	 0.000; 	 0.187; 	-2.686; 	 1.134; 	105.715; 	15.549; 	58.612; 	18.597; 
2,8; 	 0.000; 	-0.804; 	-2.367; 	 1.683; 	106.478; 	17.759; 	74.618; 	20.503; 
2,84; 	 0.000; 	-0.439; 	-2.474; 	 1.793; 	107.240; 	18.216; 	80.487; 	24.085; 
2,88; 	 0.000; 	-0.960; 	-0.987; 	 2.123; 	107.240; 	17.911; 	91.158; 	22.789; 
