16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2; 	 0.000; 	-1.169; 	-3.748; 	 2.232; 	105.411; 	-11.814; 	-7.546; 	-6.936; 
2,04; 	 0.000; 	-0.647; 	-3.748; 	 2.013; 	105.411; 	-13.033; 	-8.460; 	-7.469; 
2,08; 	 0.000; 	-0.647; 	-3.535; 	 1.573; 	104.801; 	-14.100; 	-10.290; 	-9.070; 
2,12; 	 0.000; 	-1.065; 	-3.642; 	 1.958; 	105.258; 	-15.777; 	-9.680; 	-9.527; 
2,16; 	 0.000; 	-1.169; 	-3.323; 	 2.123; 	105.106; 	-17.607; 	-12.119; 	-11.738; 
2,2; 	 0.000; 	-1.169; 	-3.429; 	 2.342; 	105.563; 	-17.149; 	-10.594; 	-11.509; 
2,24; 	 0.000; 	-0.856; 	-4.066; 	 2.232; 	104.953; 	-18.521; 	-12.729; 	-12.424; 
2,28; 	 0.000; 	-1.273; 	-3.748; 	 2.342; 	105.715; 	-19.131; 	-12.119; 	-13.338; 
2,32; 	 0.000; 	-1.065; 	-3.642; 	 2.123; 	105.411; 	-20.808; 	-14.100; 	-12.576; 
2,36; 	 0.000; 	-0.439; 	-3.429; 	 1.573; 	104.496; 	-21.722; 	-14.558; 	-14.177; 
2,4; 	 0.000; 	-0.752; 	-3.854; 	 1.683; 	104.496; 	-22.637; 	-15.930; 	-14.786; 
2,44; 	 0.000; 	-0.856; 	-3.535; 	 2.013; 	104.953; 	-23.247; 	-15.777; 	-15.777; 
2,48; 	 0.000; 	-0.752; 	-3.111; 	 1.683; 	104.344; 	-24.542; 	-17.607; 	-15.549; 
2,52; 	 0.000; 	-0.856; 	-3.642; 	 1.903; 	104.953; 	-25.000; 	-17.759; 	-16.235; 
2,56; 	 0.000; 	-0.647; 	-2.898; 	 1.573; 	104.648; 	-26.677; 	-19.283; 	-17.302; 
2,6; 	 0.000; 	-0.960; 	-3.429; 	 1.903; 	104.801; 	-26.524; 	-19.283; 	-17.454; 
2,64; 	 0.000; 	-0.647; 	-3.429; 	 1.243; 	104.496; 	-27.439; 	-20.046; 	11.128; 
2,68; 	 0.000; 	-0.804; 	-1.996; 	 1.738; 	104.115; 	-28.277; 	-6.402; 	-15.854; 
2,72; 	 0.000; 	-0.856; 	-3.748; 	 1.683; 	104.191; 	-27.591; 	14.329; 	-13.033; 
2,76; 	 0.000; 	-0.960; 	-3.854; 	 2.123; 	105.715; 	-26.524; 	33.917; 	-14.100; 
2,8; 	 0.000; 	-0.856; 	-2.686; 	 1.024; 	103.962; 	-28.506; 	43.445; 	-13.948; 
2,84; 	 0.000; 	-0.960; 	-1.943; 	 2.562; 	105.563; 	-26.981; 	52.439; 	-12.881; 
2,88; 	 0.000; 	-1.273; 	-1.093; 	 1.793; 	106.020; 	-28.201; 	55.335; 	-12.271; 
2,92; 	 0.000; 	-0.752; 	 0.553; 	 0.804; 	106.478; 	-28.201; 	57.393; 	-12.805; 
2,96; 	 0.000; 	-1.065; 	 1.084; 	 1.353; 	106.630; 	-28.201; 	58.307; 	-12.043; 
3; 	 0.000; 	-1.012; 	 2.199; 	 0.859; 	105.944; 	-28.582; 	58.993; 	-12.805; 
3,04; 	 0.000; 	-1.273; 	 3.420; 	 0.035; 	105.411; 	-28.658; 	57.850; 	-12.424; 
3,08; 	 0.000; 	-0.960; 	 4.588; 	 0.804; 	106.173; 	-28.658; 	58.460; 	-12.805; 
3,12; 	 0.000; 	-1.482; 	 5.544; 	 1.024; 	105.411; 	-29.725; 	57.469; 	-13.643; 
3,16; 	 0.000; 	-1.795; 	 6.287; 	 0.914; 	106.020; 	-27.896; 	57.698; 	-12.957; 
3,2; 	 0.000; 	-1.586; 	 7.774; 	 1.573; 	106.478; 	-28.353; 	57.545; 	-12.271; 
3,24; 	 0.000; 	-1.378; 	 9.579; 	 0.914; 	106.020; 	-28.506; 	57.088; 	-13.643; 
3,28; 	 0.000; 	-1.899; 	10.322; 	 1.134; 	106.173; 	-28.506; 	56.478; 	-12.729; 
3,32; 	 0.000; 	-1.899; 	10.853; 	 1.573; 	106.935; 	-27.591; 	57.088; 	-12.957; 
3,36; 	 0.000; 	-2.108; 	11.490; 	 1.353; 	106.173; 	-27.896; 	56.859; 	-12.424; 
3,4; 	 0.000; 	-2.316; 	12.977; 	 1.628; 	106.020; 	-27.286; 	56.783; 	-12.271; 
3,44; 	 0.000; 	-2.316; 	13.773; 	 1.353; 	107.545; 	-26.677; 	57.088; 	-11.204; 
3,48; 	 0.000; 	-2.003; 	15.366; 	 1.024; 	106.783; 	-26.219; 	56.631; 	-11.814; 
3,52; 	 0.000; 	-2.838; 	15.791; 	 1.903; 	107.697; 	-25.305; 	57.545; 	-10.899; 
3,56; 	 0.000; 	-2.525; 	16.959; 	 2.013; 	107.850; 	-23.933; 	57.850; 	-10.518; 
3,6; 	 0.000; 	-2.525; 	17.808; 	 1.463; 	107.240; 	-25.457; 	56.249; 	-10.899; 
3,64; 	 0.000; 	-2.942; 	19.189; 	 0.914; 	105.715; 	-24.542; 	57.698; 	-9.680; 
3,68; 	 0.000; 	-2.942; 	19.826; 	 1.134; 	106.173; 	-23.475; 	57.393; 	-9.375; 
3,72; 	 0.000; 	-2.838; 	20.782; 	 1.243; 	107.087; 	-21.646; 	59.070; 	-7.622; 
3,76; 	 0.000; 	-2.838; 	22.693; 	 1.134; 	106.935; 	-21.570; 	59.527; 	-8.384; 
3,8; 	 0.000; 	-3.046; 	23.649; 	 1.243; 	106.783; 	-21.113; 	58.765; 	-8.308; 
3,84; 	 0.000; 	-3.359; 	24.711; 	 1.024; 	106.783; 	-20.808; 	61.509; 	-6.479; 
3,88; 	 0.000; 	-3.359; 	25.242; 	 1.134; 	107.087; 	-19.436; 	60.289; 	-6.631; 
3,92; 	 0.000; 	-3.620; 	26.303; 	 1.353; 	107.545; 	-18.826; 	63.185; 	-4.497; 
3,96; 	 0.000; 	-3.464; 	27.525; 	 0.584; 	106.630; 	-18.369; 	61.204; 	-5.716; 
4; 	 0.000; 	-3.881; 	28.056; 	 0.914; 	108.002; 	-15.930; 	62.728; 	-3.430; 
4,04; 	 0.000; 	-3.464; 	29.542; 	 0.474; 	106.783; 	-15.930; 	61.813; 	-3.125; 
4,08; 	 0.000; 	-3.881; 	30.816; 	 0.474; 	106.630; 	-15.168; 	63.185; 	-2.668; 
4,12; 	 0.000; 	-3.881; 	31.560; 	 0.364; 	106.173; 	-14.710; 	63.948; 	-2.210; 
4,16; 	 0.000; 	-2.942; 	33.259; 	-0.405; 	105.106; 	-14.558; 	63.033; 	-2.439; 
4,2; 	 0.000; 	-3.359; 	34.108; 	 0.254; 	106.020; 	-12.424; 	65.015; 	-0.838; 
4,24; 	 0.000; 	-3.464; 	35.170; 	 0.914; 	107.240; 	-11.204; 	65.015; 	-0.534; 
4,28; 	 0.000; 	-3.151; 	36.551; 	-0.075; 	105.868; 	-10.594; 	65.777; 	-0.610; 
4,32; 	 0.000; 	-3.777; 	37.188; 	 0.914; 	106.935; 	-8.765; 	67.149; 	 0.915; 
4,36; 	 0.000; 	-3.777; 	37.719; 	 0.914; 	106.630; 	-7.698; 	67.759; 	 2.134; 
4,4; 	 0.000; 	-3.568; 	39.099; 	 0.364; 	106.325; 	-6.936; 	67.149; 	 2.134; 
4,44; 	 0.000; 	-3.881; 	39.842; 	 0.254; 	106.325; 	-5.412; 	68.521; 	 3.354; 
4,48; 	 0.000; 	-4.194; 	40.373; 	 1.353; 	107.392; 	-3.735; 	71.112; 	 5.030; 
4,52; 	 0.000; 	-4.402; 	41.807; 	 2.232; 	105.715; 	-3.582; 	70.655; 	 5.183; 
4,56; 	 0.000; 	-4.298; 	42.444; 	 2.232; 	106.020; 	-2.287; 	72.637; 	 4.878; 
4,6; 	 0.000; 	-4.298; 	43.506; 	 2.342; 	106.325; 	-1.067; 	71.874; 	 5.716; 
4,64; 	 0.000; 	-4.611; 	44.568; 	 2.123; 	106.478; 	 0.762; 	74.923; 	 8.079; 
4,68; 	 0.000; 	-4.611; 	45.311; 	 2.452; 	106.325; 	 1.829; 	74.161; 	 8.689; 
4,72; 	 0.000; 	-4.089; 	46.692; 	 1.683; 	105.563; 	 2.134; 	75.152; 	10.366; 
4,76; 	 0.000; 	-4.715; 	47.329; 	 2.892; 	106.478; 	 4.116; 	76.066; 	11.585; 
4,8; 	 0.000; 	-5.028; 	47.860; 	 3.112; 	106.783; 	 5.183; 	76.219; 	11.661; 
4,84; 	 0.000; 	-5.132; 	49.028; 	 3.221; 	106.783; 	 6.250; 	78.810; 	14.253; 
4,88; 	 0.000; 	-5.237; 	50.196; 	 3.221; 	106.935; 	 6.707; 	78.963; 	13.719; 
4,92; 	 0.000; 	-5.237; 	51.045; 	 2.892; 	106.325; 	 7.012; 	78.658; 	14.710; 
