16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

1,92; 	 0.000; 	-0.647; 	-3.429; 	 1.353; 	104.344; 	-28.963; 	-21.570; 	-19.055; 
1,96; 	 0.000; 	 0.187; 	-3.323; 	 1.134; 	104.039; 	-28.201; 	-20.046; 	-19.436; 
2; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.496; 	-27.286; 	-20.198; 	-19.436; 
2,04; 	 0.000; 	-1.273; 	-3.004; 	 1.353; 	104.496; 	-26.981; 	-19.131; 	-17.911; 
2,08; 	 0.000; 	-0.752; 	-3.323; 	 2.232; 	104.953; 	-26.829; 	-19.436; 	-17.149; 
2,12; 	 0.000; 	-1.065; 	-3.323; 	 2.672; 	104.801; 	-26.067; 	-18.521; 	-16.768; 
2,16; 	 0.000; 	-0.647; 	-3.004; 	 1.573; 	104.191; 	-26.677; 	-17.607; 	-16.387; 
2,2; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	104.496; 	-24.695; 	-17.149; 	-17.911; 
2,24; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	105.106; 	-24.085; 	-17.302; 	-15.701; 
2,28; 	 0.000; 	-0.543; 	-3.429; 	 1.573; 	104.496; 	-22.180; 	-18.216; 	-14.863; 
2,32; 	 0.000; 	-0.752; 	-3.429; 	 1.353; 	104.496; 	-21.570; 	-15.472; 	-11.814; 
2,36; 	 0.000; 	-1.482; 	-3.429; 	 2.013; 	105.106; 	-20.046; 	-14.405; 	-13.338; 
2,4; 	 0.000; 	-0.543; 	-3.217; 	 2.123; 	104.648; 	-19.893; 	-11.052; 	-12.500; 
2,44; 	 0.000; 	-1.273; 	-3.960; 	 3.331; 	105.106; 	-18.826; 	-12.576; 	-12.881; 
2,48; 	 0.000; 	-0.439; 	-2.792; 	 1.793; 	104.191; 	-18.826; 	-11.814; 	-12.271; 
2,52; 	 0.000; 	-1.482; 	-3.429; 	 1.903; 	105.106; 	-17.607; 	-12.576; 	-10.747; 
2,56; 	 0.000; 	-1.169; 	-3.748; 	 2.452; 	105.411; 	-15.777; 	-10.290; 	-9.985; 
2,6; 	 0.000; 	-1.273; 	-3.535; 	 1.903; 	104.953; 	-13.948; 	-8.308; 	-9.070; 
2,64; 	 0.000; 	-1.586; 	-5.978; 	-8.811; 	95.959; 	-15.168; 	-2.744; 	-9.375; 
2,68; 	 0.000; 	-1.273; 	-4.173; 	 2.068; 	105.411; 	-14.100; 	14.329; 	-2.744; 
2,72; 	 0.000; 	 0.500; 	-1.943; 	 1.024; 	104.344; 	-13.110; 	33.917; 	-6.402; 
2,76; 	 0.000; 	-0.543; 	-2.155; 	 1.903; 	105.563; 	-11.052; 	51.981; 	-3.430; 
2,8; 	 0.000; 	-0.647; 	-1.518; 	 1.353; 	106.020; 	-9.985; 	65.320; 	 0.076; 
2,84; 	 0.000; 	 0.396; 	 0.075; 	 0.694; 	105.411; 	-8.613; 	72.332; 	-1.143; 
2,88; 	 0.000; 	 0.500; 	 2.146; 	 0.145; 	106.020; 	-7.851; 	80.487; 	 2.439; 
2,92; 	 0.000; 	 0.291; 	 1.615; 	 0.035; 	107.392; 	-7.088; 	83.383; 	 2.896; 
2,96; 	 0.000; 	 1.595; 	 3.632; 	 0.474; 	106.630; 	-5.564; 	85.060; 	 3.963; 
