16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-2.686; 	 1.463; 	104.801; 	 1.982; 	 3.963; 	 3.506; 
0,08; 	 0.000; 	-0.439; 	-2.792; 	 1.793; 	104.801; 	 1.220; 	 3.049; 	 4.040; 
0,12; 	 0.000; 	-0.439; 	-3.535; 	 1.573; 	104.648; 	 0.000; 	 2.591; 	 2.363; 
0,16; 	 0.000; 	-0.439; 	-3.217; 	 1.518; 	105.258; 	-1.067; 	 2.134; 	 2.668; 
0,2; 	 0.000; 	-0.439; 	-3.217; 	 1.573; 	105.411; 	-2.287; 	 0.915; 	 1.982; 
0,24; 	 0.000; 	-0.022; 	-2.898; 	 1.573; 	104.953; 	-2.896; 	-0.762; 	 0.152; 
0,28; 	 0.000; 	-0.647; 	-3.004; 	 1.353; 	104.496; 	-4.192; 	-1.524; 	-0.610; 
0,32; 	 0.000; 	-0.334; 	-2.686; 	 1.134; 	104.191; 	-5.564; 	-3.201; 	-1.753; 
0,36; 	 0.000; 	-0.543; 	-2.686; 	 1.353; 	104.648; 	-7.546; 	-5.107; 	-3.659; 
0,4; 	 0.000; 	 0.500; 	-1.943; 	 1.243; 	103.734; 	-8.918; 	-5.869; 	-4.344; 
0,44; 	 0.000; 	 0.083; 	-2.474; 	 1.188; 	104.039; 	-9.680; 	-6.174; 	-5.945; 
0,48; 	 0.000; 	-0.752; 	-3.642; 	 1.903; 	104.648; 	-9.070; 	-6.631; 	-4.878; 
0,52; 	 0.000; 	-1.169; 	-3.004; 	 2.342; 	105.868; 	-9.832; 	-5.869; 	-5.869; 
0,56; 	 0.000; 	-0.647; 	-3.535; 	 1.793; 	104.496; 	-11.509; 	-8.155; 	-7.241; 
0,6; 	 0.000; 	-1.065; 	-3.748; 	 1.903; 	104.801; 	-13.033; 	-7.698; 	-7.393; 
0,64; 	 0.000; 	-1.273; 	-3.111; 	 1.683; 	104.953; 	-13.948; 	-9.680; 	-8.689; 
0,68; 	 0.000; 	-1.482; 	-3.217; 	 2.068; 	105.411; 	-15.472; 	-9.070; 	-8.994; 
0,72; 	 0.000; 	-1.482; 	-3.111; 	 1.793; 	105.106; 	-16.539; 	-11.661; 	-10.213; 
0,76; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	104.801; 	-16.692; 	-10.290; 	-10.747; 
0,8; 	 0.000; 	-1.065; 	-3.642; 	 2.123; 	106.020; 	-17.607; 	-11.661; 	-10.976; 
0,84; 	 0.000; 	-0.752; 	-3.217; 	 1.683; 	105.411; 	-18.978; 	-13.033; 	-12.043; 
0,88; 	 0.000; 	-0.960; 	-2.580; 	 2.342; 	104.953; 	-19.741; 	-13.491; 	-13.186; 
0,92; 	 0.000; 	-1.065; 	-2.898; 	 1.243; 	104.496; 	-21.875; 	-14.558; 	-13.262; 
0,96; 	 0.000; 	-0.856; 	-3.004; 	 1.134; 	104.191; 	-22.942; 	-15.625; 	-14.253; 
1; 	 0.000; 	-1.273; 	-3.323; 	 1.353; 	104.953; 	-24.085; 	-17.302; 	-16.006; 
1,04; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	106.020; 	-24.238; 	-17.302; 	-14.710; 
1,08; 	 0.000; 	 0.083; 	-2.580; 	 1.243; 	104.344; 	-25.305; 	-19.893; 	-16.235; 
1,12; 	 0.000; 	-0.856; 	-3.323; 	 2.013; 	104.801; 	-25.152; 	-18.521; 	-16.235; 
1,16; 	 0.000; 	-0.543; 	-3.004; 	 1.793; 	104.648; 	-26.219; 	-18.978; 	-17.149; 
1,2; 	 0.000; 	-0.439; 	-3.111; 	 1.024; 	103.886; 	-27.286; 	-20.655; 	-18.750; 
1,24; 	 0.000; 	-0.856; 	-3.535; 	 2.013; 	104.191; 	-26.219; 	-19.588; 	-17.530; 
1,28; 	 0.000; 	-1.169; 	-3.111; 	 1.793; 	105.258; 	-28.658; 	-20.808; 	-18.674; 
1,32; 	 0.000; 	-0.908; 	-2.580; 	 1.573; 	103.886; 	-28.049; 	-20.350; 	-19.360; 
1,36; 	 0.000; 	-1.065; 	-3.111; 	 1.848; 	104.648; 	-28.811; 	-21.265; 	-19.588; 
1,4; 	 0.000; 	-0.856; 	-3.111; 	 2.013; 	104.801; 	-29.116; 	-21.570; 	-19.741; 
1,44; 	 0.000; 	-0.752; 	-2.898; 	 1.353; 	104.496; 	-30.030; 	-22.485; 	-20.655; 
1,48; 	 0.000; 	-0.647; 	-2.686; 	 1.243; 	103.581; 	-28.506; 	-20.960; 	-19.893; 
1,52; 	 0.000; 	-0.960; 	-2.474; 	 1.134; 	104.191; 	-30.030; 	-21.875; 	-20.579; 
1,56; 	 0.000; 	-0.856; 	-3.111; 	 1.573; 	104.801; 	-30.335; 	-21.875; 	-20.350; 
1,6; 	 0.000; 	-0.543; 	-2.792; 	 1.463; 	104.953; 	-30.183; 	-22.866; 	-21.036; 
