16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-3.004; 	 1.353; 	104.344; 	-28.201; 	-19.436; 	-18.216; 
0,08; 	 0.000; 	-0.856; 	-2.474; 	 1.573; 	104.191; 	-28.201; 	-19.131; 	-18.826; 
0,12; 	 0.000; 	-0.960; 	-2.898; 	 2.232; 	104.191; 	-28.506; 	-20.655; 	-18.216; 
0,16; 	 0.000; 	-0.752; 	-2.367; 	 0.914; 	103.429; 	-30.488; 	-22.180; 	-19.817; 
0,2; 	 0.000; 	-1.065; 	-3.323; 	 1.243; 	103.886; 	-29.725; 	-22.789; 	-20.579; 
0,24; 	 0.000; 	-1.065; 	-3.111; 	 1.793; 	104.801; 	-29.268; 	-21.417; 	-19.969; 
0,28; 	 0.000; 	-1.065; 	-3.111; 	 1.353; 	104.191; 	-29.725; 	-21.570; 	-20.960; 
0,32; 	 0.000; 	-1.065; 	-3.004; 	 1.683; 	104.801; 	-30.488; 	-22.332; 	-19.893; 
0,36; 	 0.000; 	-1.273; 	-2.686; 	 0.694; 	104.496; 	-31.250; 	-22.789; 	-20.655; 
0,4; 	 0.000; 	-1.169; 	-2.739; 	 1.243; 	104.191; 	-31.859; 	-21.570; 	-20.046; 
0,44; 	 0.000; 	-0.856; 	-3.004; 	 1.573; 	104.344; 	-31.097; 	-21.875; 	-21.265; 
0,48; 	 0.000; 	-1.430; 	-3.058; 	 1.353; 	104.420; 	-30.945; 	-22.103; 	-20.122; 
0,52; 	 0.000; 	-1.273; 	-3.642; 	 1.573; 	104.648; 	-30.945; 	-22.027; 	-20.350; 
0,56; 	 0.000; 	-1.065; 	-3.004; 	 1.573; 	104.191; 	-30.335; 	-22.485; 	-20.655; 
