16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.856; 	-3.642; 	 1.793; 	104.648; 	-13.338; 	-9.680; 	-7.774; 
0,08; 	 0.000; 	-0.856; 	-3.642; 	 1.683; 	105.106; 	-14.253; 	-9.375; 	-8.155; 
0,12; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	104.801; 	-15.777; 	-10.290; 	-9.604; 
0,16; 	 0.000; 	-1.482; 	-2.898; 	 1.793; 	104.191; 	-16.997; 	-9.832; 	-10.823; 
0,2; 	 0.000; 	-1.065; 	-3.217; 	 2.013; 	105.106; 	-17.607; 	-11.357; 	-11.509; 
0,24; 	 0.000; 	-1.065; 	-3.429; 	 2.068; 	104.801; 	-18.826; 	-12.729; 	-12.424; 
0,28; 	 0.000; 	-0.908; 	-3.748; 	 2.013; 	105.411; 	-19.436; 	-12.729; 	-11.890; 
0,32; 	 0.000; 	-1.273; 	-3.429; 	 1.573; 	104.496; 	-20.655; 	-13.948; 	-13.338; 
0,36; 	 0.000; 	-0.334; 	-2.898; 	 1.134; 	104.191; 	-21.570; 	-15.472; 	-13.643; 
0,4; 	 0.000; 	-0.334; 	-3.004; 	 1.243; 	104.039; 	-22.789; 	-15.625; 	-15.015; 
0,44; 	 0.000; 	-0.856; 	-3.535; 	 1.683; 	104.191; 	-23.780; 	-17.911; 	-15.244; 
0,48; 	 0.000; 	-0.856; 	-3.111; 	 2.013; 	104.344; 	-23.780; 	-16.997; 	-16.082; 
0,52; 	 0.000; 	-0.856; 	-2.580; 	 1.243; 	104.496; 	-26.067; 	-19.741; 	-17.378; 
0,56; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	104.191; 	-25.762; 	-18.521; 	-16.997; 
0,6; 	 0.000; 	-0.960; 	-3.004; 	 1.243; 	104.344; 	-27.134; 	-20.503; 	-17.988; 
0,64; 	 0.000; 	-0.960; 	-2.792; 	 1.243; 	104.039; 	-27.744; 	-19.283; 	-18.293; 
0,68; 	 0.000; 	-0.543; 	-2.792; 	 1.243; 	104.344; 	-27.744; 	-21.417; 	-18.521; 
0,72; 	 0.000; 	-0.856; 	-3.111; 	 1.573; 	104.496; 	-27.896; 	-20.655; 	-18.826; 
0,76; 	 0.000; 	-1.065; 	-2.898; 	 1.573; 	104.344; 	-28.811; 	-23.247; 	-20.046; 
0,8; 	 0.000; 	-1.273; 	-3.323; 	 2.232; 	104.953; 	-28.658; 	-20.350; 	-19.360; 
0,84; 	 0.000; 	-1.273; 	-2.898; 	 2.068; 	104.648; 	-29.725; 	-22.180; 	-19.436; 
0,88; 	 0.000; 	-1.325; 	-3.217; 	 1.903; 	104.953; 	-29.878; 	-21.570; 	-20.960; 
0,92; 	 0.000; 	-0.960; 	-2.686; 	 1.134; 	104.496; 	-30.030; 	-23.094; 	-20.579; 
0,96; 	 0.000; 	-0.960; 	-2.792; 	 1.353; 	103.886; 	-31.402; 	-22.180; 	-21.189; 
1; 	 0.000; 	-0.856; 	-2.898; 	 1.683; 	104.496; 	-30.792; 	-20.960; 	-20.046; 
1,04; 	 0.000; 	-0.230; 	-3.004; 	 1.134; 	103.581; 	-31.402; 	-22.942; 	-20.960; 
1,08; 	 0.000; 	-0.647; 	-3.217; 	 1.134; 	103.886; 	-30.869; 	-22.789; 	-20.198; 
1,12; 	 0.000; 	-1.169; 	-3.004; 	 1.573; 	104.496; 	-30.183; 	-22.027; 	-20.503; 
