16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	104.496; 	12.347; 	12.652; 	12.195; 
0,08; 	 0.000; 	-0.126; 	-3.217; 	 1.353; 	104.039; 	12.957; 	13.872; 	13.872; 
0,12; 	 0.000; 	-0.126; 	-2.367; 	 1.134; 	104.039; 	12.957; 	13.719; 	13.872; 
0,16; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	104.801; 	14.634; 	13.719; 	15.320; 
0,2; 	 0.000; 	-1.482; 	-3.854; 	 2.123; 	106.173; 	16.311; 	16.539; 	16.921; 
0,24; 	 0.000; 	-0.960; 	-3.535; 	 2.013; 	105.106; 	15.777; 	14.634; 	15.777; 
0,28; 	 0.000; 	-1.065; 	-3.960; 	 2.452; 	106.325; 	17.302; 	16.158; 	16.997; 
0,32; 	 0.000; 	-1.065; 	-4.279; 	 2.287; 	105.715; 	17.911; 	16.235; 	17.302; 
0,36; 	 0.000; 	-0.960; 	-3.854; 	 2.562; 	106.173; 	18.369; 	17.149; 	18.750; 
0,4; 	 0.000; 	-1.065; 	-3.111; 	 1.463; 	104.344; 	17.454; 	14.634; 	16.235; 
0,44; 	 0.000; 	-1.378; 	-4.279; 	 2.342; 	105.868; 	19.588; 	18.064; 	18.369; 
0,48; 	 0.000; 	-0.752; 	-3.217; 	 1.903; 	105.563; 	18.674; 	16.692; 	17.759; 
0,52; 	 0.000; 	-0.856; 	-3.535; 	 2.123; 	105.258; 	17.911; 	16.692; 	18.064; 
0,56; 	 0.000; 	-0.856; 	-3.642; 	 1.793; 	105.258; 	18.216; 	16.539; 	17.530; 
0,6; 	 0.000; 	-1.065; 	-3.535; 	 2.452; 	105.258; 	18.978; 	16.692; 	17.911; 
0,64; 	 0.000; 	-1.273; 	-3.323; 	 1.903; 	105.411; 	18.826; 	16.387; 	18.521; 
0,68; 	 0.000; 	-0.856; 	-3.535; 	 1.793; 	105.411; 	18.826; 	16.387; 	17.683; 
0,72; 	 0.000; 	-0.960; 	-3.217; 	 1.463; 	104.801; 	18.674; 	16.539; 	17.454; 
0,76; 	 0.000; 	-0.960; 	-3.642; 	 1.683; 	104.953; 	19.055; 	16.539; 	18.064; 
0,8; 	 0.000; 	-0.960; 	-3.217; 	 1.463; 	104.648; 	18.064; 	15.930; 	17.454; 
0,84; 	 0.000; 	-1.378; 	-3.748; 	 2.123; 	105.563; 	18.369; 	17.607; 	18.064; 
0,88; 	 0.000; 	-1.012; 	-3.642; 	 1.683; 	105.258; 	17.835; 	16.844; 	18.216; 
0,92; 	 0.000; 	-1.378; 	-2.792; 	 1.793; 	104.953; 	17.149; 	16.235; 	17.149; 
0,96; 	 0.000; 	-1.273; 	-3.748; 	 2.232; 	105.106; 	17.911; 	15.472; 	16.844; 
1; 	 0.000; 	-0.752; 	-3.429; 	 1.683; 	104.953; 	16.844; 	16.082; 	16.539; 
1,04; 	 0.000; 	-1.065; 	-3.748; 	 1.793; 	105.106; 	16.692; 	13.719; 	16.387; 
1,08; 	 0.000; 	-1.065; 	-3.854; 	 2.232; 	105.715; 	16.692; 	16.463; 	16.921; 
1,12; 	 0.000; 	-1.065; 	-3.748; 	 2.232; 	105.411; 	15.549; 	15.396; 	17.302; 
1,16; 	 0.000; 	-1.795; 	-4.916; 	 2.342; 	106.020; 	16.539; 	16.006; 	16.006; 
1,2; 	 0.000; 	-0.230; 	-2.686; 	 2.013; 	105.258; 	14.177; 	13.567; 	14.710; 
1,24; 	 0.000; 	 0.083; 	-1.943; 	 1.353; 	104.496; 	13.262; 	14.024; 	13.262; 
1,28; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	104.953; 	12.500; 	12.805; 	13.415; 
1,32; 	 0.000; 	-0.022; 	-2.474; 	 1.134; 	104.039; 	11.280; 	11.433; 	11.890; 
1,36; 	 0.000; 	-0.230; 	-3.217; 	 1.243; 	104.039; 	11.433; 	13.567; 	12.652; 
1,4; 	 0.000; 	-0.230; 	-2.792; 	 1.463; 	104.648; 	11.128; 	11.128; 	12.043; 
1,44; 	 0.000; 	 0.083; 	-2.367; 	 1.353; 	103.734; 	 9.756; 	10.061; 	11.738; 
1,48; 	 0.000; 	-0.230; 	-3.217; 	 1.134; 	104.191; 	 9.146; 	10.671; 	10.061; 
1,52; 	 0.000; 	-0.334; 	-2.898; 	 1.683; 	104.953; 	 8.841; 	10.823; 	10.061; 
1,56; 	 0.000; 	-0.752; 	-2.686; 	 1.463; 	104.648; 	 5.488; 	 8.537; 	 8.003; 
1,6; 	 0.000; 	-0.334; 	-3.642; 	 1.463; 	104.953; 	 6.631; 	 7.622; 	 7.012; 
1,64; 	 0.000; 	 0.083; 	-2.792; 	 1.243; 	103.734; 	 4.878; 	 6.250; 	 6.860; 
1,68; 	 0.000; 	-0.647; 	-3.217; 	 1.573; 	104.496; 	 5.030; 	 5.488; 	 6.860; 
1,72; 	 0.000; 	-0.439; 	-3.111; 	 1.683; 	104.801; 	 4.268; 	 4.573; 	 5.869; 
1,76; 	 0.000; 	-0.230; 	-2.898; 	 1.243; 	104.801; 	 1.982; 	 3.659; 	 3.506; 
1,8; 	 0.000; 	-0.230; 	-3.217; 	 1.243; 	103.734; 	 1.067; 	 2.287; 	 3.811; 
1,84; 	 0.000; 	-0.543; 	-2.474; 	 0.969; 	104.801; 	 0.762; 	 2.287; 	 3.049; 
1,88; 	 0.000; 	-0.439; 	-3.111; 	 2.013; 	104.801; 	-0.305; 	 2.439; 	 2.134; 
1,92; 	 0.000; 	-0.439; 	-3.111; 	 1.793; 	105.106; 	-1.220; 	 0.305; 	 2.134; 
1,96; 	 0.000; 	-0.334; 	-2.898; 	 2.123; 	104.344; 	-2.896; 	-0.152; 	 0.762; 
2; 	 0.000; 	-0.230; 	-3.217; 	 1.353; 	104.344; 	-4.497; 	-2.287; 	-0.076; 
2,04; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	104.496; 	-4.040; 	-2.896; 	-0.991; 
2,08; 	 0.000; 	 0.083; 	-2.686; 	 0.914; 	103.886; 	-6.174; 	-3.354; 	-2.591; 
2,12; 	 0.000; 	-0.647; 	-3.004; 	 1.793; 	104.496; 	-5.412; 	-4.344; 	-3.277; 
2,16; 	 0.000; 	-0.543; 	-3.217; 	 1.738; 	104.953; 	-8.003; 	-4.802; 	-4.344; 
2,2; 	 0.000; 	-1.273; 	-3.535; 	 2.013; 	105.106; 	-8.918; 	-5.716; 	-5.259; 
2,24; 	 0.000; 	-0.543; 	-3.217; 	 1.903; 	105.258; 	-9.985; 	-6.174; 	-6.174; 
2,28; 	 0.000; 	-0.856; 	-4.385; 	 1.793; 	104.801; 	-11.509; 	-7.546; 	-7.622; 
2,32; 	 0.000; 	-0.752; 	-3.535; 	 1.573; 	104.801; 	-12.576; 	-8.155; 	-7.546; 
2,36; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.496; 	-13.338; 	-9.070; 	-7.165; 
2,4; 	 0.000; 	-0.856; 	-3.429; 	 1.793; 	104.496; 	-14.558; 	-10.290; 	-6.631; 
2,44; 	 0.000; 	-0.856; 	-3.854; 	 1.793; 	104.191; 	-15.168; 	-9.070; 	-9.070; 
2,48; 	 0.000; 	-0.439; 	-3.535; 	 2.013; 	104.496; 	-16.692; 	-12.424; 	-11.204; 
