16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.065; 	-2.686; 	 1.793; 	104.801; 	-1.067; 	 0.305; 	 0.000; 
0,08; 	 0.000; 	-0.856; 	-3.535; 	 2.232; 	105.715; 	-0.762; 	 1.220; 	 3.049; 
0,12; 	 0.000; 	-0.647; 	-3.111; 	 1.573; 	104.648; 	 0.305; 	 2.134; 	 2.439; 
0,16; 	 0.000; 	-0.752; 	-3.111; 	 1.463; 	104.420; 	 1.067; 	 1.982; 	 4.421; 
0,2; 	 0.000; 	-0.230; 	-3.960; 	 1.134; 	104.496; 	 2.439; 	 4.268; 	 4.649; 
0,24; 	 0.000; 	-0.752; 	-1.943; 	 1.079; 	104.039; 	 3.049; 	 4.421; 	 5.183; 
0,28; 	 0.000; 	-0.752; 	-3.217; 	 2.232; 	104.801; 	 5.488; 	 5.793; 	 6.555; 
0,32; 	 0.000; 	-0.439; 	-3.535; 	 1.353; 	105.258; 	 5.640; 	 7.774; 	 8.918; 
0,36; 	 0.000; 	-0.647; 	-2.049; 	 0.804; 	102.972; 	 5.488; 	 7.317; 	 7.622; 
0,4; 	 0.000; 	-1.482; 	-2.261; 	 1.573; 	104.496; 	 6.707; 	 6.707; 	 8.841; 
0,44; 	 0.000; 	-0.022; 	-1.624; 	 0.694; 	103.734; 	 7.317; 	 7.927; 	11.890; 
0,48; 	 0.000; 	-0.230; 	-2.898; 	 1.134; 	103.886; 	 8.994; 	 8.841; 	10.061; 
0,52; 	 0.000; 	-0.230; 	-2.261; 	 0.914; 	104.191; 	 9.756; 	12.500; 	10.823; 
0,56; 	 0.000; 	-0.022; 	-2.898; 	 2.013; 	104.953; 	10.823; 	10.213; 	12.500; 
0,6; 	 0.000; 	-0.543; 	-2.898; 	 1.683; 	104.953; 	12.347; 	13.415; 	12.500; 
0,64; 	 0.000; 	-1.273; 	-2.686; 	 1.793; 	104.496; 	11.585; 	11.585; 	13.415; 
0,68; 	 0.000; 	-0.230; 	-2.474; 	 1.903; 	104.039; 	11.890; 	14.329; 	13.872; 
0,72; 	 0.000; 	-0.439; 	-2.474; 	 1.353; 	104.496; 	12.805; 	13.110; 	13.491; 
0,76; 	 0.000; 	-0.230; 	-2.367; 	 0.914; 	104.191; 	14.024; 	14.329; 	15.168; 
0,8; 	 0.000; 	-1.117; 	-3.376; 	 2.232; 	105.715; 	15.396; 	14.939; 	16.997; 
0,84; 	 0.000; 	-1.169; 	-3.960; 	 1.903; 	105.868; 	14.177; 	15.396; 	16.997; 
0,88; 	 0.000; 	-1.378; 	-4.385; 	 2.013; 	105.715; 	17.302; 	14.939; 	16.387; 
0,92; 	 0.000; 	-1.378; 	-3.535; 	 2.123; 	104.953; 	16.539; 	15.091; 	16.616; 
0,96; 	 0.000; 	-1.482; 	-4.173; 	 2.892; 	106.935; 	17.911; 	16.768; 	17.911; 
1; 	 0.000; 	-1.690; 	-4.810; 	 2.562; 	105.868; 	18.521; 	16.387; 	16.158; 
1,04; 	 0.000; 	-0.960; 	-2.686; 	 1.353; 	105.106; 	17.302; 	14.939; 	16.768; 
1,08; 	 0.000; 	-0.752; 	-3.429; 	 2.013; 	105.106; 	18.521; 	15.854; 	18.216; 
1,12; 	 0.000; 	-1.378; 	-4.385; 	 1.683; 	106.173; 	18.978; 	17.149; 	18.216; 
1,16; 	 0.000; 	-1.273; 	-3.111; 	 1.683; 	104.344; 	18.064; 	17.149; 	17.454; 
1,2; 	 0.000; 	-1.378; 	-3.004; 	 1.463; 	104.496; 	18.674; 	14.634; 	17.149; 
1,24; 	 0.000; 	-1.482; 	-3.535; 	 2.123; 	106.020; 	20.046; 	18.521; 	18.902; 
1,28; 	 0.000; 	-1.378; 	-2.898; 	 1.573; 	104.496; 	18.216; 	15.930; 	16.997; 
1,32; 	 0.000; 	-1.586; 	-3.111; 	 1.683; 	105.258; 	18.978; 	16.997; 	18.750; 
1,36; 	 0.000; 	-1.690; 	-3.642; 	 1.353; 	105.563; 	18.826; 	16.387; 	18.826; 
1,4; 	 0.000; 	-1.586; 	-2.792; 	 1.793; 	104.801; 	19.436; 	16.997; 	18.750; 
1,44; 	 0.000; 	-1.482; 	-3.004; 	 2.123; 	105.258; 	18.826; 	15.777; 	19.131; 
1,48; 	 0.000; 	-1.378; 	-2.792; 	 2.123; 	104.648; 	18.674; 	16.844; 	17.759; 
1,52; 	 0.000; 	-1.273; 	-3.111; 	 1.134; 	104.191; 	17.607; 	15.472; 	16.997; 
1,56; 	 0.000; 	-1.169; 	-2.686; 	 1.793; 	105.106; 	17.988; 	16.692; 	16.387; 
1,6; 	 0.000; 	-1.273; 	-2.898; 	 1.573; 	105.868; 	16.692; 	15.168; 	16.997; 
1,64; 	 0.000; 	-0.856; 	-3.323; 	 2.232; 	105.715; 	16.387; 	15.625; 	16.768; 
1,68; 	 0.000; 	-0.960; 	-4.173; 	 1.353; 	104.801; 	15.777; 	14.329; 	15.549; 
1,72; 	 0.000; 	-1.795; 	-4.066; 	 2.562; 	105.258; 	17.759; 	17.149; 	16.463; 
1,76; 	 0.000; 	-1.378; 	-2.049; 	 1.353; 	103.886; 	14.634; 	14.329; 	15.168; 
1,8; 	 0.000; 	-1.065; 	-2.898; 	 2.672; 	105.715; 	16.158; 	15.244; 	18.216; 
1,84; 	 0.000; 	-1.482; 	-3.642; 	 2.232; 	105.563; 	15.549; 	14.329; 	15.549; 
1,88; 	 0.000; 	-0.647; 	-2.580; 	 1.134; 	104.496; 	13.567; 	13.872; 	14.177; 
1,92; 	 0.000; 	-0.230; 	-2.580; 	 1.463; 	104.344; 	12.805; 	11.890; 	12.957; 
1,96; 	 0.000; 	-0.752; 	-3.323; 	 2.013; 	105.106; 	13.415; 	14.482; 	14.100; 
2; 	 0.000; 	-0.752; 	-1.943; 	 1.683; 	104.344; 	11.738; 	11.280; 	12.957; 
2,04; 	 0.000; 	-0.334; 	-2.580; 	 0.804; 	104.496; 	10.213; 	11.738; 	11.433; 
2,08; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.801; 	10.671; 	11.280; 	11.585; 
2,12; 	 0.000; 	-0.230; 	-2.049; 	 1.408; 	104.191; 	 9.146; 	10.976; 	 9.451; 
2,16; 	 0.000; 	-0.647; 	-3.004; 	 1.793; 	105.411; 	 9.146; 	10.061; 	10.442; 
2,2; 	 0.000; 	-0.387; 	-2.580; 	 1.024; 	104.039; 	 6.098; 	 8.689; 	 8.689; 
2,24; 	 0.000; 	-0.126; 	-3.217; 	 0.804; 	103.734; 	 5.945; 	 6.250; 	 7.469; 
2,28; 	 0.000; 	-0.543; 	-2.580; 	 1.243; 	104.344; 	 5.030; 	 6.860; 	 6.707; 
2,32; 	 0.000; 	-0.439; 	-2.792; 	 1.573; 	104.801; 	 5.183; 	 6.098; 	 6.402; 
2,36; 	 0.000; 	-0.230; 	-3.004; 	 1.024; 	104.953; 	 3.811; 	 5.335; 	 7.241; 
2,4; 	 0.000; 	-0.856; 	-3.323; 	 2.013; 	104.496; 	 3.659; 	 5.030; 	 5.564; 
2,44; 	 0.000; 	-1.378; 	-2.580; 	 1.463; 	104.344; 	 1.677; 	 3.201; 	 3.811; 
2,48; 	 0.000; 	-0.543; 	-2.686; 	 1.683; 	104.496; 	 0.305; 	 2.134; 	 2.973; 
2,52; 	 0.000; 	-0.022; 	-2.898; 	 1.793; 	105.715; 	-0.915; 	 2.591; 	 1.905; 
2,56; 	 0.000; 	 0.604; 	-3.111; 	 1.573; 	105.411; 	-1.524; 	 1.982; 	 1.982; 
2,6; 	 0.000; 	 0.396; 	-1.943; 	 0.474; 	103.581; 	-3.506; 	-0.305; 	-0.457; 
2,64; 	 0.000; 	-1.065; 	-2.792; 	 1.463; 	104.344; 	-3.506; 	-0.305; 	-0.457; 
2,68; 	 0.000; 	-1.273; 	-3.323; 	 1.573; 	104.801; 	-5.412; 	-4.802; 	-1.448; 
2,72; 	 0.000; 	-0.647; 	-2.261; 	 0.364; 	104.496; 	-7.241; 	-3.659; 	-1.829; 
2,76; 	 0.000; 	-0.543; 	-2.420; 	 1.079; 	105.258; 	-5.564; 	-5.107; 	-3.735; 
2,8; 	 0.000; 	-1.273; 	-3.323; 	 1.353; 	105.106; 	-7.546; 	-6.326; 	-2.896; 
