16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

1,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
1,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
1,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
2,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
3,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
4,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
5,96; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,04; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,08; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,12; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,16; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,2; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,24; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,28; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,32; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,36; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,4; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,44; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,48; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,52; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,56; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,6; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,64; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,68; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,72; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,76; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,8; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,84; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,88; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
6,92; 	 0.000; 	-0.856; 	-1.624; 	-3.262; 	 0.000; 	 0.000; 	 0.000; 	 0.000; 
