16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-1.943; 	 0.694; 	103.581; 	13.872; 	13.719; 	14.558; 
0,08; 	 0.000; 	-1.586; 	-3.748; 	 2.232; 	106.020; 	16.692; 	14.329; 	16.235; 
0,12; 	 0.000; 	-0.387; 	-2.155; 	 0.804; 	104.191; 	15.015; 	14.710; 	15.320; 
0,16; 	 0.000; 	-1.273; 	-2.792; 	 1.573; 	105.106; 	16.082; 	14.329; 	15.625; 
0,2; 	 0.000; 	-1.899; 	-4.173; 	 2.892; 	107.087; 	18.826; 	16.463; 	18.369; 
0,24; 	 0.000; 	-1.065; 	-3.960; 	 2.013; 	105.868; 	17.911; 	16.692; 	17.911; 
0,28; 	 0.000; 	-0.752; 	-3.004; 	 1.134; 	104.344; 	17.759; 	13.872; 	16.616; 
0,32; 	 0.000; 	-1.273; 	-3.535; 	 2.013; 	106.020; 	18.826; 	17.302; 	18.293; 
0,36; 	 0.000; 	-1.378; 	-3.217; 	 1.793; 	105.258; 	17.759; 	16.692; 	17.454; 
0,4; 	 0.000; 	-1.378; 	-2.898; 	 1.683; 	104.801; 	18.369; 	16.997; 	17.911; 
0,44; 	 0.000; 	-2.160; 	-3.004; 	 2.123; 	105.411; 	18.216; 	15.930; 	16.997; 
0,48; 	 0.000; 	-1.273; 	-3.323; 	 1.683; 	105.258; 	18.978; 	17.454; 	18.216; 
0,52; 	 0.000; 	-1.169; 	-3.323; 	 2.013; 	105.715; 	19.436; 	15.777; 	18.216; 
0,56; 	 0.000; 	-1.273; 	-3.004; 	 1.573; 	105.106; 	19.131; 	17.302; 	18.216; 
0,6; 	 0.000; 	-1.117; 	-3.535; 	 1.793; 	105.411; 	19.741; 	16.844; 	18.597; 
0,64; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	104.801; 	18.826; 	17.302; 	19.588; 
0,68; 	 0.000; 	-1.482; 	-3.004; 	 1.793; 	105.106; 	18.521; 	16.997; 	17.302; 
0,72; 	 0.000; 	-1.482; 	-2.898; 	 1.793; 	105.258; 	18.216; 	16.692; 	17.149; 
0,76; 	 0.000; 	-1.378; 	-3.111; 	 1.903; 	105.411; 	17.759; 	16.235; 	17.149; 
0,8; 	 0.000; 	-1.586; 	-2.792; 	 1.793; 	104.953; 	17.302; 	15.930; 	16.692; 
0,84; 	 0.000; 	-1.586; 	-3.217; 	 2.342; 	105.715; 	17.759; 	15.396; 	17.835; 
0,88; 	 0.000; 	-1.586; 	-3.642; 	 2.342; 	106.630; 	17.759; 	15.701; 	18.216; 
0,92; 	 0.000; 	-1.586; 	-3.960; 	 2.452; 	106.325; 	18.216; 	16.463; 	18.293; 
0,96; 	 0.000; 	-1.273; 	-3.854; 	 1.573; 	105.106; 	16.387; 	15.549; 	15.930; 
1; 	 0.000; 	-0.334; 	-2.686; 	 0.914; 	104.344; 	14.634; 	13.415; 	15.777; 
1,04; 	 0.000; 	-1.482; 	-3.535; 	 2.123; 	106.020; 	15.854; 	16.235; 	15.854; 
1,08; 	 0.000; 	-0.752; 	-2.792; 	 2.123; 	104.953; 	13.872; 	14.177; 	14.939; 
1,12; 	 0.000; 	-0.543; 	-2.049; 	 1.243; 	104.039; 	13.567; 	14.482; 	14.329; 
1,16; 	 0.000; 	-0.439; 	-1.943; 	 0.584; 	103.886; 	11.890; 	10.366; 	12.500; 
1,2; 	 0.000; 	 0.187; 	-2.686; 	 1.134; 	104.039; 	11.433; 	13.567; 	13.491; 
1,24; 	 0.000; 	-0.543; 	-2.898; 	 1.024; 	104.039; 	10.976; 	10.518; 	11.738; 
1,28; 	 0.000; 	 0.187; 	-2.261; 	 1.573; 	104.496; 	10.671; 	10.366; 	11.966; 
1,32; 	 0.000; 	-0.334; 	-2.686; 	 1.243; 	104.344; 	 8.994; 	10.213; 	12.043; 
1,36; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	105.411; 	10.061; 	10.366; 	10.061; 
1,4; 	 0.000; 	-1.065; 	-2.792; 	 1.683; 	104.953; 	 8.537; 	 9.299; 	 9.908; 
1,44; 	 0.000; 	-0.856; 	-2.898; 	 1.353; 	104.344; 	 6.402; 	 7.012; 	 8.232; 
1,48; 	 0.000; 	-0.439; 	-2.686; 	 1.298; 	104.344; 	 5.716; 	 7.774; 	 8.384; 
1,52; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.496; 	 5.030; 	 7.317; 	 5.564; 
