16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.334; 	-2.367; 	 1.353; 	104.191; 	13.415; 	13.262; 	13.872; 
0,08; 	 0.000; 	-0.230; 	-2.474; 	 1.353; 	103.886; 	12.805; 	12.043; 	13.262; 
0,12; 	 0.000; 	-0.022; 	-3.111; 	 0.914; 	104.496; 	12.195; 	12.195; 	13.415; 
0,16; 	 0.000; 	 0.291; 	-2.367; 	 0.804; 	104.344; 	11.128; 	10.671; 	12.043; 
0,2; 	 0.000; 	-0.230; 	-3.217; 	 1.134; 	104.801; 	10.518; 	11.585; 	11.280; 
0,24; 	 0.000; 	 0.500; 	-2.155; 	 0.914; 	103.581; 	 9.299; 	 8.994; 	 9.908; 
0,28; 	 0.000; 	-0.439; 	-2.686; 	 1.353; 	104.496; 	 9.146; 	 9.756; 	10.061; 
0,32; 	 0.000; 	-0.543; 	-2.686; 	 1.353; 	104.267; 	 7.927; 	 9.299; 	 9.222; 
0,36; 	 0.000; 	-0.752; 	-2.686; 	 1.573; 	104.801; 	 7.317; 	 8.537; 	 8.918; 
0,4; 	 0.000; 	-0.543; 	-2.474; 	 1.573; 	104.801; 	 6.783; 	 7.927; 	 8.994; 
0,44; 	 0.000; 	-0.022; 	-2.686; 	 1.353; 	104.801; 	 5.945; 	 7.012; 	 7.393; 
0,48; 	 0.000; 	 0.187; 	-2.686; 	 1.243; 	104.344; 	 4.421; 	 5.945; 	 6.021; 
0,52; 	 0.000; 	 0.083; 	-2.898; 	 1.353; 	104.648; 	 3.354; 	 4.573; 	 6.098; 
0,56; 	 0.000; 	-0.334; 	-2.898; 	 2.013; 	104.953; 	 3.506; 	 3.659; 	 5.183; 
0,6; 	 0.000; 	-0.439; 	-2.686; 	 1.353; 	104.648; 	 1.677; 	 3.963; 	 3.887; 
0,64; 	 0.000; 	-0.230; 	-2.686; 	 1.628; 	104.801; 	 0.610; 	 2.134; 	 3.049; 
0,68; 	 0.000; 	-0.230; 	-2.474; 	 1.353; 	104.344; 	-0.915; 	 2.134; 	 1.905; 
0,72; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	104.801; 	-0.915; 	 1.220; 	 1.905; 
0,76; 	 0.000; 	-0.334; 	-3.004; 	 1.243; 	104.801; 	-2.134; 	 1.067; 	 1.372; 
0,8; 	 0.000; 	-0.282; 	-3.004; 	 1.134; 	103.886; 	-3.963; 	-1.677; 	-0.305; 
0,84; 	 0.000; 	-0.334; 	-2.474; 	 1.024; 	103.734; 	-5.183; 	-2.287; 	-1.220; 
0,88; 	 0.000; 	-0.230; 	-2.580; 	 1.573; 	103.886; 	-6.326; 	-4.116; 	-2.058; 
0,92; 	 0.000; 	-0.439; 	-2.898; 	 1.793; 	104.496; 	-6.936; 	-3.354; 	-2.744; 
0,96; 	 0.000; 	-0.543; 	-2.792; 	 1.243; 	104.648; 	-8.232; 	-5.107; 	-4.344; 
1; 	 0.000; 	-1.169; 	-3.111; 	 1.848; 	105.258; 	-9.070; 	-5.412; 	-5.030; 
1,04; 	 0.000; 	-0.856; 	-3.429; 	 1.903; 	105.258; 	-10.137; 	-5.869; 	-4.878; 
1,08; 	 0.000; 	-0.752; 	-3.429; 	 1.683; 	104.801; 	-11.433; 	-7.241; 	-6.631; 
1,12; 	 0.000; 	-0.647; 	-3.111; 	 2.123; 	104.801; 	-11.814; 	-7.698; 	-7.088; 
1,16; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.106; 	-12.729; 	-7.851; 	-7.774; 
1,2; 	 0.000; 	-0.439; 	-3.111; 	 1.793; 	105.106; 	-14.863; 	-10.137; 	-8.765; 
1,24; 	 0.000; 	-1.273; 	-3.748; 	 2.013; 	105.258; 	-16.082; 	-9.985; 	-9.985; 
1,28; 	 0.000; 	-1.273; 	-3.111; 	 2.013; 	105.106; 	-16.387; 	-10.594; 	-11.204; 
1,32; 	 0.000; 	-1.273; 	-3.217; 	 2.232; 	104.801; 	-17.225; 	-11.509; 	-11.966; 
1,36; 	 0.000; 	-0.543; 	-3.004; 	 2.232; 	105.715; 	-17.911; 	-11.814; 	-11.814; 
1,4; 	 0.000; 	-0.752; 	-2.792; 	 1.793; 	104.953; 	-19.741; 	-12.576; 	-13.033; 
1,44; 	 0.000; 	-0.647; 	-2.686; 	 1.683; 	105.106; 	-21.113; 	-13.948; 	-12.576; 
