16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.543; 	-2.898; 	 1.134; 	104.344; 	13.719; 	11.585; 	13.948; 
0,08; 	 0.000; 	-0.856; 	-3.323; 	 2.892; 	105.411; 	13.110; 	14.634; 	15.244; 
0,12; 	 0.000; 	-0.230; 	-3.004; 	 1.353; 	104.039; 	11.585; 	11.890; 	12.500; 
0,16; 	 0.000; 	-0.960; 	-2.792; 	 1.243; 	104.496; 	11.585; 	14.177; 	12.424; 
0,2; 	 0.000; 	-0.230; 	-2.898; 	-0.185; 	105.106; 	10.518; 	11.433; 	12.271; 
0,24; 	 0.000; 	-0.022; 	-3.111; 	 1.793; 	105.106; 	12.652; 	11.585; 	11.738; 
0,28; 	 0.000; 	 0.291; 	-2.792; 	 1.463; 	104.648; 	 9.756; 	10.213; 	 9.756; 
0,32; 	 0.000; 	-0.334; 	-3.004; 	 1.573; 	104.344; 	 8.079; 	 9.299; 	10.594; 
0,36; 	 0.000; 	-0.856; 	-3.004; 	 1.243; 	103.886; 	 7.012; 	10.671; 	 9.527; 
0,4; 	 0.000; 	-0.752; 	-3.642; 	 1.573; 	104.953; 	 7.012; 	 8.232; 	 8.232; 
0,44; 	 0.000; 	-0.022; 	-2.898; 	 1.243; 	103.581; 	 6.098; 	 7.317; 	 8.232; 
0,48; 	 0.000; 	-0.334; 	-2.792; 	 1.243; 	104.648; 	 5.335; 	 8.079; 	 5.335; 
0,52; 	 0.000; 	-0.856; 	-4.173; 	 1.903; 	105.411; 	 5.183; 	 6.098; 	 7.393; 
0,56; 	 0.000; 	-0.022; 	-3.535; 	 1.188; 	104.496; 	 2.744; 	 4.726; 	 4.878; 
0,6; 	 0.000; 	-0.334; 	-3.748; 	 1.353; 	104.496; 	 2.134; 	 1.067; 	 4.649; 
0,64; 	 0.000; 	-0.334; 	-3.429; 	 2.562; 	105.258; 	 1.982; 	 4.116; 	 3.277; 
0,68; 	 0.000; 	-0.334; 	-3.217; 	 1.903; 	105.563; 	 0.457; 	 2.287; 	 3.354; 
0,72; 	 0.000; 	-0.439; 	-3.323; 	 1.573; 	104.801; 	-0.305; 	 2.744; 	 2.287; 
0,76; 	 0.000; 	-0.126; 	-2.898; 	 0.914; 	105.106; 	-2.134; 	-0.915; 	 0.762; 
0,8; 	 0.000; 	-0.647; 	-3.429; 	 1.683; 	104.648; 	-0.915; 	-0.457; 	 1.677; 
0,84; 	 0.000; 	-0.491; 	-3.217; 	 1.793; 	105.106; 	-4.040; 	-1.829; 	-0.915; 
0,88; 	 0.000; 	-0.126; 	-3.429; 	 1.683; 	104.648; 	-4.116; 	 0.000; 	-0.457; 
0,92; 	 0.000; 	-0.960; 	-3.217; 	 1.738; 	104.648; 	-6.174; 	-4.116; 	-1.982; 
0,96; 	 0.000; 	 0.083; 	-3.004; 	 1.683; 	104.496; 	-7.393; 	-4.573; 	-3.735; 
1; 	 0.000; 	 0.083; 	-2.686; 	 0.914; 	102.819; 	-9.070; 	-6.783; 	-5.030; 
1,04; 	 0.000; 	-1.899; 	-2.898; 	 2.232; 	105.258; 	-9.070; 	-3.049; 	-4.116; 
1,08; 	 0.000; 	-1.586; 	-4.066; 	 3.002; 	106.173; 	-9.222; 	-5.259; 	-4.497; 
1,12; 	 0.000; 	-1.378; 	-3.429; 	 2.013; 	105.411; 	-10.290; 	-6.631; 	-6.936; 
1,16; 	 0.000; 	-1.378; 	-3.217; 	 2.068; 	105.563; 	-12.271; 	-7.393; 	-7.546; 
1,2; 	 0.000; 	-0.647; 	-3.748; 	 1.353; 	104.801; 	-13.643; 	-8.765; 	-9.375; 
1,24; 	 0.000; 	-1.065; 	-3.642; 	 1.463; 	104.801; 	-12.576; 	-9.985; 	-8.308; 
1,28; 	 0.000; 	-1.065; 	-2.686; 	 3.112; 	106.020; 	-14.100; 	-9.985; 	-11.204; 
1,32; 	 0.000; 	-1.065; 	-3.854; 	 1.353; 	104.648; 	-17.759; 	-10.442; 	-10.137; 
1,36; 	 0.000; 	-1.899; 	-3.323; 	 2.232; 	105.258; 	-17.911; 	-11.204; 	-12.043; 
1,4; 	 0.000; 	-1.273; 	-4.173; 	 1.793; 	105.106; 	-19.436; 	-12.881; 	-11.661; 
1,44; 	 0.000; 	-1.065; 	-3.748; 	 2.232; 	105.106; 	-20.503; 	-13.338; 	-12.729; 
