16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.273; 	-3.854; 	 2.232; 	105.411; 	17.149; 	14.939; 	15.854; 
0,08; 	 0.000; 	-0.491; 	-2.898; 	 1.573; 	104.953; 	16.997; 	14.939; 	16.006; 
0,12; 	 0.000; 	-1.482; 	-3.642; 	 2.287; 	105.715; 	17.911; 	16.616; 	16.844; 
0,16; 	 0.000; 	-0.126; 	-2.686; 	 1.243; 	104.191; 	16.539; 	15.320; 	16.539; 
0,2; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	104.801; 	18.216; 	16.387; 	16.997; 
0,24; 	 0.000; 	-1.169; 	-3.323; 	 1.573; 	104.648; 	18.521; 	14.939; 	17.911; 
0,28; 	 0.000; 	-1.273; 	-3.748; 	 2.342; 	105.715; 	19.283; 	16.997; 	18.521; 
0,32; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.648; 	17.911; 	16.082; 	17.454; 
0,36; 	 0.000; 	-1.065; 	-3.429; 	 2.232; 	105.411; 	19.436; 	18.521; 	17.988; 
0,4; 	 0.000; 	-1.482; 	-3.111; 	 2.232; 	105.411; 	18.521; 	15.625; 	17.911; 
0,44; 	 0.000; 	-0.960; 	-3.217; 	 1.903; 	105.258; 	19.131; 	16.844; 	17.759; 
0,48; 	 0.000; 	-1.169; 	-3.111; 	 1.573; 	104.496; 	18.216; 	14.329; 	16.463; 
0,52; 	 0.000; 	-1.586; 	-4.279; 	 2.782; 	106.020; 	19.893; 	18.064; 	19.588; 
0,56; 	 0.000; 	-1.169; 	-3.217; 	 1.903; 	105.106; 	18.521; 	16.844; 	17.378; 
0,6; 	 0.000; 	-0.856; 	-3.960; 	 2.232; 	105.411; 	18.978; 	15.930; 	17.302; 
0,64; 	 0.000; 	-0.856; 	-3.535; 	 2.123; 	105.258; 	18.521; 	15.549; 	18.521; 
0,68; 	 0.000; 	-1.586; 	-3.854; 	 2.123; 	105.868; 	18.826; 	16.997; 	17.759; 
0,72; 	 0.000; 	-0.960; 	-3.323; 	 1.573; 	105.258; 	16.997; 	16.539; 	16.387; 
0,76; 	 0.000; 	-0.752; 	-3.217; 	 2.123; 	105.563; 	16.844; 	15.396; 	16.235; 
0,8; 	 0.000; 	-1.690; 	-4.173; 	 2.892; 	106.935; 	17.607; 	16.006; 	17.302; 
0,84; 	 0.000; 	-1.586; 	-4.066; 	 2.672; 	106.478; 	16.616; 	16.311; 	18.216; 
0,88; 	 0.000; 	-1.169; 	-3.854; 	 1.903; 	105.258; 	16.311; 	15.091; 	16.844; 
0,92; 	 0.000; 	-0.752; 	-3.642; 	 1.793; 	105.563; 	15.701; 	15.701; 	16.311; 
0,96; 	 0.000; 	 0.083; 	-2.686; 	 0.694; 	103.581; 	13.415; 	11.585; 	14.024; 
1; 	 0.000; 	-0.334; 	-2.792; 	 1.793; 	104.344; 	13.262; 	13.719; 	14.177; 
1,04; 	 0.000; 	-0.543; 	-2.686; 	 1.243; 	104.496; 	12.195; 	12.805; 	12.957; 
1,08; 	 0.000; 	-0.334; 	-2.792; 	 1.573; 	104.344; 	12.043; 	12.957; 	12.195; 
1,12; 	 0.000; 	-0.439; 	-3.004; 	 1.683; 	104.648; 	11.128; 	11.128; 	11.738; 
1,16; 	 0.000; 	 0.083; 	-2.367; 	 1.024; 	104.039; 	 9.756; 	10.823; 	10.213; 
1,2; 	 0.000; 	-0.022; 	-3.004; 	 0.804; 	104.191; 	 9.299; 	 9.146; 	11.128; 
1,24; 	 0.000; 	-0.647; 	-3.748; 	 1.573; 	105.106; 	 9.451; 	 9.756; 	10.366; 
1,28; 	 0.000; 	-0.126; 	-2.898; 	 0.694; 	104.496; 	 7.622; 	 8.841; 	10.366; 
1,32; 	 0.000; 	-0.126; 	-2.474; 	 0.804; 	103.581; 	 6.098; 	 7.012; 	 7.088; 
1,36; 	 0.000; 	-0.439; 	-2.898; 	 1.573; 	105.106; 	 6.250; 	 8.537; 	 8.232; 
1,4; 	 0.000; 	-0.439; 	-2.898; 	 1.628; 	105.106; 	 5.030; 	 6.555; 	 6.098; 
1,44; 	 0.000; 	-0.022; 	-2.898; 	 1.683; 	105.258; 	 4.116; 	 5.640; 	 6.707; 
1,48; 	 0.000; 	-0.334; 	-3.323; 	 1.353; 	105.106; 	 3.506; 	 5.183; 	 5.869; 
1,52; 	 0.000; 	-0.647; 	-3.429; 	 1.793; 	104.801; 	 2.287; 	 3.963; 	 4.040; 
1,56; 	 0.000; 	-0.647; 	-3.535; 	 1.463; 	104.191; 	 0.610; 	 3.049; 	 3.430; 
1,6; 	 0.000; 	-0.439; 	-3.323; 	 1.903; 	105.258; 	 1.220; 	 2.896; 	 2.896; 
1,64; 	 0.000; 	 0.187; 	-2.474; 	 0.914; 	104.191; 	-1.524; 	 2.134; 	 1.829; 
1,68; 	 0.000; 	-0.178; 	-3.004; 	 1.353; 	104.496; 	-2.896; 	-1.067; 	 0.838; 
1,72; 	 0.000; 	-0.230; 	-2.792; 	 2.013; 	104.801; 	-3.201; 	 0.762; 	 0.457; 
1,76; 	 0.000; 	-0.543; 	-3.004; 	 1.903; 	105.258; 	-4.573; 	-2.439; 	-0.076; 
1,8; 	 0.000; 	-0.647; 	-3.217; 	 1.573; 	104.648; 	-5.107; 	-1.829; 	-0.991; 
1,84; 	 0.000; 	 0.083; 	-2.155; 	 1.243; 	104.039; 	-6.783; 	-4.726; 	-1.905; 
1,88; 	 0.000; 	-0.126; 	-2.792; 	 0.804; 	103.886; 	-9.527; 	-4.421; 	-3.735; 
1,92; 	 0.000; 	-0.230; 	-4.173; 	 1.353; 	104.344; 	-8.765; 	-6.021; 	-4.192; 
1,96; 	 0.000; 	-0.022; 	-3.111; 	 0.914; 	104.648; 	-10.442; 	-6.936; 	-7.165; 
2; 	 0.000; 	-1.065; 	-3.323; 	 2.123; 	105.106; 	-10.594; 	-6.021; 	-5.640; 
2,04; 	 0.000; 	-1.065; 	-3.429; 	 2.232; 	105.411; 	-11.357; 	-6.936; 	-6.250; 
2,08; 	 0.000; 	-1.065; 	-3.111; 	 2.013; 	104.801; 	-13.033; 	-7.241; 	-7.165; 
2,12; 	 0.000; 	 0.813; 	-2.898; 	 1.573; 	105.106; 	-14.253; 	-9.832; 	-9.375; 
2,16; 	 0.000; 	-1.273; 	-3.535; 	 1.628; 	105.106; 	-15.091; 	-9.527; 	-9.222; 
2,2; 	 0.000; 	-0.960; 	-3.748; 	 1.793; 	105.106; 	-16.387; 	-9.985; 	-10.137; 
2,24; 	 0.000; 	-0.752; 	-3.642; 	 1.793; 	104.801; 	-16.844; 	-10.290; 	-10.899; 
2,28; 	 0.000; 	-1.169; 	-3.323; 	 0.145; 	105.258; 	-18.826; 	-11.357; 	-11.357; 
2,32; 	 0.000; 	-1.065; 	-3.323; 	 2.232; 	104.801; 	-17.530; 	-13.948; 	-11.738; 
2,36; 	 0.000; 	-1.482; 	-3.429; 	 2.013; 	105.106; 	-19.436; 	-12.424; 	-13.110; 
2,4; 	 0.000; 	-1.065; 	-3.535; 	 2.013; 	105.106; 	-20.655; 	-13.948; 	-13.338; 
2,44; 	 0.000; 	-0.647; 	-2.686; 	 1.573; 	104.344; 	-23.933; 	-14.863; 	-14.177; 
2,48; 	 0.000; 	-0.543; 	-1.836; 	 1.024; 	103.734; 	-24.314; 	-16.539; 	-16.235; 
2,52; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	103.581; 	-23.704; 	-15.625; 	-15.701; 
2,56; 	 0.000; 	-1.065; 	-3.429; 	 1.683; 	104.496; 	-24.238; 	-17.302; 	-15.930; 
2,6; 	 0.000; 	-0.491; 	-3.111; 	 1.353; 	104.496; 	-24.847; 	-18.369; 	-16.311; 
2,64; 	 0.000; 	-0.543; 	-3.004; 	 1.793; 	110.593; 	-25.152; 	-20.655; 	-16.616; 
2,68; 	 0.000; 	-1.482; 	-3.217; 	 1.793; 	104.496; 	-26.829; 	-12.424; 	-16.692; 
2,72; 	 0.000; 	-0.856; 	-3.535; 	 1.573; 	104.801; 	-27.591; 	-3.049; 	-16.006; 
2,76; 	 0.000; 	-0.752; 	-3.111; 	 1.573; 	105.106; 	-27.439; 	 3.659; 	-16.616; 
2,8; 	 0.000; 	 0.813; 	-2.261; 	 1.353; 	105.411; 	-28.201; 	11.585; 	-16.082; 
2,84; 	 0.000; 	-0.647; 	-2.686; 	 2.013; 	105.411; 	-28.811; 	12.500; 	-15.396; 
