16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.648; 	-27.591; 	-20.655; 	-18.216; 
0,08; 	 0.000; 	-0.230; 	-3.217; 	 0.694; 	104.191; 	-29.116; 	-21.417; 	-19.436; 
0,12; 	 0.000; 	-0.960; 	-3.429; 	 1.793; 	104.953; 	-28.811; 	-20.503; 	-18.978; 
0,16; 	 0.000; 	-0.960; 	-3.535; 	 1.573; 	104.496; 	-29.116; 	-21.570; 	-20.046; 
0,2; 	 0.000; 	-0.960; 	-3.323; 	 1.683; 	104.344; 	-29.573; 	-21.570; 	-20.198; 
0,24; 	 0.000; 	-1.065; 	-3.535; 	 2.123; 	104.801; 	-29.420; 	-21.875; 	-20.503; 
0,28; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.801; 	-30.640; 	-22.180; 	-19.893; 
0,32; 	 0.000; 	-0.543; 	-2.898; 	 0.584; 	104.344; 	-31.250; 	-22.789; 	-20.274; 
0,36; 	 0.000; 	-0.856; 	-3.535; 	 1.463; 	104.191; 	-30.640; 	-22.485; 	-20.960; 
0,4; 	 0.000; 	-0.491; 	-3.217; 	 1.024; 	103.886; 	-30.640; 	-22.180; 	-20.350; 
0,44; 	 0.000; 	-0.856; 	-3.748; 	 1.573; 	104.496; 	-30.640; 	-23.323; 	-21.265; 
0,48; 	 0.000; 	-0.543; 	-3.217; 	 1.243; 	103.886; 	-30.792; 	-22.332; 	-19.588; 
0,52; 	 0.000; 	-1.273; 	-3.323; 	 1.573; 	104.496; 	-30.335; 	-22.485; 	-20.579; 
