16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

2; 	 0.000; 	-0.334; 	-3.004; 	 1.134; 	104.039; 	-0.610; 	 1.372; 	 2.820; 
2,04; 	 0.000; 	-0.230; 	-3.535; 	 2.013; 	105.411; 	 1.372; 	 2.134; 	 2.744; 
2,08; 	 0.000; 	-0.126; 	-3.642; 	 1.793; 	103.886; 	-2.134; 	 0.610; 	-0.305; 
2,12; 	 0.000; 	-1.065; 	-3.217; 	 1.463; 	104.953; 	-2.439; 	 0.610; 	 1.220; 
2,16; 	 0.000; 	-0.126; 	-2.367; 	 1.463; 	104.496; 	-4.649; 	-2.591; 	-1.143; 
2,2; 	 0.000; 	-0.334; 	-2.049; 	 1.573; 	104.801; 	-5.107; 	-2.134; 	-0.534; 
2,24; 	 0.000; 	-0.334; 	-3.111; 	 1.683; 	104.496; 	-6.631; 	-3.811; 	-2.134; 
2,28; 	 0.000; 	-0.439; 	-3.217; 	 1.903; 	105.258; 	-6.479; 	-2.896; 	-1.829; 
2,32; 	 0.000; 	-0.022; 	-3.323; 	 1.573; 	104.496; 	-7.698; 	-5.412; 	-3.354; 
2,36; 	 0.000; 	-0.022; 	-3.217; 	 1.353; 	103.886; 	-9.680; 	-6.021; 	-5.640; 
2,4; 	 0.000; 	-1.065; 	-3.111; 	 2.013; 	104.953; 	-10.290; 	-6.631; 	-5.716; 
2,44; 	 0.000; 	-0.960; 	-3.748; 	 2.342; 	104.801; 	-11.661; 	-7.393; 	-6.174; 
2,48; 	 0.000; 	-1.065; 	-3.429; 	 2.013; 	104.801; 	-13.186; 	-7.546; 	-7.851; 
2,52; 	 0.000; 	-1.065; 	-3.111; 	 1.793; 	105.106; 	-13.338; 	-8.765; 	-8.384; 
2,56; 	 0.000; 	-1.273; 	-3.429; 	 1.683; 	104.648; 	-15.168; 	-9.680; 	-10.518; 
2,6; 	 0.000; 	-1.273; 	-3.960; 	 2.452; 	105.106; 	-15.015; 	-9.832; 	-9.527; 
2,64; 	 0.000; 	-1.065; 	-3.323; 	 1.463; 	104.496; 	-15.777; 	-10.899; 	-10.290; 
2,68; 	 0.000; 	-1.169; 	-5.872; 	 2.342; 	104.953; 	-17.454; 	-9.070; 	-11.509; 
2,72; 	 0.000; 	-0.960; 	-3.748; 	 1.903; 	104.801; 	-19.741; 	-6.021; 	-12.576; 
2,76; 	 0.000; 	-0.856; 	-3.748; 	 2.013; 	105.258; 	-19.741; 	-0.457; 	-10.290; 
2,8; 	 0.000; 	-1.378; 	-3.429; 	 2.672; 	105.868; 	-20.808; 	 1.067; 	-10.366; 
2,84; 	 0.000; 	-1.065; 	-3.323; 	 3.881; 	105.715; 	-21.875; 	 5.335; 	-11.204; 
2,88; 	 0.000; 	-1.378; 	-2.898; 	 2.782; 	105.944; 	-21.646; 	 5.945; 	-11.280; 
2,92; 	 0.000; 	-0.647; 	-2.898; 	 2.013; 	105.411; 	-23.475; 	 7.927; 	-12.729; 
2,96; 	 0.000; 	-0.334; 	-1.943; 	 1.903; 	104.648; 	-25.152; 	 3.506; 	-14.329; 
3; 	 0.000; 	-1.169; 	-2.049; 	 2.123; 	105.411; 	-25.610; 	 5.488; 	-14.405; 
3,04; 	 0.000; 	-0.647; 	-1.412; 	 2.013; 	105.411; 	-25.762; 	 2.744; 	-14.253; 
3,08; 	 0.000; 	-1.378; 	-1.518; 	 2.782; 	105.563; 	-25.305; 	 5.335; 	-15.015; 
3,12; 	 0.000; 	-0.856; 	-0.774; 	 2.232; 	104.801; 	-26.981; 	 3.659; 	-16.235; 
3,16; 	 0.000; 	-1.273; 	-0.774; 	 2.232; 	105.563; 	-27.591; 	 3.049; 	-16.844; 
3,2; 	 0.000; 	-0.804; 	-0.509; 	 1.738; 	105.182; 	-28.277; 	 3.125; 	-16.692; 
3,24; 	 0.000; 	-0.960; 	-0.350; 	 2.013; 	106.020; 	-28.506; 	 2.744; 	-16.844; 
3,28; 	 0.000; 	-0.752; 	 0.606; 	 1.903; 	105.106; 	-29.268; 	 2.439; 	-17.607; 
3,32; 	 0.000; 	-0.647; 	 0.606; 	 0.914; 	104.191; 	-30.640; 	 1.829; 	-18.445; 
3,36; 	 0.000; 	-1.065; 	 0.447; 	 0.914; 	106.020; 	-29.116; 	 2.134; 	-17.454; 
3,4; 	 0.000; 	-0.856; 	 1.296; 	 0.914; 	105.411; 	-29.725; 	 0.762; 	-18.216; 
3,44; 	 0.000; 	-1.482; 	 1.402; 	 0.804; 	105.868; 	-30.030; 	 1.067; 	-18.064; 
3,48; 	 0.000; 	-1.378; 	 1.933; 	 0.584; 	105.106; 	-31.402; 	 1.982; 	-18.521; 
3,52; 	 0.000; 	-1.482; 	 2.146; 	 1.243; 	105.715; 	-31.402; 	-0.915; 	-19.055; 
3,56; 	 0.000; 	-1.743; 	 1.933; 	 1.793; 	106.325; 	-29.344; 	 2.896; 	-17.454; 
3,6; 	 0.000; 	-1.065; 	 2.677; 	 0.749; 	105.106; 	-30.183; 	 0.610; 	-18.216; 
3,64; 	 0.000; 	-1.273; 	 2.570; 	 1.134; 	105.715; 	-29.420; 	 3.049; 	-18.064; 
3,68; 	 0.000; 	-0.856; 	 3.420; 	 0.694; 	105.411; 	-30.335; 	 0.457; 	-18.216; 
3,72; 	 0.000; 	-1.065; 	 0.181; 	 2.232; 	104.801; 	-29.649; 	 0.457; 	-18.293; 
3,76; 	 0.000; 	-0.022; 	 4.376; 	 1.134; 	105.563; 	-29.878; 	 1.220; 	-18.521; 
3,8; 	 0.000; 	-0.960; 	 4.853; 	 0.914; 	105.106; 	-30.335; 	 0.610; 	-18.750; 
3,84; 	 0.000; 	-0.752; 	 5.331; 	 1.024; 	105.106; 	-29.878; 	 0.457; 	-17.759; 
3,88; 	 0.000; 	-1.378; 	 5.438; 	 1.024; 	105.106; 	-29.725; 	 0.762; 	-17.607; 
3,92; 	 0.000; 	-0.752; 	 5.862; 	 0.804; 	105.106; 	-28.658; 	 1.372; 	-16.692; 
3,96; 	 0.000; 	-0.543; 	 5.544; 	 0.254; 	105.106; 	-28.049; 	 1.372; 	-16.997; 
4; 	 0.000; 	-1.169; 	 5.756; 	 0.914; 	105.106; 	-27.286; 	 2.439; 	-15.777; 
4,04; 	 0.000; 	-0.752; 	 6.712; 	 1.243; 	104.953; 	-27.972; 	 2.287; 	-16.768; 
4,08; 	 0.000; 	-1.065; 	 6.606; 	 1.134; 	105.106; 	-26.524; 	 3.659; 	-16.082; 
4,12; 	 0.000; 	-0.960; 	 7.030; 	 1.463; 	106.630; 	-25.305; 	 4.573; 	-15.472; 
4,16; 	 0.000; 	-1.169; 	 7.349; 	 1.903; 	106.020; 	-24.695; 	 3.506; 	-14.710; 
