16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.752; 	-3.323; 	 1.573; 	104.648; 	-21.570; 	-15.625; 	-13.338; 
0,08; 	 0.000; 	-0.856; 	-3.748; 	 1.683; 	104.648; 	-22.637; 	-15.472; 	-14.863; 
0,12; 	 0.000; 	-0.752; 	-3.004; 	 1.463; 	104.191; 	-23.780; 	-16.844; 	-15.015; 
0,16; 	 0.000; 	-0.752; 	-2.367; 	 1.243; 	103.734; 	-24.695; 	-18.369; 	-17.302; 
0,2; 	 0.000; 	-0.647; 	-2.898; 	 1.353; 	104.191; 	-25.305; 	-18.674; 	-16.616; 
0,24; 	 0.000; 	-0.856; 	-3.111; 	 1.573; 	104.496; 	-25.457; 	-18.674; 	-16.539; 
0,28; 	 0.000; 	-1.065; 	-2.792; 	 1.353; 	104.191; 	-26.981; 	-18.826; 	-18.216; 
0,32; 	 0.000; 	-0.647; 	-3.004; 	 1.573; 	104.496; 	-27.286; 	-19.436; 	-18.064; 
0,36; 	 0.000; 	-0.752; 	-3.217; 	 1.683; 	104.801; 	-27.744; 	-19.893; 	-18.369; 
0,4; 	 0.000; 	-1.169; 	-3.323; 	 1.683; 	103.886; 	-28.353; 	-20.350; 	-17.911; 
0,44; 	 0.000; 	-0.543; 	-2.792; 	 0.914; 	104.496; 	-28.658; 	-21.722; 	-19.893; 
0,48; 	 0.000; 	-0.752; 	-2.792; 	 1.793; 	104.344; 	-28.963; 	-21.417; 	-18.826; 
0,52; 	 0.000; 	-0.960; 	-3.854; 	 2.123; 	104.953; 	-28.506; 	-20.503; 	-19.283; 
0,56; 	 0.000; 	-0.960; 	-2.261; 	 1.024; 	103.886; 	-30.640; 	-21.875; 	-20.503; 
0,6; 	 0.000; 	-0.856; 	-2.686; 	 1.408; 	104.496; 	-30.488; 	-22.180; 	-21.417; 
0,64; 	 0.000; 	-0.856; 	-3.111; 	 1.353; 	104.496; 	-30.945; 	-20.960; 	-20.274; 
0,68; 	 0.000; 	-0.439; 	-2.898; 	 1.573; 	104.496; 	-29.725; 	-21.570; 	-20.655; 
