16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-1.482; 	-3.217; 	 1.793; 	104.953; 	-30.183; 	-21.570; 	-20.808; 
0,08; 	 0.000; 	-1.378; 	-3.429; 	 1.683; 	105.411; 	-30.183; 	-22.027; 	-20.122; 
0,12; 	 0.000; 	-0.647; 	-3.111; 	 2.068; 	104.648; 	-29.725; 	-21.875; 	-19.969; 
0,16; 	 0.000; 	-1.482; 	-3.217; 	 1.683; 	104.496; 	-29.420; 	-21.265; 	-19.131; 
0,2; 	 0.000; 	-1.586; 	-3.004; 	 1.683; 	105.258; 	-27.744; 	-20.198; 	-19.360; 
0,24; 	 0.000; 	-1.482; 	-3.535; 	 1.793; 	104.953; 	-27.896; 	-21.113; 	-18.216; 
0,28; 	 0.000; 	-0.856; 	-3.535; 	 1.353; 	104.801; 	-26.829; 	-20.046; 	-18.826; 
0,32; 	 0.000; 	-1.273; 	-3.535; 	 1.353; 	104.801; 	-26.372; 	-18.826; 	-16.997; 
0,36; 	 0.000; 	-1.273; 	-2.580; 	 1.353; 	104.344; 	-26.677; 	-18.826; 	-17.607; 
0,4; 	 0.000; 	-1.065; 	-3.217; 	 1.243; 	104.344; 	-26.372; 	-19.436; 	-17.607; 
0,44; 	 0.000; 	-1.169; 	-3.111; 	 1.683; 	104.648; 	-25.305; 	-17.759; 	-16.692; 
0,48; 	 0.000; 	-1.169; 	-3.217; 	 1.683; 	104.801; 	-24.695; 	-18.064; 	-16.235; 
0,52; 	 0.000; 	-0.856; 	-3.217; 	 1.573; 	104.801; 	-23.704; 	-15.472; 	-15.472; 
0,56; 	 0.000; 	-1.117; 	-3.111; 	 1.353; 	104.496; 	-22.942; 	-16.539; 	-14.863; 
0,6; 	 0.000; 	-1.482; 	-3.748; 	 1.573; 	105.258; 	-21.570; 	-14.558; 	-13.643; 
