16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.230; 	-2.686; 	 1.573; 	104.801; 	10.976; 	11.433; 	11.661; 
0,08; 	 0.000; 	 0.291; 	-2.474; 	 1.134; 	104.496; 	12.195; 	12.043; 	13.262; 
0,12; 	 0.000; 	-0.126; 	-2.686; 	 0.914; 	104.191; 	13.110; 	13.262; 	13.872; 
0,16; 	 0.000; 	-0.022; 	-2.898; 	 1.134; 	104.191; 	13.262; 	12.805; 	14.024; 
0,2; 	 0.000; 	-0.126; 	-2.580; 	 1.134; 	104.344; 	14.024; 	13.872; 	15.015; 
0,24; 	 0.000; 	-1.586; 	-3.217; 	 2.123; 	105.715; 	16.006; 	15.244; 	16.235; 
0,28; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	106.020; 	16.692; 	15.549; 	16.235; 
0,32; 	 0.000; 	-0.647; 	-2.898; 	 1.793; 	104.496; 	15.777; 	14.634; 	15.930; 
0,36; 	 0.000; 	-1.482; 	-3.748; 	 2.232; 	106.173; 	17.302; 	16.158; 	17.454; 
0,4; 	 0.000; 	-1.273; 	-3.748; 	 2.892; 	106.325; 	18.521; 	17.302; 	18.826; 
0,44; 	 0.000; 	-1.273; 	-3.748; 	 1.903; 	105.411; 	17.607; 	15.244; 	17.073; 
0,48; 	 0.000; 	-0.960; 	-3.535; 	 2.452; 	105.715; 	19.131; 	17.302; 	18.369; 
0,52; 	 0.000; 	-1.065; 	-3.217; 	 1.353; 	104.344; 	17.302; 	15.091; 	17.759; 
0,56; 	 0.000; 	-1.273; 	-3.748; 	 2.672; 	106.325; 	19.741; 	16.844; 	17.988; 
0,6; 	 0.000; 	-1.273; 	-3.323; 	 2.232; 	106.020; 	19.741; 	18.216; 	18.216; 
0,64; 	 0.000; 	-0.439; 	-2.580; 	 1.793; 	104.496; 	19.131; 	16.997; 	17.988; 
0,68; 	 0.000; 	-1.169; 	-3.111; 	 1.463; 	104.648; 	18.369; 	16.692; 	16.311; 
0,72; 	 0.000; 	-0.856; 	-3.323; 	 1.793; 	105.411; 	18.674; 	16.387; 	16.997; 
0,76; 	 0.000; 	-1.482; 	-3.323; 	 1.573; 	105.106; 	19.131; 	17.302; 	18.293; 
0,8; 	 0.000; 	-0.960; 	-3.429; 	 1.903; 	105.258; 	18.978; 	16.539; 	18.674; 
0,84; 	 0.000; 	-0.856; 	-3.217; 	 1.793; 	105.258; 	17.911; 	17.454; 	16.616; 
0,88; 	 0.000; 	-1.065; 	-3.323; 	 1.793; 	105.106; 	18.216; 	15.244; 	18.064; 
0,92; 	 0.000; 	-1.586; 	-3.642; 	 1.793; 	106.173; 	19.283; 	18.064; 	18.369; 
0,96; 	 0.000; 	-1.273; 	-3.004; 	 2.123; 	104.953; 	18.369; 	16.997; 	16.921; 
1; 	 0.000; 	-1.065; 	-3.111; 	 1.793; 	105.411; 	17.302; 	16.844; 	16.768; 
1,04; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	106.325; 	17.607; 	15.930; 	18.216; 
1,08; 	 0.000; 	-1.378; 	-3.642; 	 2.452; 	105.868; 	17.149; 	17.149; 	17.225; 
1,12; 	 0.000; 	-0.543; 	-2.792; 	 2.452; 	104.344; 	15.320; 	14.177; 	16.006; 
1,16; 	 0.000; 	-1.378; 	-3.748; 	 2.123; 	106.020; 	16.463; 	16.158; 	17.759; 
1,2; 	 0.000; 	-0.960; 	-3.429; 	 2.452; 	105.411; 	16.158; 	16.387; 	16.692; 
1,24; 	 0.000; 	-0.334; 	-3.111; 	 1.243; 	103.886; 	13.872; 	13.262; 	15.015; 
1,28; 	 0.000; 	-0.439; 	-2.686; 	 1.573; 	104.801; 	13.110; 	13.719; 	14.786; 
1,32; 	 0.000; 	-0.230; 	-2.580; 	 1.024; 	103.734; 	12.957; 	12.805; 	13.110; 
1,36; 	 0.000; 	-0.126; 	-1.943; 	 0.804; 	104.191; 	11.890; 	12.347; 	12.729; 
1,4; 	 0.000; 	-0.126; 	-2.261; 	 0.694; 	103.581; 	10.671; 	11.585; 	11.585; 
1,44; 	 0.000; 	-0.022; 	-2.474; 	 1.573; 	104.496; 	10.671; 	10.976; 	 9.146; 
1,48; 	 0.000; 	-0.334; 	-2.792; 	 1.024; 	105.715; 	10.366; 	12.043; 	11.128; 
1,52; 	 0.000; 	 0.396; 	-2.898; 	 1.573; 	105.106; 	 9.451; 	 9.451; 	11.280; 
1,56; 	 0.000; 	-0.334; 	-2.686; 	 1.188; 	104.496; 	 9.146; 	10.366; 	10.213; 
1,6; 	 0.000; 	-0.022; 	-2.261; 	 0.804; 	104.496; 	 7.012; 	 7.927; 	 8.232; 
1,64; 	 0.000; 	 0.396; 	-2.686; 	 1.353; 	104.496; 	 7.317; 	 7.927; 	 8.232; 
1,68; 	 0.000; 	-0.126; 	-2.261; 	 0.914; 	104.344; 	 5.488; 	 6.098; 	 7.165; 
1,72; 	 0.000; 	-0.022; 	-2.792; 	 0.914; 	103.886; 	 4.268; 	 6.098; 	 5.564; 
1,76; 	 0.000; 	-1.273; 	-2.792; 	 1.573; 	105.106; 	 4.573; 	 4.268; 	 7.393; 
