16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.439; 	-3.535; 	 1.573; 	104.039; 	-29.420; 	-21.113; 	-19.588; 
0,08; 	 0.000; 	-0.752; 	-3.429; 	 1.463; 	104.344; 	-29.878; 	-22.027; 	-20.655; 
0,12; 	 0.000; 	-0.543; 	-3.111; 	 1.463; 	104.496; 	-29.725; 	-21.722; 	-20.350; 
0,16; 	 0.000; 	-1.273; 	-3.748; 	 2.013; 	105.106; 	-29.573; 	-22.789; 	-20.350; 
0,2; 	 0.000; 	-0.752; 	-3.004; 	 1.683; 	104.344; 	-30.183; 	-22.332; 	-20.808; 
0,24; 	 0.000; 	-1.169; 	-3.217; 	 1.463; 	104.344; 	-30.792; 	-22.332; 	-20.655; 
0,28; 	 0.000; 	-1.065; 	-2.898; 	 1.573; 	104.648; 	-30.945; 	-22.789; 	-21.189; 
0,32; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	105.258; 	-30.030; 	-21.570; 	-19.893; 
0,36; 	 0.000; 	-0.856; 	-3.960; 	 1.793; 	105.106; 	-29.116; 	-21.875; 	-19.741; 
0,4; 	 0.000; 	-0.752; 	-3.323; 	 1.628; 	104.496; 	-30.335; 	-21.570; 	-20.960; 
0,44; 	 0.000; 	-0.230; 	-3.323; 	 1.353; 	104.191; 	-30.640; 	-22.942; 	-20.655; 
0,48; 	 0.000; 	-0.960; 	-3.535; 	 1.848; 	104.953; 	-30.030; 	-21.570; 	-20.350; 
0,52; 	 0.000; 	-0.647; 	-3.111; 	 1.793; 	104.801; 	-30.335; 	-22.180; 	-21.189; 
0,56; 	 0.000; 	-0.752; 	-3.004; 	 1.793; 	104.344; 	-30.183; 	-21.417; 	-21.341; 
0,6; 	 0.000; 	-1.169; 	-3.111; 	 1.463; 	103.886; 	-30.335; 	-22.180; 	-20.046; 
0,64; 	 0.000; 	-0.543; 	-3.004; 	 1.903; 	104.953; 	-29.573; 	-20.960; 	-19.512; 
0,68; 	 0.000; 	-1.065; 	-3.323; 	 1.573; 	104.496; 	-28.811; 	-20.808; 	-19.131; 
0,72; 	 0.000; 	-0.960; 	-3.535; 	 1.573; 	104.801; 	-28.658; 	-20.046; 	-18.978; 
0,76; 	 0.000; 	-0.856; 	-3.960; 	 1.353; 	103.886; 	-28.201; 	-21.265; 	-18.826; 
0,8; 	 0.000; 	-0.647; 	-2.898; 	 2.013; 	104.496; 	-27.591; 	-20.274; 	-19.436; 
0,84; 	 0.000; 	-1.378; 	-3.429; 	 1.903; 	104.648; 	-25.000; 	-19.283; 	-18.064; 
0,88; 	 0.000; 	-0.595; 	-3.854; 	 1.134; 	104.344; 	-27.744; 	-19.436; 	-17.149; 
0,92; 	 0.000; 	-0.960; 	-3.323; 	 2.013; 	105.715; 	-25.762; 	-17.911; 	-16.082; 
