16 Bit ADC acqisition competed 30.12.1899 at 0:00:00

Multichannel modes: 8 Channels;
Time resolution = 0,04 ms.;
Triger position = 2,56 ms.;
Samples before = 64 smpl.;  Samples after = 8128 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;
6 column: VI,  mV;
7 column: VCX, mV;
8 column: VCY, mV;
9 column: VCZ, mV;

0,04; 	 0.000; 	-0.856; 	-3.217; 	 2.232; 	104.496; 	-25.305; 	-18.216; 	-17.149; 
0,08; 	 0.000; 	-0.647; 	-3.323; 	 1.793; 	105.106; 	-24.542; 	-18.140; 	-16.082; 
0,12; 	 0.000; 	-1.065; 	-3.217; 	 1.903; 	105.258; 	-23.475; 	-16.235; 	-14.634; 
0,16; 	 0.000; 	-0.856; 	-3.748; 	 1.793; 	104.801; 	-22.789; 	-15.777; 	-14.405; 
0,2; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.344; 	-21.875; 	-15.168; 	-14.558; 
0,24; 	 0.000; 	-0.334; 	-3.217; 	 1.243; 	103.734; 	-21.113; 	-15.320; 	-13.033; 
0,28; 	 0.000; 	-1.065; 	-3.323; 	 1.353; 	104.801; 	-19.741; 	-13.338; 	-12.424; 
0,32; 	 0.000; 	-1.273; 	-3.535; 	 2.452; 	105.563; 	-18.521; 	-12.119; 	-11.814; 
0,36; 	 0.000; 	-0.856; 	-3.748; 	 2.452; 	105.715; 	-16.997; 	-10.899; 	-10.899; 
0,4; 	 0.000; 	-1.378; 	-2.686; 	 1.793; 	104.801; 	-17.149; 	-11.814; 	-11.509; 
0,44; 	 0.000; 	-1.273; 	-3.535; 	 2.232; 	105.563; 	-15.777; 	-10.290; 	-10.290; 
0,48; 	 0.000; 	-0.960; 	-3.111; 	 1.793; 	105.106; 	-14.786; 	-9.680; 	-9.070; 
0,52; 	 0.000; 	-1.273; 	-3.748; 	 2.123; 	105.106; 	-13.567; 	-8.765; 	-8.003; 
0,56; 	 0.000; 	-0.647; 	-3.748; 	 1.903; 	104.801; 	-13.186; 	-7.546; 	-7.012; 
0,6; 	 0.000; 	-0.908; 	-3.429; 	 1.903; 	104.801; 	-12.119; 	-8.308; 	-7.165; 
0,64; 	 0.000; 	-1.065; 	-3.960; 	 2.232; 	105.411; 	-9.985; 	-5.107; 	-4.421; 
0,68; 	 0.000; 	-1.065; 	-3.429; 	 1.793; 	105.106; 	-9.985; 	-6.021; 	-5.107; 
0,72; 	 0.000; 	-1.169; 	-3.429; 	 1.903; 	104.953; 	-8.765; 	-4.954; 	-4.192; 
0,76; 	 0.000; 	-1.012; 	-3.642; 	 1.958; 	105.258; 	-7.393; 	-3.659; 	-2.820; 
0,8; 	 0.000; 	-0.230; 	-2.686; 	 1.573; 	104.648; 	-6.783; 	-4.040; 	-2.134; 
0,84; 	 0.000; 	-0.022; 	-3.217; 	 1.463; 	104.496; 	-5.259; 	-2.287; 	-0.915; 
0,88; 	 0.000; 	-0.439; 	-3.323; 	 1.683; 	104.801; 	-4.497; 	-2.287; 	 0.076; 
0,92; 	 0.000; 	-0.543; 	-3.111; 	 1.573; 	104.191; 	-3.354; 	-0.305; 	 0.305; 
0,96; 	 0.000; 	-0.334; 	-2.898; 	 1.463; 	104.496; 	-2.439; 	 0.305; 	 0.915; 
1; 	 0.000; 	-0.126; 	-2.367; 	 1.793; 	104.496; 	-0.762; 	 0.915; 	 1.601; 
1,04; 	 0.000; 	-0.230; 	-3.217; 	 1.463; 	105.563; 	 1.067; 	 2.896; 	 4.116; 
1,08; 	 0.000; 	-0.334; 	-2.367; 	 1.683; 	104.648; 	 1.677; 	 3.277; 	 3.506; 
1,12; 	 0.000; 	-0.647; 	-3.323; 	 2.232; 	105.411; 	 3.049; 	 4.878; 	 5.793; 
1,16; 	 0.000; 	-0.647; 	-3.111; 	 1.683; 	104.801; 	 3.201; 	 4.268; 	 4.802; 
1,2; 	 0.000; 	-0.230; 	-2.898; 	 1.353; 	104.648; 	 4.116; 	 5.488; 	 7.012; 
1,24; 	 0.000; 	-0.647; 	-2.739; 	 1.573; 	104.496; 	 5.488; 	 6.402; 	 6.098; 
1,28; 	 0.000; 	-0.230; 	-2.792; 	 1.134; 	104.344; 	 6.098; 	 7.317; 	 8.841; 
1,32; 	 0.000; 	-0.439; 	-3.429; 	 2.013; 	104.496; 	 8.232; 	 8.537; 	 8.841; 
1,36; 	 0.000; 	-0.178; 	-3.004; 	 1.243; 	104.496; 	 7.774; 	 9.299; 	10.061; 
1,4; 	 0.000; 	-0.230; 	-2.686; 	 1.793; 	105.258; 	 8.537; 	10.366; 	11.052; 
1,44; 	 0.000; 	-0.230; 	-2.367; 	 1.024; 	104.801; 	 9.604; 	10.061; 	10.899; 
1,48; 	 0.000; 	-0.230; 	-2.792; 	 1.353; 	104.344; 	10.366; 	10.976; 	11.661; 
1,52; 	 0.000; 	 0.083; 	-2.580; 	 1.243; 	104.648; 	11.128; 	11.128; 	12.424; 
1,56; 	 0.000; 	-0.022; 	-3.111; 	 1.134; 	104.191; 	11.585; 	12.195; 	13.110; 
1,6; 	 0.000; 	-0.126; 	-2.686; 	 0.914; 	104.496; 	12.195; 	12.195; 	13.719; 
1,64; 	 0.000; 	 0.187; 	-2.792; 	 0.694; 	103.581; 	12.805; 	13.415; 	13.719; 
1,68; 	 0.000; 	-0.439; 	-3.004; 	 1.353; 	103.581; 	14.024; 	13.415; 	14.786; 
1,72; 	 0.000; 	-0.647; 	-2.898; 	 1.463; 	104.801; 	14.634; 	14.482; 	15.244; 
1,76; 	 0.000; 	-0.334; 	-2.686; 	 0.914; 	104.496; 	14.634; 	14.939; 	15.777; 
1,8; 	 0.000; 	-1.065; 	-3.642; 	 2.177; 	105.715; 	17.149; 	15.396; 	16.235; 
1,84; 	 0.000; 	-1.169; 	-3.960; 	 2.232; 	105.868; 	17.302; 	15.701; 	17.454; 
1,88; 	 0.000; 	-1.169; 	-3.854; 	 2.782; 	106.020; 	18.369; 	16.463; 	17.759; 
1,92; 	 0.000; 	-1.273; 	-4.173; 	 2.562; 	106.020; 	18.826; 	17.454; 	18.521; 
1,96; 	 0.000; 	-1.065; 	-3.323; 	 2.013; 	105.411; 	17.607; 	15.244; 	17.302; 
2; 	 0.000; 	-1.169; 	-3.642; 	 2.562; 	105.868; 	18.978; 	17.149; 	18.369; 
2,04; 	 0.000; 	-0.856; 	-3.429; 	 2.013; 	104.801; 	18.064; 	16.387; 	16.997; 
2,08; 	 0.000; 	-0.856; 	-3.642; 	 1.903; 	105.258; 	18.369; 	16.539; 	17.759; 
2,12; 	 0.000; 	-1.273; 	-2.898; 	 2.013; 	105.106; 	18.521; 	16.844; 	17.607; 
2,16; 	 0.000; 	-0.856; 	-3.535; 	 1.903; 	105.258; 	18.674; 	16.235; 	17.911; 
2,2; 	 0.000; 	-0.752; 	-3.004; 	 1.243; 	104.496; 	18.674; 	16.844; 	17.454; 
2,24; 	 0.000; 	-0.960; 	-3.323; 	 1.573; 	104.801; 	18.216; 	15.244; 	17.607; 
2,28; 	 0.000; 	-1.273; 	-3.748; 	 2.452; 	106.020; 	20.046; 	18.064; 	18.826; 
2,32; 	 0.000; 	-0.647; 	-3.004; 	 1.463; 	104.648; 	18.064; 	16.235; 	17.530; 
2,36; 	 0.000; 	-0.960; 	-3.535; 	 2.013; 	105.258; 	18.369; 	17.302; 	17.378; 
2,4; 	 0.000; 	-1.065; 	-3.217; 	 1.353; 	104.344; 	16.997; 	16.082; 	17.454; 
2,44; 	 0.000; 	-0.960; 	-3.642; 	 2.123; 	105.411; 	18.064; 	16.539; 	17.149; 
2,48; 	 0.000; 	-0.647; 	-3.323; 	 1.573; 	104.801; 	17.454; 	16.235; 	17.302; 
2,52; 	 0.000; 	-1.065; 	-3.535; 	 2.232; 	105.411; 	17.911; 	16.082; 	16.997; 
2,56; 	 0.000; 	-0.856; 	-3.960; 	 1.683; 	105.106; 	16.997; 	15.244; 	17.225; 
2,6; 	 0.000; 	-1.586; 	-3.960; 	 2.342; 	106.173; 	17.454; 	16.311; 	17.835; 
2,64; 	 0.000; 	-0.960; 	-3.907; 	 2.617; 	107.087; 	51.067; 	 4.421; 	 1.982; 
2,68; 	 0.000; 	-1.482; 	-3.748; 	 2.013; 	114.252; 	25.838; 	22.942; 	13.262; 
2,72; 	 0.000; 	 0.187; 	-2.367; 	 0.694; 	103.734; 	13.110; 	38.262; 	14.329; 
2,76; 	 0.000; 	-0.230; 	-2.261; 	 1.573; 	106.020; 	14.024; 	54.420; 	16.692; 
2,8; 	 0.000; 	-0.647; 	-2.474; 	 1.573; 	106.630; 	14.024; 	64.405; 	17.302; 
2,84; 	 0.000; 	-0.856; 	-2.474; 	 2.068; 	107.240; 	14.329; 	72.027; 	17.378; 
2,88; 	 0.000; 	 0.500; 	-0.456; 	 0.804; 	105.563; 	12.195; 	73.856; 	14.482; 
2,92; 	 0.000; 	-0.022; 	 0.181; 	 1.134; 	106.020; 	11.585; 	78.048; 	16.463; 
2,96; 	 0.000; 	-0.022; 	 1.084; 	 0.364; 	106.325; 	10.366; 	78.201; 	16.387; 
3; 	 0.000; 	-0.022; 	 1.721; 	 0.584; 	106.630; 	 9.908; 	79.572; 	15.015; 
3,04; 	 0.000; 	 0.291; 	 2.677; 	 0.364; 	106.630; 	 9.908; 	79.115; 	14.634; 
3,08; 	 0.000; 	-0.022; 	 3.738; 	 0.914; 	106.630; 	 8.384; 	78.658; 	13.110; 
3,12; 	 0.000; 	-0.230; 	 4.482; 	 0.804; 	107.087; 	 7.622; 	77.743; 	13.415; 
3,16; 	 0.000; 	-0.022; 	 5.438; 	 0.364; 	106.783; 	 7.927; 	77.286; 	11.814; 
3,2; 	 0.000; 	 0.187; 	 6.606; 	 1.024; 	106.325; 	 5.030; 	75.304; 	10.747; 
3,24; 	 0.000; 	-0.334; 	 7.243; 	 1.134; 	107.545; 	 5.945; 	75.076; 	 9.222; 
3,28; 	 0.000; 	-0.022; 	 8.092; 	 1.024; 	107.087; 	 4.116; 	74.313; 	11.585; 
3,32; 	 0.000; 	-0.230; 	 9.366; 	 1.243; 	106.630; 	 2.744; 	72.637; 	 6.707; 
3,36; 	 0.000; 	 0.083; 	10.747; 	 1.243; 	106.478; 	 1.829; 	72.789; 	 6.326; 
3,4; 	 0.000; 	-0.439; 	11.278; 	 1.134; 	106.630; 	-0.457; 	72.027; 	 5.183; 
3,44; 	 0.000; 	-0.439; 	12.127; 	 1.353; 	106.630; 	-0.610; 	69.893; 	 4.954; 
3,48; 	 0.000; 	-0.856; 	12.658; 	 1.573; 	106.325; 	-1.220; 	69.435; 	 3.354; 
3,52; 	 0.000; 	-0.543; 	13.561; 	 0.914; 	106.935; 	-2.363; 	67.606; 	 3.811; 
3,56; 	 0.000; 	-0.230; 	15.048; 	 0.474; 	106.783; 	-3.887; 	66.844; 	 2.744; 
3,6; 	 0.000; 	-0.230; 	15.685; 	 0.474; 	106.630; 	-5.716; 	64.862; 	 2.820; 
3,64; 	 0.000; 	-0.126; 	17.277; 	 0.914; 	106.020; 	-6.326; 	64.405; 	 1.372; 
3,68; 	 0.000; 	-0.752; 	17.915; 	 1.024; 	106.630; 	-7.088; 	62.118; 	-0.152; 
3,72; 	 0.000; 	-0.334; 	18.764; 	 0.694; 	105.868; 	-11.509; 	62.423; 	-0.762; 
3,76; 	 0.000; 	-0.439; 	20.038; 	 0.474; 	104.953; 	-11.204; 	59.070; 	-2.134; 
3,8; 	 0.000; 	-0.178; 	21.100; 	 1.024; 	106.478; 	-10.442; 	61.509; 	-3.354; 
3,84; 	 0.000; 	-1.482; 	20.675; 	 1.463; 	107.545; 	-10.290; 	60.442; 	-1.372; 
3,88; 	 0.000; 	-0.647; 	22.481; 	 1.134; 	106.630; 	-12.119; 	57.393; 	-4.192; 
