16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.856;	-4.491;	 1.573;
1,74;	 0.000;	-0.752;	-4.438;	 1.463;
1,76;	 0.000;	-0.595;	-4.066;	 1.628;
1,78;	 0.000;	-1.065;	-4.544;	 1.903;
1,8;	 0.000;	-0.647;	-4.438;	 1.793;
1,82;	 0.000;	-0.647;	-3.854;	 1.298;
1,84;	 0.000;	-0.647;	-4.385;	 2.068;
1,86;	 0.000;	-0.908;	-4.226;	 1.683;
1,88;	 0.000;	-0.700;	-3.801;	 1.573;
1,9;	 0.000;	-0.752;	-4.066;	 1.903;
1,92;	 0.000;	-1.065;	-3.960;	 1.793;
1,94;	 0.000;	-0.960;	-3.960;	 1.573;
1,96;	 0.000;	-1.065;	-4.013;	 1.793;
1,98;	 0.000;	-0.647;	-4.226;	 1.573;
2;	 0.000;	-0.804;	-4.119;	 1.683;
2,02;	 0.000;	-0.700;	-4.438;	 1.793;
2,04;	 0.000;	-1.273;	-4.385;	 1.628;
2,06;	 0.000;	-0.804;	-4.491;	 1.793;
2,08;	 0.000;	-0.491;	-3.960;	 0.749;
2,1;	 0.000;	-0.856;	-5.075;	 1.848;
2,12;	 0.000;	-0.647;	-3.907;	 1.353;
2,14;	 0.000;	-0.439;	-3.801;	 1.188;
2,16;	 0.000;	-0.647;	-3.801;	 1.188;
2,18;	 0.000;	-0.856;	-4.650;	 1.628;
2,2;	 0.000;	-0.387;	-3.482;	 1.024;
2,22;	 0.000;	-0.752;	-4.279;	 1.683;
2,24;	 0.000;	-0.700;	-4.226;	 1.573;
2,26;	 0.000;	-1.065;	-4.438;	 1.793;
2,28;	 0.000;	-0.804;	-4.332;	 1.463;
2,3;	 0.000;	-0.752;	-3.960;	 1.518;
2,32;	 0.000;	-0.856;	-4.438;	 1.793;
2,34;	 0.000;	-1.065;	-4.226;	 1.793;
2,36;	 0.000;	-0.595;	-4.279;	 1.683;
2,38;	 0.000;	-0.543;	-4.385;	 1.628;
2,4;	 0.000;	-0.543;	-4.438;	 1.353;
2,42;	 0.000;	-0.230;	-4.438;	 1.793;
2,44;	 0.000;	-0.856;	-4.438;	 1.188;
2,46;	 0.000;	-0.804;	-4.385;	 1.408;
2,48;	 0.000;	-0.700;	-4.597;	 1.408;
2,5;	 0.000;	-0.960;	-4.544;	 1.958;
2,52;	 0.000;	-0.908;	-4.597;	 2.177;
2,54;	 0.000;	-0.595;	-3.907;	 1.738;
2,56;	 0.000;	-0.700;	-3.801;	 1.353;
2,58;	 0.000;	-0.804;	-4.544;	 2.068;
2,6;	 0.000;	-0.908;	-4.491;	 2.123;
2,62;	 0.000;	-0.022;	-3.429;	 0.914;
2,64;	 0.000;	-0.700;	-4.385;	 1.683;
2,66;	 0.000;	-0.752;	-4.119;	 1.518;
2,68;	 0.000;	-0.647;	-4.173;	 1.738;
2,7;	 0.000;	-0.856;	-4.969;	 2.013;
2,72;	 0.000;	-0.022;	-3.960;	 1.243;
2,74;	 0.000;	-0.752;	-3.642;	 1.243;
2,76;	 0.000;	-0.387;	-4.544;	 1.793;
2,78;	 0.000;	-0.230;	-3.801;	 0.749;
2,8;	 0.000;	-0.647;	-4.544;	 1.518;
2,82;	 0.000;	-0.491;	-3.748;	 0.694;
2,84;	 0.000;	-0.543;	-4.385;	 1.738;
2,86;	 0.000;	-0.543;	-4.491;	 1.903;
2,88;	 0.000;	-0.543;	-4.173;	 1.683;
2,9;	 0.000;	-1.065;	-4.332;	 1.793;
2,92;	 0.000;	-0.804;	-4.119;	 1.683;
2,94;	 0.000;	-0.960;	-4.226;	 1.463;
2,96;	 0.000;	-0.647;	-4.332;	 1.628;
2,98;	 0.000;	-0.700;	-4.810;	 1.518;
3;	 0.000;	-0.908;	-5.022;	 2.232;
3,02;	 0.000;	-0.752;	-3.482;	 1.024;
3,04;	 0.000;	-0.752;	-4.703;	 1.628;
3,06;	 0.000;	-0.387;	-4.385;	 1.573;
3,08;	 0.000;	-0.439;	-4.597;	 1.848;
3,1;	 0.000;	-0.804;	-4.438;	 1.518;
3,12;	 0.000;	-0.282;	-3.960;	 0.969;
3,14;	 0.000;	-0.439;	-4.438;	 1.463;
3,16;	 0.000;	-0.647;	-4.332;	 1.518;
3,18;	 0.000;	-0.856;	-4.438;	 1.793;
3,2;	 0.000;	-0.595;	-4.491;	 1.738;
3,22;	 0.000;	-1.065;	-4.119;	 1.079;
3,24;	 0.000;	-0.908;	-4.385;	 1.848;
3,26;	 0.000;	-1.065;	-4.544;	 1.848;
3,28;	 0.000;	-0.595;	-4.332;	 1.683;
3,3;	 0.000;	-0.595;	-4.119;	 1.134;
3,32;	 0.000;	-0.856;	-4.650;	 2.013;
3,34;	 0.000;	-0.856;	-4.544;	 1.628;
3,36;	 0.000;	-0.439;	-4.173;	 1.683;
3,38;	 0.000;	-0.804;	-4.491;	 1.683;
3,4;	 0.000;	-0.752;	-4.491;	 1.628;
3,42;	 0.000;	-0.387;	-3.748;	 0.584;
3,44;	 0.000;	-0.804;	-4.757;	 1.628;
3,46;	 0.000;	-0.543;	-4.544;	 1.518;
3,48;	 0.000;	-0.647;	-3.748;	 1.188;
3,5;	 0.000;	-0.752;	-4.279;	 1.683;
3,52;	 0.000;	-0.804;	-4.491;	 1.738;
3,54;	 0.000;	-0.595;	-3.960;	 1.024;
3,56;	 0.000;	-0.752;	-4.544;	 1.518;
3,58;	 0.000;	-0.387;	-3.642;	 1.079;
3,6;	 0.000;	-0.856;	-4.438;	 1.793;
3,62;	 0.000;	-0.752;	-4.066;	 1.903;
3,64;	 0.000;	-0.647;	-4.119;	 1.848;
3,66;	 0.000;	-1.169;	-4.438;	 1.408;
3,68;	 0.000;	-0.491;	-4.438;	 1.683;
3,7;	 0.000;	-0.647;	-4.385;	 1.298;
3,72;	 0.000;	-0.126;	-4.279;	 1.463;
3,74;	 0.000;	-0.647;	-4.544;	 1.518;
3,76;	 0.000;	-0.178;	-3.960;	 0.969;
3,78;	 0.000;	-0.334;	-4.279;	 1.518;
3,8;	 0.000;	 0.031;	-4.544;	 1.573;
3,82;	 0.000;	-0.126;	-4.013;	 1.188;
3,84;	 0.000;	-0.647;	-4.863;	 1.518;
3,86;	 0.000;	-1.012;	-4.597;	 1.408;
3,88;	 0.000;	-0.960;	-4.226;	 1.134;
3,9;	 0.000;	-0.752;	-3.854;	 1.518;
3,92;	 0.000;	-0.804;	-4.597;	 1.958;
3,94;	 0.000;	-0.856;	-4.173;	 1.793;
3,96;	 0.000;	-0.387;	-3.960;	 0.914;
3,98;	 0.000;	-0.856;	-4.279;	 1.188;
4;	 0.000;	-0.647;	-4.173;	 1.408;
4,02;	 0.000;	-1.065;	-4.544;	 1.738;
4,04;	 0.000;	-0.282;	-4.385;	 1.793;
4,06;	 0.000;	-0.387;	-4.332;	 1.188;
4,08;	 0.000;	-0.334;	-3.801;	 1.024;
4,1;	 0.000;	-0.595;	-4.385;	 1.518;
4,12;	 0.000;	-0.700;	-4.173;	 1.353;
4,14;	 0.000;	-0.804;	-4.491;	 1.353;
4,16;	 0.000;	-0.752;	-4.491;	 1.848;
4,18;	 0.000;	-0.804;	-4.597;	 1.573;
4,2;	 0.000;	-0.491;	-4.597;	 1.848;
4,22;	 0.000;	-0.491;	-4.332;	 1.353;
4,24;	 0.000;	-0.856;	-4.597;	 1.958;
4,26;	 0.000;	-0.908;	-4.597;	 1.793;
4,28;	 0.000;	-0.595;	-4.544;	 1.683;
4,3;	 0.000;	-1.012;	-4.438;	 1.793;
4,32;	 0.000;	-0.908;	-4.597;	 1.793;
4,34;	 0.000;	-0.334;	-4.279;	 1.903;
4,36;	 0.000;	-0.856;	-4.757;	 2.232;
4,38;	 0.000;	-0.804;	-4.066;	 1.683;
4,4;	 0.000;	-0.387;	-4.119;	 1.793;
4,42;	 0.000;	-0.752;	-4.119;	 1.463;
4,44;	 0.000;	-0.439;	-4.597;	 2.177;
4,46;	 0.000;	-0.439;	-4.385;	 1.353;
4,48;	 0.000;	-0.595;	-4.119;	 1.298;
4,5;	 0.000;	-0.647;	-4.226;	 1.134;
4,52;	 0.000;	-0.804;	-4.650;	 2.068;
4,54;	 0.000;	-0.752;	-4.119;	 1.353;
4,56;	 0.000;	-0.804;	-4.332;	 2.013;
4,58;	 0.000;	-1.221;	-4.544;	 2.013;
4,6;	 0.000;	-0.439;	-4.226;	 1.628;
4,62;	 0.000;	-0.647;	-4.226;	 1.573;
4,64;	 0.000;	-0.387;	-3.907;	 1.298;
4,66;	 0.000;	-0.595;	-4.279;	 1.628;
4,68;	 0.000;	-0.439;	-4.173;	 1.573;
4,7;	 0.000;	-0.491;	-4.385;	 1.353;
4,72;	 0.000;	-0.543;	-4.491;	 1.683;
4,74;	 0.000;	-0.595;	-4.332;	 1.298;
4,76;	 0.000;	-0.439;	-3.801;	 0.969;
4,78;	 0.000;	-0.595;	-4.385;	 1.298;
4,8;	 0.000;	-0.439;	-3.801;	 1.134;
4,82;	 0.000;	-0.543;	-4.173;	 1.243;
4,84;	 0.000;	-0.647;	-4.650;	 1.793;
4,86;	 0.000;	-0.387;	-3.854;	 1.463;
4,88;	 0.000;	-0.908;	-4.650;	 1.738;
4,9;	 0.000;	-0.282;	-3.748;	 1.188;
4,92;	 0.000;	-0.387;	-3.695;	 1.628;
4,94;	 0.000;	-0.439;	-3.960;	 1.518;
4,96;	 0.000;	-0.856;	-4.597;	 1.903;
4,98;	 0.000;	-0.439;	-3.801;	 1.353;
5;	 0.000;	-0.752;	-4.226;	 1.298;
5,02;	 0.000;	-0.647;	-4.544;	 1.738;
5,04;	 0.000;	-0.439;	-4.173;	 1.188;
5,06;	 0.000;	-0.647;	-4.491;	 1.573;
5,08;	 0.000;	-0.439;	-4.226;	 1.134;
5,1;	 0.000;	-0.282;	-4.597;	 1.134;
5,12;	 0.000;	-0.126;	-4.119;	 1.243;
5,14;	 0.000;	-0.439;	-4.650;	 1.848;
5,16;	 0.000;	-0.439;	-4.013;	 0.969;
5,18;	 0.000;	-0.178;	-4.119;	 1.683;
5,2;	 0.000;	-0.491;	-3.854;	 1.628;
5,22;	 0.000;	-0.647;	-4.810;	 2.232;
5,24;	 0.000;	-0.439;	-4.438;	 1.573;
5,26;	 0.000;	-0.439;	-3.960;	 1.573;
5,28;	 0.000;	-0.022;	-4.066;	 1.188;
5,3;	 0.000;	-0.595;	-4.173;	 1.353;
5,32;	 0.000;	-0.491;	-3.907;	 1.134;
5,34;	 0.000;	-1.065;	-3.854;	 1.353;
5,36;	 0.000;	-0.282;	-4.173;	 1.243;
5,38;	 0.000;	-0.282;	-4.279;	 1.134;
5,4;	 0.000;	-0.647;	-4.597;	 1.628;
5,42;	 0.000;	-0.439;	-4.226;	 1.408;
5,44;	 0.000;	-0.022;	-4.597;	 1.463;
5,46;	 0.000;	-0.282;	-4.066;	 1.243;
5,48;	 0.000;	-0.334;	-4.119;	 1.463;
5,5;	 0.000;	-0.700;	-4.385;	 1.793;
5,52;	 0.000;	-0.439;	-4.119;	 1.353;
5,54;	 0.000;	-0.700;	-4.173;	 1.628;
5,56;	 0.000;	-0.700;	-4.173;	 1.573;
5,58;	 0.000;	-0.752;	-4.066;	 1.848;
5,6;	 0.000;	-0.439;	-4.226;	 1.573;
5,62;	 0.000;	-0.178;	-3.907;	 1.518;
5,64;	 0.000;	-0.647;	-4.491;	 1.683;
5,66;	 0.000;	-0.491;	-4.226;	 1.628;
5,68;	 0.000;	-0.126;	-4.173;	 1.408;
5,7;	 0.000;	-0.647;	-4.650;	 1.628;
5,72;	 0.000;	 0.031;	-3.801;	 1.353;
5,74;	 0.000;	-0.282;	-4.544;	 1.518;
5,76;	 0.000;	-0.334;	-4.226;	 1.188;
5,78;	 0.000;	-0.439;	-4.173;	 1.408;
5,8;	 0.000;	-0.282;	-3.854;	 0.804;
5,82;	 0.000;	-0.700;	-4.438;	 1.188;
5,84;	 0.000;	 0.083;	-3.854;	 1.738;
5,86;	 0.000;	-0.126;	-3.854;	 1.408;
5,88;	 0.000;	-1.012;	-4.597;	 2.177;
5,9;	 0.000;	-0.700;	-4.650;	 2.177;
5,92;	 0.000;	-0.230;	-4.066;	 1.408;
5,94;	 0.000;	-0.804;	-4.863;	 2.232;
5,96;	 0.000;	-0.387;	-3.907;	 1.463;
5,98;	 0.000;	-0.074;	-4.226;	 1.848;
6;	 0.000;	-0.700;	-4.385;	 1.573;
6,02;	 0.000;	-0.700;	-4.438;	 1.463;
6,04;	 0.000;	-0.334;	-4.438;	 1.353;
6,06;	 0.000;	-0.387;	-4.597;	 1.628;
6,08;	 0.000;	 0.031;	-4.544;	 1.518;
6,1;	 0.000;	 0.031;	-4.385;	 0.969;
6,12;	 0.000;	-0.439;	-4.385;	 1.793;
6,14;	 0.000;	-0.439;	-4.385;	 1.793;
6,16;	 0.000;	-0.334;	-4.279;	 1.848;
6,18;	 0.000;	-0.230;	-4.226;	 1.628;
6,2;	 0.000;	-0.439;	-4.066;	 1.628;
6,22;	 0.000;	-0.439;	-4.385;	 1.738;
6,24;	 0.000;	-0.178;	-3.748;	 0.969;
6,26;	 0.000;	-0.752;	-4.013;	 1.793;
6,28;	 0.000;	-0.595;	-4.279;	 1.518;
6,3;	 0.000;	-0.595;	-4.119;	 1.628;
6,32;	 0.000;	-0.387;	-4.332;	 1.463;
6,34;	 0.000;	-0.387;	-4.491;	 1.848;
6,36;	 0.000;	-0.022;	-4.226;	 1.848;
6,38;	 0.000;	-0.282;	-4.119;	 1.024;
6,4;	 0.000;	-0.126;	-4.119;	 1.024;
6,42;	 0.000;	-1.012;	-4.544;	 1.463;
6,44;	 0.000;	-0.074;	-4.544;	 1.353;
6,46;	 0.000;	-0.022;	-4.226;	 1.518;
6,48;	 0.000;	-0.230;	-4.438;	 1.793;
6,5;	 0.000;	-0.074;	-4.332;	 1.408;
6,52;	 0.000;	-0.230;	-4.385;	 1.903;
6,54;	 0.000;	-0.439;	-4.757;	 2.013;
6,56;	 0.000;	-0.282;	-4.385;	 2.123;
6,58;	 0.000;	-0.282;	-4.226;	 2.013;
6,6;	 0.000;	-0.439;	-4.119;	 1.353;
6,62;	 0.000;	-0.334;	-4.066;	 1.738;
6,64;	 0.000;	-0.126;	-4.119;	 1.683;
6,66;	 0.000;	-0.491;	-4.173;	 1.573;
6,68;	 0.000;	-0.647;	-4.597;	 1.958;
6,7;	 0.000;	-0.647;	-4.757;	 1.573;
6,72;	 0.000;	-0.543;	-5.181;	 1.738;
6,74;	 0.000;	-0.282;	-4.438;	 1.628;
6,76;	 0.000;	 0.031;	-3.854;	 0.859;
6,78;	 0.000;	 0.083;	-4.385;	 1.298;
6,8;	 0.000;	 0.552;	-3.748;	 0.749;
6,82;	 0.000;	 0.083;	-4.066;	 1.683;
6,84;	 0.000;	-0.387;	-4.173;	 0.914;
6,86;	 0.000;	-0.439;	-4.491;	 2.123;
6,88;	 0.000;	-0.752;	-4.916;	 2.562;
6,9;	 0.000;	-0.439;	-4.597;	 2.013;
6,92;	 0.000;	-0.647;	-3.748;	 1.353;
6,94;	 0.000;	-0.387;	-4.544;	 2.013;
6,96;	 0.000;	 0.031;	-4.226;	 1.738;
6,98;	 0.000;	-0.022;	-4.173;	 1.903;
7;	 0.000;	 0.083;	-4.173;	 1.628;
7,02;	 0.000;	-0.439;	-4.332;	 1.573;
7,04;	 0.000;	 0.291;	-4.279;	 1.683;
7,06;	 0.000;	-0.230;	-4.650;	 1.628;
7,08;	 0.000;	 0.291;	-4.066;	 0.804;
7,1;	 0.000;	 0.239;	-4.385;	 1.353;
7,12;	 0.000;	-0.022;	-3.960;	 1.298;
7,14;	 0.000;	-0.074;	-4.650;	 1.573;
7,16;	 0.000;	-0.022;	-4.013;	 1.243;
7,18;	 0.000;	-0.334;	-4.703;	 2.177;
7,2;	 0.000;	-0.647;	-4.757;	 1.958;
7,22;	 0.000;	 0.187;	-4.119;	 1.518;
7,24;	 0.000;	-0.334;	-4.544;	 1.958;
7,26;	 0.000;	-0.230;	-3.588;	 0.859;
7,28;	 0.000;	-0.230;	-4.650;	 1.958;
7,3;	 0.000;	-0.282;	-4.279;	 1.903;
7,32;	 0.000;	-0.126;	-3.748;	 0.859;
7,34;	 0.000;	-0.126;	-4.703;	 1.683;
7,36;	 0.000;	 0.083;	-3.801;	 0.419;
7,38;	 0.000;	-0.178;	-4.703;	 1.518;
7,4;	 0.000;	-0.230;	-4.597;	 2.068;
7,42;	 0.000;	 0.187;	-4.332;	 1.518;
7,44;	 0.000;	-0.074;	-4.810;	 1.573;
7,46;	 0.000;	 0.500;	-4.013;	 1.243;
7,48;	 0.000;	 0.500;	-4.066;	 1.298;
7,5;	 0.000;	 0.396;	-4.279;	 1.518;
7,52;	 0.000;	-0.439;	-4.385;	 2.013;
7,54;	 0.000;	-0.439;	-4.863;	 1.793;
7,56;	 0.000;	 0.291;	-4.226;	 1.793;
7,58;	 0.000;	-0.230;	-4.597;	 1.518;
7,6;	 0.000;	 0.187;	-3.960;	 1.793;
7,62;	 0.000;	 0.135;	-4.279;	 1.518;
7,64;	 0.000;	-0.074;	-4.703;	 1.518;
7,66;	 0.000;	-0.126;	-4.385;	 1.463;
7,68;	 0.000;	-0.022;	-4.597;	 1.683;
7,7;	 0.000;	 0.343;	-4.650;	 2.013;
7,72;	 0.000;	-0.178;	-4.544;	 1.353;
7,74;	 0.000;	-0.022;	-4.757;	 1.353;
7,76;	 0.000;	-0.022;	-4.385;	 1.188;
7,78;	 0.000;	-0.022;	-4.650;	 1.408;
7,8;	 0.000;	 0.343;	-4.385;	 1.353;
7,82;	 0.000;	 0.500;	-4.226;	 1.024;
7,84;	 0.000;	-0.022;	-4.650;	 1.903;
7,86;	 0.000;	-0.074;	-4.597;	 1.793;
7,88;	 0.000;	-0.230;	-4.438;	 1.738;
7,9;	 0.000;	-0.491;	-4.279;	 2.342;
7,92;	 0.000;	-0.074;	-4.597;	 1.793;
7,94;	 0.000;	 0.031;	-4.226;	 1.518;
7,96;	 0.000;	 0.031;	-4.279;	 1.518;
7,98;	 0.000;	 0.083;	-4.279;	 1.848;
8;	 0.000;	 0.500;	-4.279;	 1.518;
8,02;	 0.000;	 0.083;	-4.173;	 1.024;
8,04;	 0.000;	-0.230;	-4.969;	 1.573;
8,06;	 0.000;	-0.022;	-4.916;	 1.738;
8,08;	 0.000;	 0.187;	-4.544;	 1.243;
8,1;	 0.000;	 0.187;	-4.173;	 1.353;
8,12;	 0.000;	 0.291;	-4.332;	 1.298;
8,14;	 0.000;	 0.396;	-3.960;	 0.969;
8,16;	 0.000;	 0.343;	-4.173;	 1.188;
8,18;	 0.000;	 0.135;	-4.385;	 1.628;
8,2;	 0.000;	 0.187;	-4.438;	 1.573;
8,22;	 0.000;	 0.343;	-3.748;	 1.298;
8,24;	 0.000;	 0.135;	-4.703;	 1.903;
8,26;	 0.000;	-0.022;	-4.650;	 2.287;
8,28;	 0.000;	-0.022;	-4.597;	 1.408;
8,3;	 0.000;	 0.343;	-4.119;	 1.573;
8,32;	 0.000;	 0.031;	-4.226;	 1.903;
8,34;	 0.000;	-0.282;	-4.757;	 1.408;
8,36;	 0.000;	 0.343;	-3.960;	 1.298;
8,38;	 0.000;	 0.031;	-4.757;	 1.518;
8,4;	 0.000;	 0.135;	-4.863;	 1.628;
8,42;	 0.000;	 0.552;	-4.279;	 0.859;
8,44;	 0.000;	 0.396;	-4.597;	 1.738;
8,46;	 0.000;	 0.396;	-4.597;	 1.573;
8,48;	 0.000;	 0.500;	-3.854;	 1.024;
8,5;	 0.000;	 0.187;	-4.332;	 1.573;
8,52;	 0.000;	 0.291;	-4.544;	 1.683;
8,54;	 0.000;	-0.074;	-4.173;	 1.573;
8,56;	 0.000;	 0.656;	-4.119;	 1.463;
8,58;	 0.000;	-0.022;	-4.438;	 1.573;
8,6;	 0.000;	 0.291;	-4.226;	 1.628;
8,62;	 0.000;	 0.187;	-4.491;	 1.463;
8,64;	 0.000;	 0.083;	-3.960;	 1.408;
8,66;	 0.000;	 0.343;	-4.650;	 1.848;
8,68;	 0.000;	-0.282;	-4.332;	 1.188;
8,7;	 0.000;	 0.343;	-4.066;	 0.969;
8,72;	 0.000;	-0.178;	-4.438;	 1.298;
8,74;	 0.000;	 0.396;	-4.597;	 1.573;
8,76;	 0.000;	 0.448;	-4.173;	 1.024;
8,78;	 0.000;	 0.761;	-4.385;	 0.969;
8,8;	 0.000;	 0.813;	-4.226;	 1.408;
8,82;	 0.000;	 0.865;	-3.854;	 0.859;
8,84;	 0.000;	-0.282;	-4.544;	 2.287;
8,86;	 0.000;	 0.135;	-4.438;	 1.738;
8,88;	 0.000;	 0.448;	-3.960;	 1.243;
8,9;	 0.000;	 0.083;	-4.491;	 2.123;
8,92;	 0.000;	-0.022;	-4.650;	 1.738;
8,94;	 0.000;	 0.187;	-3.907;	 1.353;
8,96;	 0.000;	 0.031;	-4.491;	 1.793;
8,98;	 0.000;	 0.031;	-4.810;	 1.628;
9;	 0.000;	 0.343;	-4.491;	 1.353;
9,02;	 0.000;	 0.239;	-4.332;	 1.518;
9,04;	 0.000;	 0.187;	-4.491;	 1.188;
9,06;	 0.000;	 0.031;	-4.650;	 1.573;
9,08;	 0.000;	 0.396;	-4.279;	 1.134;
9,1;	 0.000;	 0.865;	-4.491;	 1.024;
9,12;	 0.000;	 0.656;	-4.332;	 1.463;
9,14;	 0.000;	 0.917;	-4.385;	 0.859;
9,16;	 0.000;	 0.291;	-4.650;	 1.683;
9,18;	 0.000;	 0.396;	-4.226;	 1.353;
9,2;	 0.000;	 0.500;	-4.279;	 1.518;
9,22;	 0.000;	 0.552;	-4.119;	 1.463;
9,24;	 0.000;	 0.343;	-4.438;	 1.628;
9,26;	 0.000;	 0.396;	-4.173;	 1.408;
9,28;	 0.000;	 0.604;	-4.173;	 1.353;
9,3;	 0.000;	 0.656;	-4.332;	 1.463;
