16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.647;	-4.279;	 1.628;
0,04;	 0.000;	-0.700;	-4.438;	 1.793;
0,06;	 0.000;	-0.856;	-4.757;	 1.738;
0,08;	 0.000;	-0.908;	-4.332;	 1.079;
0,1;	 0.000;	-0.022;	-4.173;	 1.353;
0,12;	 0.000;	-0.282;	-3.960;	 1.134;
0,14;	 0.000;	-0.439;	-4.438;	 1.573;
0,16;	 0.000;	-0.282;	-4.119;	 1.518;
0,18;	 0.000;	-0.334;	-3.907;	 1.079;
0,2;	 0.000;	-1.012;	-4.119;	 1.573;
0,22;	 0.000;	-0.752;	-4.066;	 1.079;
0,24;	 0.000;	-0.439;	-4.173;	 1.738;
0,26;	 0.000;	-1.065;	-4.385;	 1.848;
0,28;	 0.000;	-0.700;	-4.013;	 1.683;
0,3;	 0.000;	-0.908;	-4.438;	 1.848;
0,32;	 0.000;	-0.334;	-3.695;	 1.463;
0,34;	 0.000;	-0.595;	-4.066;	 1.518;
0,36;	 0.000;	-0.595;	-4.013;	 1.408;
0,38;	 0.000;	-1.012;	-3.960;	 1.518;
0,4;	 0.000;	-0.439;	-4.597;	 1.628;
0,42;	 0.000;	-0.491;	-3.748;	 1.134;
0,44;	 0.000;	-0.700;	-4.438;	 1.848;
0,46;	 0.000;	-0.595;	-4.544;	 1.243;
0,48;	 0.000;	-0.230;	-4.173;	 1.079;
0,5;	 0.000;	-0.595;	-4.385;	 1.683;
0,52;	 0.000;	-0.804;	-4.066;	 1.298;
0,54;	 0.000;	-0.439;	-4.491;	 1.683;
0,56;	 0.000;	-0.856;	-4.226;	 1.958;
0,58;	 0.000;	-0.700;	-4.013;	 1.793;
0,6;	 0.000;	-0.752;	-3.801;	 1.024;
0,62;	 0.000;	-1.117;	-4.597;	 1.628;
0,64;	 0.000;	-0.752;	-4.066;	 1.958;
0,66;	 0.000;	-0.387;	-3.907;	 1.298;
0,68;	 0.000;	-0.126;	-3.907;	 1.463;
0,7;	 0.000;	-0.647;	-4.385;	 1.793;
0,72;	 0.000;	-0.543;	-4.279;	 1.298;
0,74;	 0.000;	-0.387;	-4.119;	 1.079;
0,76;	 0.000;	-0.022;	-4.279;	 1.298;
0,78;	 0.000;	-0.439;	-3.960;	 1.188;
0,8;	 0.000;	-0.439;	-4.173;	 1.518;
0,82;	 0.000;	-0.543;	-4.491;	 1.518;
0,84;	 0.000;	-0.178;	-4.119;	 1.683;
0,86;	 0.000;	-0.700;	-4.597;	 1.903;
0,88;	 0.000;	-0.856;	-4.491;	 1.573;
0,9;	 0.000;	-0.856;	-4.173;	 1.683;
0,92;	 0.000;	-0.700;	-4.332;	 1.573;
0,94;	 0.000;	-1.065;	-4.491;	 1.958;
0,96;	 0.000;	-0.491;	-4.119;	 1.353;
0,98;	 0.000;	-1.169;	-4.438;	 1.683;
1;	 0.000;	-0.647;	-4.650;	 1.628;
1,02;	 0.000;	-0.647;	-3.376;	 0.749;
1,04;	 0.000;	-0.752;	-4.226;	 1.243;
1,06;	 0.000;	-1.430;	-4.703;	 1.573;
1,08;	 0.000;	-0.752;	-4.438;	 1.134;
1,1;	 0.000;	-0.856;	-4.969;	 2.177;
1,12;	 0.000;	-0.543;	-4.491;	 1.134;
1,14;	 0.000;	-0.387;	-3.907;	 1.079;
1,16;	 0.000;	-0.595;	-4.279;	 1.134;
1,18;	 0.000;	-0.491;	-4.385;	 1.738;
1,2;	 0.000;	-0.387;	-4.173;	 1.518;
1,22;	 0.000;	-0.804;	-4.597;	 1.628;
1,24;	 0.000;	-0.804;	-4.385;	 1.958;
1,26;	 0.000;	-0.595;	-4.173;	 1.298;
1,28;	 0.000;	-0.908;	-4.226;	 1.628;
1,3;	 0.000;	-0.700;	-4.385;	 1.573;
1,32;	 0.000;	-0.752;	-4.066;	 1.683;
1,34;	 0.000;	-0.700;	-4.066;	 1.683;
1,36;	 0.000;	-0.804;	-4.650;	 1.463;
1,38;	 0.000;	-0.595;	-4.332;	 1.353;
1,4;	 0.000;	-0.856;	-4.597;	 1.628;
1,42;	 0.000;	-0.387;	-3.907;	 1.024;
1,44;	 0.000;	-0.700;	-4.385;	 1.463;
1,46;	 0.000;	-0.595;	-4.385;	 1.408;
1,48;	 0.000;	-0.178;	-3.960;	 0.969;
1,5;	 0.000;	-0.647;	-4.597;	 1.408;
1,52;	 0.000;	-0.856;	-4.491;	 1.408;
1,54;	 0.000;	-0.960;	-4.279;	 1.573;
1,56;	 0.000;	-1.065;	-4.385;	 1.848;
1,58;	 0.000;	-0.856;	-4.810;	 1.903;
1,6;	 0.000;	-0.282;	-3.907;	 1.298;
1,62;	 0.000;	-1.065;	-4.385;	 1.848;
1,64;	 0.000;	-0.856;	-4.385;	 2.013;
1,66;	 0.000;	-1.012;	-4.491;	 1.353;
1,68;	 0.000;	-0.856;	-4.544;	 1.628;
1,7;	 0.000;	-0.752;	-4.279;	 1.518;
1,72;	 0.000;	-0.543;	-4.119;	 1.353;
1,74;	 0.000;	-0.595;	-4.544;	 1.738;
1,76;	 0.000;	-0.439;	-4.385;	 1.463;
1,78;	 0.000;	-0.334;	-4.332;	 1.243;
1,8;	 0.000;	-0.700;	-4.279;	 1.353;
1,82;	 0.000;	-0.595;	-4.385;	 1.958;
1,84;	 0.000;	-1.012;	-4.226;	 1.738;
1,86;	 0.000;	-0.856;	-4.810;	 2.123;
1,88;	 0.000;	-1.117;	-4.119;	 1.628;
1,9;	 0.000;	-0.804;	-4.279;	 1.243;
1,92;	 0.000;	-0.595;	-4.119;	 1.628;
1,94;	 0.000;	-0.752;	-4.173;	 1.298;
1,96;	 0.000;	-0.856;	-4.597;	 1.738;
1,98;	 0.000;	-0.960;	-4.119;	 1.683;
2;	 0.000;	-0.804;	-4.173;	 1.353;
2,02;	 0.000;	-0.647;	-4.703;	 1.298;
2,04;	 0.000;	-1.169;	-4.119;	 1.024;
2,06;	 0.000;	-0.804;	-4.703;	 1.628;
2,08;	 0.000;	-0.439;	-4.438;	 1.408;
2,1;	 0.000;	-0.439;	-4.385;	 1.573;
2,12;	 0.000;	-0.700;	-4.119;	 0.969;
2,14;	 0.000;	-0.334;	-4.279;	 1.463;
2,16;	 0.000;	-0.491;	-4.013;	 0.969;
2,18;	 0.000;	-0.804;	-4.385;	 1.793;
2,2;	 0.000;	-0.491;	-4.226;	 1.628;
2,22;	 0.000;	-1.169;	-3.960;	 1.408;
2,24;	 0.000;	-1.221;	-4.438;	 1.848;
2,26;	 0.000;	-0.700;	-4.013;	 1.793;
2,28;	 0.000;	-1.012;	-4.438;	 1.518;
2,3;	 0.000;	-0.595;	-3.960;	 1.573;
2,32;	 0.000;	-0.178;	-3.695;	 1.298;
2,34;	 0.000;	-0.647;	-4.173;	 1.353;
2,36;	 0.000;	-0.595;	-4.279;	 1.298;
2,38;	 0.000;	-0.908;	-4.438;	 1.353;
2,4;	 0.000;	-0.595;	-4.013;	 1.188;
2,42;	 0.000;	-0.700;	-4.226;	 1.353;
2,44;	 0.000;	-0.387;	-4.173;	 1.243;
2,46;	 0.000;	-0.647;	-4.438;	 1.298;
2,48;	 0.000;	-0.647;	-4.332;	 1.134;
2,5;	 0.000;	-0.439;	-4.173;	 1.628;
2,52;	 0.000;	-0.647;	-4.226;	 1.518;
2,54;	 0.000;	-1.012;	-4.279;	 1.573;
2,56;	 0.000;	-1.325;	-4.491;	 1.573;
2,58;	 0.000;	-0.595;	-3.748;	 0.969;
2,6;	 0.000;	-0.700;	-4.173;	 1.628;
2,62;	 0.000;	-1.117;	-5.022;	 8.166;
2,64;	 0.000;	-1.378;	-5.394;	 3.331;
2,66;	 0.000;	-0.491;	-4.810;	 2.452;
2,68;	 0.000;	-0.804;	-5.022;	 2.013;
2,7;	 0.000;	-1.169;	-5.128;	 2.342;
2,72;	 0.000;	-0.439;	-4.385;	 1.353;
2,74;	 0.000;	-0.856;	-5.128;	 1.573;
2,76;	 0.000;	-1.065;	-5.606;	 2.397;
2,78;	 0.000;	-0.647;	-5.075;	 1.683;
2,8;	 0.000;	-0.752;	-5.234;	 2.287;
2,82;	 0.000;	-1.065;	-4.650;	 1.738;
2,84;	 0.000;	-0.856;	-5.659;	 2.232;
2,86;	 0.000;	-1.012;	-4.969;	 2.342;
2,88;	 0.000;	-1.221;	-4.703;	 1.573;
2,9;	 0.000;	-1.325;	-5.128;	 2.507;
