16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.856;	-2.527;	 2.013;
0,04;	 0.000;	-1.221;	-1.783;	 1.738;
0,06;	 0.000;	-1.378;	-2.367;	 2.068;
0,08;	 0.000;	-0.856;	-2.261;	 1.518;
0,1;	 0.000;	-0.856;	-2.527;	 1.848;
0,12;	 0.000;	-0.595;	-2.633;	 1.518;
0,14;	 0.000;	-0.595;	-2.474;	 1.298;
0,16;	 0.000;	-0.804;	-3.111;	 1.738;
0,18;	 0.000;	-0.178;	-2.208;	 1.683;
0,2;	 0.000;	-0.387;	-2.527;	 1.024;
0,22;	 0.000;	-0.700;	-2.314;	 1.408;
0,24;	 0.000;	-0.752;	-2.049;	 1.408;
0,26;	 0.000;	-1.169;	-2.580;	 2.013;
0,28;	 0.000;	-0.804;	-2.845;	 1.683;
0,3;	 0.000;	-1.325;	-2.898;	 2.232;
0,32;	 0.000;	-1.012;	-2.686;	 1.793;
0,34;	 0.000;	-0.700;	-2.261;	 1.628;
0,36;	 0.000;	-0.856;	-2.845;	 2.232;
0,38;	 0.000;	-0.856;	-2.792;	 1.793;
0,4;	 0.000;	-1.012;	-2.049;	 1.353;
0,42;	 0.000;	-0.491;	-2.367;	 1.353;
0,44;	 0.000;	-1.117;	-2.633;	 1.573;
0,46;	 0.000;	-0.543;	-2.792;	 1.793;
0,48;	 0.000;	-0.700;	-2.580;	 1.353;
0,5;	 0.000;	-0.647;	-2.739;	 1.573;
0,52;	 0.000;	-0.647;	-2.474;	 1.518;
0,54;	 0.000;	-0.491;	-2.474;	 1.408;
0,56;	 0.000;	-0.752;	-2.898;	 1.958;
0,58;	 0.000;	-0.282;	-2.314;	 1.353;
0,6;	 0.000;	-0.856;	-2.474;	 2.013;
0,62;	 0.000;	-0.960;	-2.474;	 1.738;
0,64;	 0.000;	-1.482;	-2.845;	 2.013;
0,66;	 0.000;	-0.908;	-2.739;	 1.793;
0,68;	 0.000;	-0.856;	-2.474;	 1.628;
0,7;	 0.000;	-0.700;	-2.792;	 1.353;
0,72;	 0.000;	-0.960;	-2.420;	 1.518;
0,74;	 0.000;	-0.856;	-2.527;	 2.068;
0,76;	 0.000;	-1.221;	-2.049;	 1.518;
0,78;	 0.000;	-1.012;	-2.261;	 1.573;
0,8;	 0.000;	-0.700;	-2.686;	 1.408;
0,82;	 0.000;	-0.491;	-1.677;	 1.353;
0,84;	 0.000;	-0.804;	-2.686;	 1.353;
0,86;	 0.000;	-0.595;	-2.474;	 0.914;
0,88;	 0.000;	-0.595;	-2.474;	 0.914;
0,9;	 0.000;	-0.752;	-2.580;	 1.683;
0,92;	 0.000;	-0.752;	-2.527;	 1.408;
0,94;	 0.000;	-0.543;	-2.049;	 1.134;
