16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.282;	-4.013;	 1.188;
0,04;	 0.000;	-0.334;	-4.279;	 1.518;
0,06;	 0.000;	-0.856;	-4.810;	 2.177;
0,08;	 0.000;	-0.647;	-4.438;	 1.134;
0,1;	 0.000;	-0.439;	-4.597;	 1.683;
0,12;	 0.000;	-0.491;	-4.438;	 1.408;
0,14;	 0.000;	-0.647;	-4.279;	 1.298;
0,16;	 0.000;	-0.647;	-4.332;	 1.573;
0,18;	 0.000;	-1.117;	-4.119;	 1.738;
0,2;	 0.000;	-0.856;	-4.597;	 2.013;
0,22;	 0.000;	-0.647;	-4.385;	 1.573;
0,24;	 0.000;	-0.595;	-4.332;	 1.683;
0,26;	 0.000;	-0.804;	-4.332;	 1.683;
0,28;	 0.000;	-0.700;	-4.332;	 1.079;
0,3;	 0.000;	-0.491;	-4.173;	 1.353;
0,32;	 0.000;	-0.543;	-4.279;	 1.518;
0,34;	 0.000;	-0.282;	-4.279;	 1.408;
0,36;	 0.000;	-0.387;	-4.173;	 1.353;
0,38;	 0.000;	-1.065;	-4.810;	 1.683;
0,4;	 0.000;	-0.804;	-4.757;	 1.848;
0,42;	 0.000;	-0.804;	-4.279;	 0.859;
0,44;	 0.000;	-0.804;	-4.650;	 1.518;
0,46;	 0.000;	-0.647;	-4.544;	 1.683;
0,48;	 0.000;	-0.595;	-4.119;	 1.738;
0,5;	 0.000;	-0.960;	-4.385;	 1.573;
0,52;	 0.000;	-0.387;	-4.491;	 1.463;
0,54;	 0.000;	-0.908;	-4.173;	 1.079;
0,56;	 0.000;	-0.543;	-4.279;	 1.463;
0,58;	 0.000;	-0.595;	-3.960;	 1.243;
0,6;	 0.000;	-0.230;	-4.279;	 1.518;
0,62;	 0.000;	-0.960;	-4.226;	 1.243;
0,64;	 0.000;	-0.856;	-4.916;	 2.287;
0,66;	 0.000;	-0.856;	-5.022;	 2.068;
0,68;	 0.000;	-0.595;	-4.119;	 1.079;
0,7;	 0.000;	-0.230;	-4.279;	 1.573;
0,72;	 0.000;	-0.230;	-4.119;	 1.353;
0,74;	 0.000;	-0.856;	-5.234;	 1.958;
0,76;	 0.000;	-0.387;	-3.907;	 1.024;
0,78;	 0.000;	-0.230;	-3.907;	 1.188;
0,8;	 0.000;	-0.543;	-4.279;	 1.188;
0,82;	 0.000;	-0.856;	-4.703;	 1.573;
0,84;	 0.000;	-0.439;	-4.226;	 1.793;
0,86;	 0.000;	-0.804;	-4.650;	 1.958;
