16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.647;	-4.385;	 1.353;
0,04;	 0.000;	-0.282;	-4.173;	 0.914;
0,06;	 0.000;	-0.595;	-4.332;	 1.518;
0,08;	 0.000;	-0.700;	-4.438;	 1.408;
0,1;	 0.000;	-0.700;	-4.544;	 1.188;
0,12;	 0.000;	-0.647;	-4.597;	 1.848;
0,14;	 0.000;	-0.647;	-4.173;	 1.628;
0,16;	 0.000;	-1.221;	-4.810;	 1.793;
0,18;	 0.000;	-0.595;	-4.173;	 1.408;
0,2;	 0.000;	-0.491;	-4.226;	 1.628;
0,22;	 0.000;	-0.439;	-4.173;	 1.463;
0,24;	 0.000;	-0.439;	-4.173;	 1.408;
0,26;	 0.000;	-0.491;	-4.066;	 1.408;
0,28;	 0.000;	-0.595;	-4.119;	 1.683;
0,3;	 0.000;	-0.960;	-4.544;	 1.298;
0,32;	 0.000;	-0.700;	-4.650;	 1.628;
0,34;	 0.000;	-0.387;	-3.588;	 0.804;
0,36;	 0.000;	-0.908;	-4.810;	 1.628;
0,38;	 0.000;	-0.334;	-4.385;	 0.969;
0,4;	 0.000;	-0.700;	-4.438;	 1.628;
0,42;	 0.000;	-0.491;	-4.173;	 1.188;
0,44;	 0.000;	-0.595;	-4.173;	 1.298;
0,46;	 0.000;	-0.387;	-4.119;	 1.463;
0,48;	 0.000;	-0.647;	-4.119;	 1.463;
0,5;	 0.000;	-0.647;	-4.597;	 1.628;
0,52;	 0.000;	-0.647;	-4.173;	 1.134;
0,54;	 0.000;	-0.595;	-3.960;	 1.408;
0,56;	 0.000;	-0.856;	-4.916;	 2.177;
0,58;	 0.000;	-0.647;	-4.173;	 1.188;
0,6;	 0.000;	-0.856;	-4.013;	 1.188;
0,62;	 0.000;	-0.334;	-4.066;	 0.859;
0,64;	 0.000;	-0.647;	-4.332;	 1.573;
0,66;	 0.000;	-1.221;	-4.969;	 2.013;
0,68;	 0.000;	-0.439;	-4.597;	 1.573;
0,7;	 0.000;	-0.178;	-3.854;	 0.969;
0,72;	 0.000;	-0.387;	-4.385;	 1.683;
0,74;	 0.000;	-0.647;	-4.757;	 2.232;
0,76;	 0.000;	-0.334;	-4.173;	 1.518;
0,78;	 0.000;	-0.334;	-4.385;	 1.958;
0,8;	 0.000;	-0.908;	-4.650;	 2.232;
0,82;	 0.000;	-0.387;	-3.323;	 0.584;
0,84;	 0.000;	-0.960;	-4.703;	 2.452;
0,86;	 0.000;	-0.804;	-4.173;	 1.848;
0,88;	 0.000;	-1.325;	-3.801;	 1.628;
0,9;	 0.000;	-0.543;	-3.642;	 1.243;
0,92;	 0.000;	-0.543;	-4.279;	 2.068;
0,94;	 0.000;	-0.439;	-3.801;	 1.463;
0,96;	 0.000;	-0.752;	-4.491;	 1.903;
0,98;	 0.000;	-0.543;	-3.960;	 1.188;
1;	 0.000;	-0.334;	-3.960;	 1.463;
1,02;	 0.000;	-0.543;	-4.385;	 1.518;
1,04;	 0.000;	-0.334;	-4.226;	 1.463;
1,06;	 0.000;	-0.022;	-4.013;	 1.243;
1,08;	 0.000;	-0.439;	-4.385;	 1.793;
1,1;	 0.000;	-0.908;	-4.597;	 1.793;
1,12;	 0.000;	-0.908;	-4.810;	 1.628;
1,14;	 0.000;	-0.804;	-4.438;	 1.683;
1,16;	 0.000;	-0.647;	-4.385;	 2.068;
1,18;	 0.000;	-0.491;	-3.748;	 1.188;
1,2;	 0.000;	-0.491;	-4.491;	 2.013;
1,22;	 0.000;	-0.700;	-3.748;	 1.188;
1,24;	 0.000;	-0.856;	-4.438;	 1.793;
1,26;	 0.000;	-0.856;	-4.438;	 1.903;
1,28;	 0.000;	-0.700;	-4.013;	 1.628;
1,3;	 0.000;	-0.752;	-4.119;	 1.738;
1,32;	 0.000;	-0.387;	-4.066;	 1.463;
1,34;	 0.000;	-0.908;	-4.810;	 1.628;
1,36;	 0.000;	-0.387;	-4.066;	 0.914;
1,38;	 0.000;	-0.804;	-4.385;	 1.518;
1,4;	 0.000;	-0.647;	-4.491;	 1.353;
1,42;	 0.000;	-0.439;	-4.491;	 1.793;
1,44;	 0.000;	-0.387;	-4.385;	 1.903;
1,46;	 0.000;	-0.804;	-4.332;	 2.068;
1,48;	 0.000;	-0.595;	-4.226;	 1.793;
1,5;	 0.000;	-1.117;	-4.650;	 2.123;
1,52;	 0.000;	-0.647;	-4.332;	 1.793;
1,54;	 0.000;	-0.543;	-4.491;	 2.123;
1,56;	 0.000;	-0.647;	-3.748;	 1.243;
1,58;	 0.000;	-0.960;	-4.173;	 1.793;
1,6;	 0.000;	-0.908;	-4.544;	 2.068;
1,62;	 0.000;	-0.700;	-4.491;	 0.694;
1,64;	 0.000;	-1.117;	-4.597;	 1.408;
1,66;	 0.000;	-0.856;	-4.863;	 2.013;
1,68;	 0.000;	-0.387;	-4.119;	 1.518;
1,7;	 0.000;	-0.282;	-3.642;	 1.024;
1,72;	 0.000;	-0.282;	-4.279;	 1.408;
1,74;	 0.000;	-0.387;	-3.482;	 0.859;
1,76;	 0.000;	-0.491;	-3.960;	 1.079;
1,78;	 0.000;	-0.595;	-3.535;	 0.804;
1,8;	 0.000;	-0.908;	-4.916;	 2.507;
1,82;	 0.000;	-0.647;	-3.748;	 1.573;
1,84;	 0.000;	-0.856;	-4.597;	 2.013;
1,86;	 0.000;	-0.491;	-3.748;	 1.353;
1,88;	 0.000;	-1.117;	-3.960;	 1.903;
1,9;	 0.000;	-0.804;	-4.491;	 1.958;
1,92;	 0.000;	-0.647;	-3.695;	 1.134;
1,94;	 0.000;	-0.960;	-4.916;	 2.123;
1,96;	 0.000;	-0.856;	-4.597;	 1.903;
1,98;	 0.000;	-0.908;	-4.597;	 1.408;
2;	 0.000;	-0.022;	-4.597;	 1.573;
2,02;	 0.000;	-0.439;	-3.907;	 0.694;
2,04;	 0.000;	-0.647;	-4.810;	 1.848;
2,06;	 0.000;	-0.022;	-4.173;	 1.463;
2,08;	 0.000;	-0.126;	-4.544;	 1.628;
2,1;	 0.000;	 0.083;	-4.066;	 1.683;
2,12;	 0.000;	-0.908;	-4.385;	 2.013;
2,14;	 0.000;	-0.595;	-3.748;	 0.914;
2,16;	 0.000;	-0.804;	-4.438;	 1.903;
2,18;	 0.000;	-0.908;	-3.854;	 1.628;
2,2;	 0.000;	-1.012;	-4.226;	 1.958;
2,22;	 0.000;	-0.960;	-4.544;	 1.903;
2,24;	 0.000;	-0.908;	-4.226;	 1.903;
2,26;	 0.000;	-0.752;	-4.385;	 1.738;
2,28;	 0.000;	-0.543;	-4.119;	 1.243;
2,3;	 0.000;	-0.752;	-4.332;	 1.628;
2,32;	 0.000;	-0.439;	-4.703;	 1.848;
2,34;	 0.000;	-0.178;	-3.854;	 0.914;
2,36;	 0.000;	-0.804;	-4.491;	 1.518;
2,38;	 0.000;	-0.491;	-4.279;	 1.463;
2,4;	 0.000;	-0.334;	-4.066;	 1.298;
2,42;	 0.000;	-0.439;	-4.650;	 1.408;
2,44;	 0.000;	-0.647;	-4.385;	 1.793;
2,46;	 0.000;	-0.700;	-4.173;	 1.408;
2,48;	 0.000;	-1.430;	-4.810;	 2.013;
2,5;	 0.000;	-0.439;	-4.013;	 1.188;
2,52;	 0.000;	-0.387;	-4.066;	 1.298;
2,54;	 0.000;	-0.543;	-3.960;	 1.848;
2,56;	 0.000;	-0.700;	-4.173;	 1.463;
2,58;	 0.000;	-0.752;	-4.226;	 1.683;
2,6;	 0.000;	-1.065;	-4.810;	 1.848;
2,62;	 0.000;	-0.595;	-3.854;	 1.298;
2,64;	 0.000;	-0.647;	-4.438;	 1.628;
2,66;	 0.000;	-0.126;	-3.535;	 0.749;
2,68;	 0.000;	-0.700;	-4.332;	 1.738;
2,7;	 0.000;	-0.595;	-4.119;	 1.298;
2,72;	 0.000;	-0.334;	-4.385;	 1.683;
2,74;	 0.000;	-0.126;	-3.695;	 0.969;
2,76;	 0.000;	-0.387;	-4.119;	 1.573;
2,78;	 0.000;	-0.700;	-4.279;	 1.134;
2,8;	 0.000;	-0.491;	-4.226;	 1.683;
2,82;	 0.000;	-0.647;	-4.810;	 2.068;
2,84;	 0.000;	-0.700;	-4.013;	 1.848;
2,86;	 0.000;	-0.543;	-3.748;	 1.353;
2,88;	 0.000;	-0.595;	-4.119;	 1.573;
2,9;	 0.000;	-0.647;	-4.597;	 1.793;
2,92;	 0.000;	-0.543;	-3.801;	 1.188;
2,94;	 0.000;	-0.752;	-4.332;	 1.243;
2,96;	 0.000;	-0.908;	-4.226;	 1.793;
2,98;	 0.000;	-0.647;	-4.703;	 1.793;
3;	 0.000;	-0.230;	-4.013;	 0.969;
3,02;	 0.000;	-0.126;	-4.066;	 1.079;
3,04;	 0.000;	-0.804;	-4.332;	 1.243;
3,06;	 0.000;	-0.074;	-4.597;	 1.188;
3,08;	 0.000;	-0.439;	-4.438;	 1.573;
3,1;	 0.000;	-0.647;	-4.279;	 1.408;
3,12;	 0.000;	-0.439;	-4.385;	 1.518;
3,14;	 0.000;	-0.908;	-4.650;	 2.068;
3,16;	 0.000;	-0.491;	-4.385;	 1.848;
3,18;	 0.000;	-0.595;	-4.332;	 1.738;
3,2;	 0.000;	-0.647;	-3.270;	 1.134;
3,22;	 0.000;	-0.752;	-4.332;	 1.518;
3,24;	 0.000;	-0.491;	-3.960;	 1.353;
3,26;	 0.000;	-0.230;	-4.173;	 1.573;
3,28;	 0.000;	-0.439;	-4.066;	 1.243;
3,3;	 0.000;	-0.491;	-4.119;	 1.353;
3,32;	 0.000;	-0.647;	-4.597;	 1.793;
3,34;	 0.000;	-0.439;	-4.385;	 1.463;
3,36;	 0.000;	-0.804;	-4.385;	 1.298;
3,38;	 0.000;	-0.178;	-4.279;	 1.738;
3,4;	 0.000;	-0.334;	-4.385;	 1.134;
3,42;	 0.000;	-0.595;	-4.332;	 1.573;
3,44;	 0.000;	-0.804;	-4.810;	 2.013;
3,46;	 0.000;	-0.804;	-4.544;	 1.738;
3,48;	 0.000;	-0.700;	-4.013;	 1.518;
3,5;	 0.000;	-0.856;	-5.022;	 2.452;
3,52;	 0.000;	-0.595;	-4.119;	 1.738;
3,54;	 0.000;	-0.543;	-3.960;	 1.738;
3,56;	 0.000;	-0.595;	-4.332;	 1.683;
3,58;	 0.000;	-0.543;	-4.066;	 1.408;
3,6;	 0.000;	-0.543;	-4.013;	 1.408;
3,62;	 0.000;	-0.439;	-4.226;	 1.408;
3,64;	 0.000;	-0.126;	-4.173;	 1.353;
3,66;	 0.000;	-0.856;	-4.703;	 1.793;
3,68;	 0.000;	-0.595;	-4.226;	 1.134;
3,7;	 0.000;	-0.647;	-4.385;	 1.518;
3,72;	 0.000;	-0.647;	-4.597;	 1.573;
3,74;	 0.000;	-0.126;	-3.854;	 1.134;
3,76;	 0.000;	-0.282;	-3.907;	 1.573;
3,78;	 0.000;	-0.491;	-4.332;	 1.738;
3,8;	 0.000;	-0.595;	-4.332;	 1.903;
3,82;	 0.000;	-1.065;	-4.650;	 2.013;
3,84;	 0.000;	-0.595;	-4.173;	 1.628;
3,86;	 0.000;	-0.647;	-4.491;	 1.573;
3,88;	 0.000;	-0.700;	-4.119;	 1.243;
3,9;	 0.000;	-0.439;	-3.960;	 1.408;
