16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.543;	-2.898;	 1.463;
0,04;	 0.000;	-1.065;	-2.845;	 1.573;
0,06;	 0.000;	-1.273;	-3.217;	 2.013;
0,08;	 0.000;	-0.700;	-2.686;	 1.683;
0,1;	 0.000;	-1.065;	-1.943;	 1.793;
0,12;	 0.000;	-1.117;	-3.111;	 1.848;
0,14;	 0.000;	-0.908;	-2.686;	 1.793;
0,16;	 0.000;	-1.221;	-1.836;	 1.573;
0,18;	 0.000;	-0.752;	-2.633;	 1.298;
0,2;	 0.000;	-0.647;	-2.739;	 1.188;
0,22;	 0.000;	-0.543;	-2.474;	 0.694;
0,24;	 0.000;	-0.856;	-3.111;	 2.177;
0,26;	 0.000;	-0.804;	-3.004;	 1.573;
0,28;	 0.000;	-0.439;	-2.739;	 1.134;
0,3;	 0.000;	-0.595;	-3.111;	 1.408;
0,32;	 0.000;	-0.856;	-3.164;	 1.628;
0,34;	 0.000;	-0.752;	-2.633;	 1.573;
0,36;	 0.000;	-1.325;	-3.323;	 2.013;
0,38;	 0.000;	-0.647;	-2.261;	 1.353;
0,4;	 0.000;	-0.960;	-2.898;	 1.573;
0,42;	 0.000;	-0.856;	-2.633;	 1.738;
0,44;	 0.000;	-0.804;	-1.836;	 1.463;
0,46;	 0.000;	-1.169;	-2.155;	 1.738;
0,48;	 0.000;	-1.273;	-2.102;	 1.793;
0,5;	 0.000;	-1.117;	-2.898;	 1.628;
0,52;	 0.000;	-0.543;	-2.155;	 1.243;
0,54;	 0.000;	-1.065;	-3.058;	 1.793;
0,56;	 0.000;	-0.960;	-2.898;	 1.353;
0,58;	 0.000;	-0.856;	-2.739;	 1.408;
0,6;	 0.000;	-0.230;	-2.049;	 0.639;
0,62;	 0.000;	-0.856;	-2.845;	 1.408;
0,64;	 0.000;	-0.543;	-1.943;	 1.024;
0,66;	 0.000;	-0.647;	-2.792;	 1.738;
0,68;	 0.000;	-0.700;	-2.155;	 1.024;
0,7;	 0.000;	-0.908;	-2.845;	 1.408;
0,72;	 0.000;	-0.960;	-2.261;	 1.353;
0,74;	 0.000;	-1.012;	-2.898;	 1.518;
0,76;	 0.000;	-1.221;	-2.951;	 1.738;
0,78;	 0.000;	-1.065;	-2.420;	 1.573;
0,8;	 0.000;	-0.908;	-3.111;	 1.793;
0,82;	 0.000;	-0.856;	-2.633;	 1.353;
0,84;	 0.000;	-0.856;	-2.739;	 1.518;
0,86;	 0.000;	-0.908;	-2.739;	 1.628;
0,88;	 0.000;	-0.752;	-1.943;	 1.079;
0,9;	 0.000;	-0.752;	-2.792;	 1.958;
0,92;	 0.000;	-0.804;	-2.898;	 1.573;
0,94;	 0.000;	-0.543;	-1.943;	 0.804;
0,96;	 0.000;	-0.700;	-2.845;	 1.628;
0,98;	 0.000;	-0.752;	-2.792;	 1.463;
1;	 0.000;	-0.960;	-2.474;	 1.353;
1,02;	 0.000;	-1.065;	-2.580;	 1.573;
1,04;	 0.000;	-0.960;	-2.049;	 1.628;
1,06;	 0.000;	-0.908;	-2.951;	 1.793;
1,08;	 0.000;	-0.700;	-2.314;	 1.793;
1,1;	 0.000;	-0.960;	-2.686;	 1.793;
1,12;	 0.000;	-0.908;	-2.367;	 1.573;
1,14;	 0.000;	-1.012;	-2.102;	 1.518;
1,16;	 0.000;	-0.856;	-2.898;	 2.068;
