16 Bit ADC acqisition competed 1.1.2010 at 1:45:12

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.647;	-2.527;	 1.353;
0,04;	 0.000;	-1.117;	-2.686;	 1.738;
0,06;	 0.000;	-0.491;	-2.474;	 1.628;
0,08;	 0.000;	-0.543;	-2.686;	 1.573;
0,1;	 0.000;	-1.065;	-3.164;	 1.628;
0,12;	 0.000;	-0.387;	-2.845;	 1.903;
0,14;	 0.000;	-0.595;	-2.845;	 1.518;
0,16;	 0.000;	-0.387;	-2.155;	 0.584;
0,18;	 0.000;	-0.960;	-3.217;	 1.958;
0,2;	 0.000;	-0.334;	-2.686;	 1.573;
0,22;	 0.000;	-0.856;	-3.111;	 1.683;
0,24;	 0.000;	-0.595;	-2.208;	 1.463;
0,26;	 0.000;	-1.273;	-3.111;	 1.958;
0,28;	 0.000;	-0.439;	-2.898;	 1.573;
0,3;	 0.000;	-1.012;	-1.889;	 1.353;
0,32;	 0.000;	-0.908;	-2.686;	 1.353;
0,34;	 0.000;	-0.543;	-2.367;	 1.353;
0,36;	 0.000;	-0.804;	-2.792;	 1.573;
0,38;	 0.000;	-0.856;	-2.898;	 1.738;
0,4;	 0.000;	-0.856;	-3.323;	 2.013;
0,42;	 0.000;	-0.387;	-2.367;	 0.914;
0,44;	 0.000;	-0.647;	-2.845;	 1.518;
0,46;	 0.000;	-0.543;	-2.527;	 1.134;
0,48;	 0.000;	-0.647;	-2.845;	 1.463;
0,5;	 0.000;	-0.543;	-3.004;	 2.068;
0,52;	 0.000;	-0.647;	-3.164;	 1.903;
0,54;	 0.000;	-0.752;	-2.898;	 1.408;
0,56;	 0.000;	-0.647;	-2.686;	 1.573;
0,58;	 0.000;	-1.221;	-2.686;	 1.353;
0,6;	 0.000;	-0.491;	-2.686;	 1.573;
0,62;	 0.000;	-0.387;	-2.633;	 1.683;
0,64;	 0.000;	-1.012;	-3.004;	 2.123;
0,66;	 0.000;	-1.065;	-2.792;	 1.353;
0,68;	 0.000;	-0.752;	-2.951;	 1.518;
0,7;	 0.000;	-0.491;	-2.314;	 1.573;
0,72;	 0.000;	-0.595;	-2.474;	 1.463;
0,74;	 0.000;	-0.647;	-3.004;	 1.683;
0,76;	 0.000;	-0.074;	-2.527;	 1.573;
0,78;	 0.000;	-0.752;	-2.792;	 1.628;
0,8;	 0.000;	-0.439;	-3.164;	 1.463;
0,82;	 0.000;	-0.647;	-3.164;	 1.463;
0,84;	 0.000;	-0.595;	-2.845;	 1.573;
0,86;	 0.000;	-0.700;	-2.739;	 1.573;
0,88;	 0.000;	-0.334;	-2.580;	 1.243;
0,9;	 0.000;	-0.439;	-2.845;	 1.463;
0,92;	 0.000;	-0.595;	-2.580;	 1.353;
0,94;	 0.000;	-1.065;	-3.217;	 2.397;
0,96;	 0.000;	-0.908;	-2.792;	 1.243;
0,98;	 0.000;	-0.856;	-2.633;	 1.683;
