16 Bit ADC acqisition competed 1.1.2010 at 1:45:12

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.908;	-2.686;	 2.123;
0,04;	 0.000;	-0.856;	-3.217;	 2.452;
0,06;	 0.000;	-0.960;	-2.845;	 1.958;
0,08;	 0.000;	-0.387;	-2.367;	 1.958;
0,1;	 0.000;	-0.700;	-2.898;	 1.903;
0,12;	 0.000;	-0.700;	-2.314;	 1.848;
0,14;	 0.000;	-0.543;	-2.367;	 1.463;
0,16;	 0.000;	-0.439;	-2.420;	 1.518;
0,18;	 0.000;	-0.856;	-3.376;	 2.013;
0,2;	 0.000;	-0.387;	-2.633;	 1.463;
0,22;	 0.000;	-0.647;	-2.686;	 1.683;
0,24;	 0.000;	-1.065;	-3.323;	 2.177;
0,26;	 0.000;	-0.856;	-3.376;	 2.013;
0,28;	 0.000;	-0.387;	-2.420;	 1.518;
0,3;	 0.000;	-0.439;	-3.004;	 1.793;
0,32;	 0.000;	-0.700;	-3.111;	 2.232;
0,34;	 0.000;	-0.700;	-2.686;	 1.848;
0,36;	 0.000;	-0.647;	-2.898;	 2.013;
0,38;	 0.000;	-0.700;	-2.527;	 2.068;
0,4;	 0.000;	-0.908;	-2.739;	 1.903;
0,42;	 0.000;	-0.595;	-2.314;	 1.793;
0,44;	 0.000;	-1.012;	-2.420;	 1.903;
0,46;	 0.000;	-0.908;	-3.004;	 2.068;
0,48;	 0.000;	-0.439;	-2.420;	 1.628;
0,5;	 0.000;	-1.117;	-3.164;	 1.903;
0,52;	 0.000;	-0.491;	-3.004;	 1.408;
0,54;	 0.000;	-0.960;	-3.854;	 2.342;
0,56;	 0.000;	-0.647;	-2.898;	 1.353;
0,58;	 0.000;	-0.595;	-2.792;	 1.738;
0,6;	 0.000;	-0.543;	-2.420;	 1.518;
0,62;	 0.000;	-0.856;	-2.951;	 2.452;
0,64;	 0.000;	-0.282;	-2.261;	 1.518;
0,66;	 0.000;	-1.273;	-3.111;	 2.232;
0,68;	 0.000;	-0.960;	-3.217;	 2.342;
0,7;	 0.000;	-0.856;	-3.323;	 2.562;
0,72;	 0.000;	-0.856;	-3.323;	 2.013;
0,74;	 0.000;	-0.387;	-2.474;	 1.518;
0,76;	 0.000;	-1.065;	-3.164;	 2.123;
0,78;	 0.000;	-0.804;	-3.004;	 2.232;
0,8;	 0.000;	-0.960;	-2.739;	 1.738;
0,82;	 0.000;	-0.491;	-2.686;	 1.134;
0,84;	 0.000;	-1.273;	-3.376;	 1.958;
0,86;	 0.000;	-0.230;	-2.633;	 1.353;
0,88;	 0.000;	-0.230;	-2.474;	 1.573;
0,9;	 0.000;	-0.491;	-2.686;	 1.353;
0,92;	 0.000;	-0.595;	-3.058;	 1.848;
0,94;	 0.000;	-0.491;	-2.261;	 1.134;
0,96;	 0.000;	-0.595;	-2.792;	 1.518;
0,98;	 0.000;	-0.856;	-3.535;	 2.452;
1;	 0.000;	-0.387;	-2.314;	 1.573;
1,02;	 0.000;	-1.117;	-3.164;	 2.232;
1,04;	 0.000;	-0.856;	-3.270;	 1.903;
1,06;	 0.000;	-1.012;	-2.633;	 1.793;
1,08;	 0.000;	-1.065;	-2.633;	 1.958;
1,1;	 0.000;	-0.647;	-2.845;	 1.683;
