16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.804;	-4.650;	 2.177;
0,04;	 0.000;	-0.647;	-4.173;	 1.518;
0,06;	 0.000;	-0.543;	-4.279;	 1.738;
0,08;	 0.000;	-0.908;	-4.650;	 2.232;
0,1;	 0.000;	-0.856;	-4.173;	 1.683;
0,12;	 0.000;	-0.856;	-4.438;	 1.903;
0,14;	 0.000;	-0.439;	-4.226;	 1.463;
0,16;	 0.000;	-0.856;	-4.597;	 2.013;
0,18;	 0.000;	-0.647;	-3.960;	 1.298;
0,2;	 0.000;	-0.908;	-4.650;	 2.068;
0,22;	 0.000;	-0.856;	-4.544;	 1.079;
0,24;	 0.000;	-0.282;	-4.066;	 0.804;
0,26;	 0.000;	-0.595;	-4.066;	 0.804;
0,28;	 0.000;	-0.543;	-4.226;	 0.969;
0,3;	 0.000;	-0.908;	-4.650;	 1.793;
0,32;	 0.000;	-0.595;	-4.491;	 1.738;
0,34;	 0.000;	-1.065;	-4.863;	 2.068;
0,36;	 0.000;	-0.282;	-4.226;	 1.573;
0,38;	 0.000;	-0.491;	-4.119;	 1.079;
0,4;	 0.000;	-0.230;	-3.748;	 1.188;
0,42;	 0.000;	-1.221;	-4.119;	 1.793;
0,44;	 0.000;	-0.752;	-4.173;	 1.408;
0,46;	 0.000;	-0.908;	-4.650;	 2.068;
0,48;	 0.000;	-0.074;	-3.801;	 1.243;
0,5;	 0.000;	-0.700;	-4.385;	 1.848;
0,52;	 0.000;	-0.439;	-4.173;	 0.914;
0,54;	 0.000;	-1.273;	-4.597;	 1.793;
0,56;	 0.000;	-0.647;	-4.438;	 1.573;
0,58;	 0.000;	-0.334;	-4.013;	 0.804;
0,6;	 0.000;	-0.439;	-4.226;	 1.408;
0,62;	 0.000;	-0.491;	-4.385;	 0.969;
0,64;	 0.000;	-0.543;	-4.385;	 1.188;
0,66;	 0.000;	-0.647;	-4.544;	 1.079;
0,68;	 0.000;	-0.595;	-4.279;	 1.188;
0,7;	 0.000;	-0.647;	-4.173;	 1.134;
0,72;	 0.000;	-0.334;	-4.173;	 1.188;
0,74;	 0.000;	-0.543;	-4.332;	 1.408;
0,76;	 0.000;	-0.647;	-4.332;	 1.573;
0,78;	 0.000;	-0.647;	-4.332;	 1.573;
0,8;	 0.000;	-1.012;	-4.438;	 2.068;
0,82;	 0.000;	-0.856;	-4.597;	 2.068;
0,84;	 0.000;	-0.543;	-3.907;	 1.188;
0,86;	 0.000;	-0.908;	-4.863;	 2.232;
0,88;	 0.000;	-0.491;	-3.960;	 1.188;
0,9;	 0.000;	-0.700;	-4.279;	 1.683;
0,92;	 0.000;	-0.752;	-4.650;	 1.683;
0,94;	 0.000;	-0.074;	-4.438;	 1.408;
0,96;	 0.000;	-0.752;	-4.119;	 1.353;
0,98;	 0.000;	-0.491;	-4.438;	 1.848;
1;	 0.000;	-0.387;	-4.332;	 1.353;
1,02;	 0.000;	-0.178;	-4.013;	 1.573;
1,04;	 0.000;	-0.960;	-4.279;	 2.013;
1,06;	 0.000;	-0.491;	-4.279;	 1.298;
1,08;	 0.000;	-0.804;	-4.544;	 2.013;
1,1;	 0.000;	-0.856;	-4.385;	 1.848;
1,12;	 0.000;	-0.595;	-4.013;	 1.518;
1,14;	 0.000;	-0.908;	-4.438;	 1.848;
1,16;	 0.000;	-0.700;	-4.013;	 1.683;
1,18;	 0.000;	-0.804;	-4.173;	 1.463;
1,2;	 0.000;	-0.647;	-4.438;	 2.013;
1,22;	 0.000;	-0.856;	-4.810;	 2.232;
1,24;	 0.000;	-0.491;	-4.119;	 1.188;
1,26;	 0.000;	-0.334;	-4.066;	 1.793;
1,28;	 0.000;	-0.595;	-4.491;	 1.683;
1,3;	 0.000;	-0.439;	-3.907;	 0.914;
1,32;	 0.000;	-0.334;	-4.279;	 1.298;
1,34;	 0.000;	-0.282;	-4.173;	 1.463;
1,36;	 0.000;	-0.491;	-3.801;	 1.628;
1,38;	 0.000;	-0.282;	-3.588;	 1.628;
1,4;	 0.000;	-0.543;	-4.279;	 2.068;
1,42;	 0.000;	-0.700;	-4.173;	 1.188;
1,44;	 0.000;	-0.700;	-4.013;	 1.793;
1,46;	 0.000;	-0.439;	-3.907;	 1.518;
1,48;	 0.000;	-0.647;	-3.801;	 1.188;
1,5;	 0.000;	-0.334;	-3.854;	 1.573;
1,52;	 0.000;	-0.595;	-4.279;	 1.463;
1,54;	 0.000;	-0.595;	-4.279;	 1.463;
1,56;	 0.000;	-0.647;	-4.226;	 1.408;
1,58;	 0.000;	-0.647;	-4.438;	 1.793;
1,6;	 0.000;	-0.334;	-4.119;	 1.134;
1,62;	 0.000;	-0.647;	-4.597;	 1.793;
