16 Bit ADC acqisition competed 1.1.2010 at 3:08:32

Multichannel modes: 4 Channels;
Time resolution = 0,02 ms.;
Triger position = 2,56 ms.;
Samples before = 128 smpl.;  Samples after = 16256 smpl.;
Kv VHX = 5;
Kv VHY = 5;
Kv VHZ = 5;
Kv VCX, Kv VCY, Kv VCZ =  30;
Reference Channal = 1: REF

1 column: Dot, mSec;
2 column: REF, mV;
3 column: VHX, mT;
4 column: VHY, mT;
5 column: VHZ, mT;

0,02;	 0.000;	-0.700;	-2.314;	 1.793;
0,04;	 0.000;	-0.960;	-2.102;	 1.518;
0,06;	 0.000;	-0.856;	-2.261;	 1.628;
0,08;	 0.000;	-1.065;	-2.580;	 1.628;
0,1;	 0.000;	-0.908;	-3.004;	 1.573;
0,12;	 0.000;	-0.856;	-3.323;	 1.793;
0,14;	 0.000;	-0.439;	-2.474;	 1.134;
0,16;	 0.000;	-0.491;	-2.474;	 1.134;
0,18;	 0.000;	-0.647;	-2.474;	 1.683;
0,2;	 0.000;	-0.230;	-2.155;	 1.353;
0,22;	 0.000;	-0.804;	-2.474;	 1.518;
0,24;	 0.000;	-1.012;	-2.898;	 1.573;
0,26;	 0.000;	-0.856;	-2.739;	 1.628;
0,28;	 0.000;	-0.543;	-2.580;	 1.518;
0,3;	 0.000;	-0.700;	-2.686;	 1.683;
0,32;	 0.000;	-0.856;	-2.898;	 1.738;
0,34;	 0.000;	-0.595;	-2.102;	 1.628;
0,36;	 0.000;	-0.647;	-2.367;	 1.518;
0,38;	 0.000;	-0.491;	-2.314;	 1.628;
0,4;	 0.000;	-0.960;	-2.155;	 1.353;
0,42;	 0.000;	-0.595;	-2.102;	 1.738;
0,44;	 0.000;	-0.700;	-2.792;	 1.134;
0,46;	 0.000;	-0.752;	-2.527;	 1.518;
0,48;	 0.000;	-0.491;	-2.580;	 1.353;
0,5;	 0.000;	-0.960;	-2.580;	 1.683;
0,52;	 0.000;	-0.439;	-2.686;	 1.573;
0,54;	 0.000;	-0.178;	-1.996;	 1.079;
0,56;	 0.000;	-0.856;	-2.633;	 1.243;
0,58;	 0.000;	-0.491;	-2.102;	 2.068;
0,6;	 0.000;	-1.012;	-1.996;	 1.134;
0,62;	 0.000;	-0.804;	-2.474;	 1.408;
0,64;	 0.000;	-1.065;	-2.792;	 1.683;
